medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
132937017,300,D00y0-2,D00y012,Plummer-Vinson syndrome,80126007,132937017,,32
132939019,70,D00y0,D00y000,Sideropenic dysphagia,80126007,132939019,,32
251611012,50000,1451,1451.00,H/O: anaemia - iron deficient,161456009,251611012,,32
251614016,4000,1452,1452.00,History of anaemia vitamin B12 deficient,161457000,3009146015,,32
251615015,2000,1453,1453.00,H/O: haemolytic anaemia,161458005,251615015,,32
251617011,20000,1454,1454.00,H/O: anaemia NOS,275538002,411530016,,32
257523016,300000,42R41,42R4100,Ferritin level low,165626000,257523016,,11
257553011,300000,42T2,42T2.00,Serum vitamin B12 low,165645009,257553011,,11
264785015,2000000,66E5,66E5.00,B12 injections - at surgery,170823005,264785015,,1
291252015,200,B9370,B937000,"Refractory anaemia without sideroblasts, so stated",189509003,291252015,,32
292273018,300,ByuHC,ByuHC00,"[X]Refractory anaemia, unspecified",109996008,202875018,,32
293006011,300000,C2620,C262000,Folic acid deficiency,190633005,293006011,,32
293008012,2000000,C2621,C262100,Vitamin B12 deficiency,190634004,293008012,,32
293864013,20000,D001,D001.00,Iron deficiency anaemia due to dietary causes,191128004,293864013,,32
293877016,1000,D00yz,D00yz00,Iron deficiency anemia,87522002,507616014,,32
293880015,100000,D00z,D00z.00,Unspecified iron deficiency anaemia,87522002,507616014,,32
293884012,20,D00z1,D00z100,Chlorotic anaemia,87522002,507623010,,32
293885013,900,D00z2,D00z200,Idiopathic hypochromic anaemia,191136008,293885013,,32
293888010,400000,D00zz,D00zz00,Iron deficiency anaemia NOS,87522002,507616014,,32
293924010,2000,D011z,D011z00,Other vitamin B12 deficiency anaemia NOS,49472006,495412014,,32
293946019,3000,D013,D013.00,Other specified megaloblastic anaemia NEC,53165003,88429014,,32
293948018,10000,D0130,D013000,Combined B12 and folate deficiency anaemia,191154007,293948018,,32
293949014,200,D013z,D013z00,Other specified megaloblastic anaemia NEC NOS,53165003,88429014,,32
293959010,200,D01y,D01y.00,Other specified nutritional deficiency anaemia,267513007,399192012,,32
293966011,6,D01yy,D01yy00,Other specified other nutritional deficiency anaemia,267513007,399192012,,32
293969016,20,D01yz,D01yz00,Other specified nutritional deficiency anaemia NOS,267513007,399192012,,32
293977017,2000,D01z0,D01z000,[X]Megaloblastic anaemia NOS,53165003,496576014,,32
293978010,400,D0y,D0y..00,Other specified deficiency anaemias,267513007,399193019,,32
293981017,4000,D0z,D0z..00,Deficiency anaemias NOS,267513007,399193019,,32
294093015,1000,D1100,D110000,Primary cold-type haemolytic anaemia,191210005,294093015,,32
294094014,100,D1101,D110100,Primary warm-type haemolytic anaemia,191211009,294094014,,32
