medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
7278014,700000,N06z-1,N06z.11,Arthritis,3723001,7278014,,32
16833013,300000,N100,N100.00,Ankylosing spondylitis,9631008,16833013,,32
46549014,20000,7K6ZK,7K6ZK00,Intra-articular injection,27813003,46549014,,32
80709010,40000,N023,N023.00,Gouty arthritis,48440001,80709010,,32
113687010,600,N066-1,N066.11,Coxitis,68449006,113687010,,32
116082011,3000000,N040,N040.00,Rheumatoid arthritis,69896004,116082011,,32
150085018,3000000,C34,C34..00,Gout,90560007,150085018,,32
251794010,50000,14G1,14G1.00,H/O: rheumatoid arthritis,161567008,251794010,,32
251795011,90000,14G2,14G2.00,H/O: osteoarthritis,161568003,251795011,,32
261883016,30000,52A31,52A3100,Plain X-ray hip joint abnormal,168662003,261883016,,41
261889017,100000,52A71,52A7100,Plain X-ray knee abnormal,168668004,261889017,,41
277496015,100000,7K3,7K3..00,Knee joint operations,179342005,277496015,,32
277537012,5000,7K30z,7K30z00,Total prosthetic replacement of knee joint using cement NOS,265170009,393818019,,32
277643019,7000,7K3y,7K3y.00,Other specified operations on knee joint,179342005,2642255015,,32
277644013,20000,7K3z,7K3z.00,Knee joint operation,179342005,2642255015,,32
278252016,300000,7K6Z3,7K6Z300,Injection into joint,27813003,483678012,,32
293392012,200000,C340,C340.00,Gouty arthropathy,190828008,293392012,,32
293411019,100,C34yz,C34yz00,Other specified gouty manifestation NOS,90560007,150085018,,32
293412014,100000,C34z,C34z.00,Gout NOS,90560007,150085018,,32
309400018,200000,N0,N0...00,Arthropathy,399269003,1778721018,,32
309673013,3000,N0230,N023000,Articular gout,48440001,80706015,,32
309676017,200,N0233,N023300,Gouty arthritis of the forearm,48440001,80706015,,32
309679012,1000,N0236,N023600,Gouty arthritis of the lower leg,48440001,80706015,,32
309682019,300,N023y,N023y00,Gouty arthritis of other specified site,48440001,80709010,,32
309683012,4000,N023z,N023z00,Gouty arthritis NOS,48440001,80709010,,32
309743013,900,N0310,N031000,Arthropathy in ulcerative colitis,201727001,309743013,,32
309787016,500,N0400,N040000,Rheumatoid arthritis of cervical spine,201764007,309787016,,32
309788014,200,N0401,N040100,Rheumatoid arthritis of spine,9631008,16840014,,32
309789018,700,N0402,N040200,Rheumatoid arthritis of shoulder,201766009,309789018,,32
309791014,90,N0404,N040400,Rheumatoid arthritis of acromioclavicular joint,201768005,309791014,,32
309792019,500,N0405,N040500,Rheumatoid arthritis of elbow,201769002,309792019,,32
