medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
100716012,100000000,22K,22K..00,Body mass index,60621009,100716012,,2
11905011000006114,60000,^ESCT1190501,,O/E - weight,162763007,253677014,,27
11905141000006112,60000,^ESCT1190514,,O/E - height,162755006,253669010,,27
11923361000006119,20000,^ESCT1192336,,Finding of body mass index,301331008,442609010,,2
12113161000006113,60,^ESCT1211316,,Obese class I,443371000124107,660381000124114,,2
12113181000006115,90,^ESCT1211318,,Obese class II,443381000124105,660421000124116,,2
13926671000006119,100,^ESCT1392667,,Obese class III,819948005,3858271015,,2
14176391000006111,100000,^ESCT1417639,,Referral to weight management service,1326201000000101,2844541000000114,,40
14176401000006113,80,^ESCT1417640,,Weight management service not available,1326221000000105,2844571000000115,,32
1662431000000112,1000000,8Cd7,8Cd7.00,Advice given about weight management,698471002,2974543017,,32
1709681000000111,100000,9NS03,9NS0300,Referral to weight management service offered,767661000000105,1709681000000111,,37
1715211000000118,50000,1627,1627.00,Unintentional weight loss,448765001,2899697019,,27
1721501000000113,40000,8HHH0,8HHH000,Referral to local authority weight management programme,771491000000104,1721501000000113,,40
1735631000000119,5000,8CP5,8CP5.00,Discussion about weight management programme,776931000000102,1735631000000119,,32
1737991000000117,6000,1628,1628.00,Pattern of weight gain,449361003,2901932013,,27
1738991000000118,300,9c010,9c01000,Expectation of weight management programme,736797002,3524934019,,37
1749511000006118,30,EMISNQPA111,,Pattern of weight gain,1749511000006102,1749511000006118,,27
1750501000006114,20000,EMISNQCH68,,Checking weight monitoring,1750501000006105,1750501000006114,,37
1750991000000117,200000,8CdC,8CdC.00,Weight management service opportunity signposted,783041000000106,1750991000000117,,32
1753271000006112,9,66CL,66CL.00,"Risk to health associated with overweight and obesity, at no increased risk",755881000000104,1663231000000115,,1
1753281000006110,300,66CM,66CM.00,"Risk to health associated with overweight and obesity, at increased risk",755901000000101,1663271000000118,,1
1753291000006113,60,66CN,66CN.00,"Risk to health associated with overweight and obesity, at high risk",755921000000105,1663311000000118,,1
1753301000006114,200,66CP,66CP.00,"Risk to health associated with overweight and obesity, at very high risk",755941000000103,1663351000000119,,1
1753311000006112,300000,66CQ,66CQ.00,"Intervention for risk to health associated with overweight and obesity, general advice on healthy weight and lifestyle",756001000000107,1663481000000115,,1
1770141000006119,400,9NiX,9NiX.00,Did not attend weight management special interest general practitioner clinic,761241000000103,1686451000000118,,37
1773481000006111,1,EMISNQMO70,,MOSAIC trial - weight advice,1773481000006107,1773481000006111,,37
1773731000006116,2000,EMISNQMO71,,Weight advice - verbal [MOSAIC trial],1773731000006100,1773731000006116,,37
1773741000006114,300,EMISNQMO72,,Weight advice - verbal & written [MOSAIC trial],1773741000006105,1773741000006114,,37
1773751000006111,200,EMISNQMO73,,Weight advice - not this time [MOSAIC trial],1773751000006107,1773751000006111,,37
1773761000006113,500,EMISNQMO74,,Weight advice - not appropriate [MOSAIC trial],1773761000006109,1773761000006113,,37
1778201000006111,100,EMISNQGR22,,Group session: Weight management,1778201000006107,1778201000006111,,37
1780175010,80000,22A7,22A7.00,Baseline weight,400967004,1780175010,,2
1780210016,80000,22A8,22A8.00,Weight loss from baseline weight,401003006,1780210016,,2
1808061000006114,100,EMISNQBO29,,Body mass index less than 18.5,1808061000006105,1808061000006114,,2
1808071000006119,1,JHCBO5,,Body mass index 18.5-24.9,1808071000006103,1808071000006119,,2
1809441000006111,5000,EMISNQWE11,,Weight change,248346009,370743012,,27
1844501000006115,900,8H4n,8H4n.00,Referral to weight management special interest general practitioner,837181000000103,2173461000000116,,40
1900331000006113,10000,22KE,22KE.00,Obese class III (body mass index equal to or greater than 40.0),914741000000103,2350281000000112,,2
1910901000006116,8000,EMISNQES10,,Estimated weight,1910901000006100,1910901000006116,,2
1910911000006118,6000,EMISNQRE469,,Reported weight,1910911000006102,1910911000006118,,2
1910921000006114,9000,EMISNQES11,,Estimated height,1910921000006105,1910921000006114,,2
1910931000006112,3000,EMISNQRE470,,Reported height,1910931000006108,1910931000006112,,2
1979501000006111,9000,EMISNQWE44,,Weight management follow-up,1979501000006107,1979501000006111,,40
1979511000006114,400,EMISNQWE45,,Weight management 6 month follow-up,1979511000006105,1979511000006114,,40
1979521000006118,30,EMISNQWE46,,Weight management 12 month follow-up,1979521000006102,1979521000006118,,40
1979531000006115,50,EMISNQLO37,,Lost to weight management follow-up,1979531000006104,1979531000006115,,1
1979961000006118,600,EMISNQWE47,,Weight management 3 month follow-up,1979961000006102,1979961000006118,,40
2000621000006111,20,EMISNQDA49,,Date for weight management intervention offered to patient,2000621000006107,2000621000006111,,1
2154209017,400000,8HHH,8HHH.00,Refer to weight management programme,408289007,2154209017,,40
2159952010,30000,R0348,R034800,Underweight,248342006,370738017,,32
2160062010,200000,22K7,22K7.00,Body mass index 40+ - severely obese,408512008,2160062010,,2
2173321000000116,600,8HHH1,8HHH100,Referral to residential weight management programme,837111000000105,2173321000000116,,40
217781000000116,70000,22A5,22A5.00,O/E - weight greater than 20% over ideal,268916007,402436015,,27
2196071000000116,2000,22KB,22KB.00,Baseline body mass index,846931000000101,2196071000000116,,2
2265731000000113,30000,9N1yK,9N1yK00,Seen in weight management clinic,700154005,2989210012,,37
2316211000000111,6000,1629,1629.00,Unintentional weight gain,441361000124104,653951000124115,,27
2326311000000114,300,66Cb,66Cb.00,Intensive weight management programme commenced,904551000000107,2326311000000114,,1
2326451000000118,90,66Cc,66Cc.00,Intensive weight management programme ended,904611000000107,2326451000000118,,1
2350241000000116,20000,22KC,22KC.00,Obese class I (body mass index 30.0 - 34.9),914721000000105,2350241000000116,,2
2350261000000115,10000,22KD,22KD.00,Obese class II (body mass index 35.0 - 39.9),914731000000107,2350261000000115,,2
240911000006113,300000,8CA40-1,8CA4011,Patient advised to lose weight,275919002,411892019,,1
2474325012,300000,22K8,22K8.00,Body mass index 20-24 - normal,412768003,2474325012,,2
252191014,300000,1622,1622.00,Weight increasing,161831008,252191014,,27
252192019,300000,1623,1623.00,Weight decreasing,161832001,252192019,,27
252194018,80000,1624,1624.00,Abnormal weight gain,161833006,252194018,,27
252198015,20000,162Z,162Z.00,Weight symptom NOS,161829004,252187016,,27
253576010,30000,22A5-1,22A5.11,O/E - obese,162690006,253576010,,27
2536041016,10000,1621-1,1621.11,Weight static,271398006,2536041016,,27
253669010,100000000,229,229..00,Standing height,248333004,370729019,,2
253672015,30000,2293,2293.00,O/E -height within 10% average,162758008,253672015,,2
253673013,2000,2294,2294.00,O/E-height 10-20% over average,162759000,253673013,,2
253675018,8000,2296,2296.00,O/E - loss of height,162761009,253675018,,2
253676017,200000,229Z,229Z.00,O/E - height NOS,248333004,370729019,,2
253677014,200000000,22A,22A..00,Body weight,27113001,45352010,,2
253679012,7000,22A2,22A2.00,O/E -weight 10-20% below ideal,162765000,253679012,,2
253680010,90000,22A3,22A3.00,O/E - weight within 10% ideal,162766004,253680010,,2
253687013,30000,22A6,22A6.00,O/E - Underweight,162769006,253687013,,2
253688015,200000,22AZ,22AZ.00,O/E - weight NOS,27113001,45352010,,2
253844013,2000000,22K1,22K1.00,Normal body mass index,35425004,59104012,,2
253845014,900000,22K2,22K2.00,Increased body mass index,48499001,80800016,,2
253846010,200000,22K3,22K3.00,Decreased body mass index,6497000,11777011,,2
253847018,1000000,22K4,22K4.00,Body mass index index 25-29 - overweight,162863004,253847018,,2
253848011,2000000,22K5,22K5.00,Body mass index 30+ - obesity,162864005,253848011,,2
253866018,90000,22Z,22Z..00,Height and weight,162879003,253866018,,2
2549043017,30000,1626,1626.00,Intentional weight loss,416528001,2549043017,,27
2642891000006110,500,^ESCTWE264289,,Weight gain,8943002,15766010,,31
264766018,700000,66CC,66CC.00,Wants to lose weight,170805002,264766018,,1
264767010,3000,66CD,66CD.00,Difficulty maintaining weight loss,170806001,264767010,,1
271181000006113,1000,2291,2291.00,O/E-height > 20% below average,162756007,253670011,,2
2714971000000116,10000,ESCTSI55,,Signposting to weight management service,1083431000000109,2714971000000116,,32
272151000006114,700,2295,2295.00,O/E -height > 20% over average,162760005,253674019,,2
272551000006116,3000,22A1,22A1.00,O/E - weight > 20% below ideal,162764001,253678016,,2
2729021000006118,1,^ESCTME272902,,Measuring height of patient,14456009,24574015,,31
280881000006115,100000,222A,222A.00,O/E - obese,162690006,253576010,,27
284561000006119,2000,2292,2292.00,O/E - height 10-20% < average,162757003,253671010,,2
2865221000006115,8,^ESCTIM286522,,Impaired glucose tolerance in obese,22910008,38465017,,32
2934311000006118,50,^ESCTWE293431,,Weight,27113001,598581000000118,,2
297811000000117,200000,66CG,66CG.00,Weight management programme offered,819361000000109,2134401000000115,,1
297841000000116,60000,66CH,66CH.00,Weight management plan started,819321000000101,2134321000000116,,1
297861000000115,6000,66CJ,66CJ.00,Weight management plan completed,819311000000107,2134301000000113,,1
297891000000114,9000,66CK,66CK.00,Target weight reached,197941000000107,297891000000114,,1
299281000000119,100000,1D1A,1D1A.00,Complaining of weight loss,198511000000103,299281000000119,,27
3044831000006118,8,^ESCTWE304483,,Weight maintenance regimen,33861001,56522019,,31
