medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
100438013,200,G5575,G557500,Thyrotoxic heart disease,60446003,100438013,,32
100681000006116,200,G366,G366.00,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",194868001,299824016,,32
100771000006112,400,G631-2,G631.12,Carotid artery thrombosis,86003009,142588012,,32
102980010,60,P502,P502.00,Persistent truncus arteriosus,61959006,102980010,,32
103185010,6000,P67,P67..00,Hypoplastic left heart syndrome,62067003,103185010,,32
104563015,700000,G6,G6...00,Cerebrovascular disease,62914000,104563015,,32
106259013,30,P7217,P721700,Overriding aorta,63934006,106259013,,32
106392017,2000,G650,G650.00,Basilar artery syndrome,64009001,106392017,,32
106394016,7000,G656,G656.00,Vertebrobasilar insufficiency,64009001,106394016,,32
107545013,40000,G21,G21..00,Hypertensive heart disease,64715009,107545013,,32
109700019,20,G231,G231.00,Benign hypertensive heart AND renal disease,66052004,109700019,,32
109915012,300,G310,G310.00,Post-myocardial infarction syndrome,66189004,500341014,,32
109916013,200,G310-1,G310.11,Dressler's syndrome,66189004,109916013,,32
110659019,100,G230,G230.00,Malignant hypertensive heart AND renal disease,66610008,110659019,,32
111625010,80,G40,G40..00,Acute pulmonary heart disease,67189007,111625010,,32
112265015,8000,H541,H541.00,Pulmonary congestion,67599009,112265015,,32
1130181000000113,60000,G679,G679.00,Small vessel cerebrovascular disease,443929000,2842187014,,32
114794013,2000,G675,G675.00,Moyamoya disease,69116000,114794013,,32
1148331000000111,1000,8CRB,8CRB.00,Transient ischaemic attack clinical management plan,736288002,3517033016,,32
1160471000000111,5000,662M1,662M100,Stroke 6 month review,519751000000106,1160471000000111,,1
116992017,10000,G307,G307.00,Acute subendocardial infarction,70422006,116992017,,32
11823201000006116,1,^ESCT1182320,,Occlusion of carotid artery,266254007,3636115010,,32
118689010,30000,G640,G640.00,Cerebral thrombosis,71444005,118689010,,32
11878511000006113,NA,NA,NA,NA,NA,NA,NA,NA
118831000006118,60,G35X,G35X.00,Subsequent myocardial infarction of unspecified site,194856005,299808017,,32
11903571000006110,NA,NA,NA,NA,NA,NA,NA,NA
11904331000006116,NA,NA,NA,NA,NA,NA,NA,NA
11904381000006115,NA,NA,NA,NA,NA,NA,NA,NA
11904621000006111,NA,NA,NA,NA,NA,NA,NA,NA
11919571000006110,NA,NA,NA,NA,NA,NA,NA,NA
11923031000006113,NA,NA,NA,NA,NA,NA,NA,NA
1212072018,400,ESCTOC3,,Occlusive stroke,373606000,1212072018,,32
1216090015,50,H584-1,H584.11,"Acute oedema of lung, unspecified",40541001,67598017,,32
1218860015,6,G30y1,G30y100,Acute papillary muscle infarction,10273003,1218860015,,32
1221061012,20000,79275,7927500,Open angioplasty of coronary artery,14201006,1221061012,,32
1221554018,800,7921-1,7921.11,Other autograft bypass of coronary artery,232717009,348640013,,32
12220751000006113,NA,NA,NA,NA,NA,NA,NA,NA
12220761000006110,NA,NA,NA,NA,NA,NA,NA,NA
12220771000006115,NA,NA,NA,NA,NA,NA,NA,NA
12220781000006117,NA,NA,NA,NA,NA,NA,NA,NA
12220791000006119,NA,NA,NA,NA,NA,NA,NA,NA
12221301000006119,NA,NA,NA,NA,NA,NA,NA,NA
12222971000006119,NA,NA,NA,NA,NA,NA,NA,NA
