medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
100771000006112,400,G631-2,G631.12,Carotid artery thrombosis,86003009,142588012,,32
104563015,700000,G6,G6...00,Cerebrovascular disease,62914000,104563015,,32
106392017,2000,G650,G650.00,Basilar artery syndrome,64009001,106392017,,32
106394016,7000,G656,G656.00,Vertebrobasilar insufficiency,64009001,106394016,,32
1130181000000113,60000,G679,G679.00,Small vessel cerebrovascular disease,443929000,2842187014,,32
114794013,2000,G675,G675.00,Moyamoya disease,69116000,114794013,,32
1148331000000111,1000,8CRB,8CRB.00,Transient ischaemic attack clinical management plan,736288002,3517033016,,32
1160471000000111,5000,662M1,662M100,Stroke 6 month review,519751000000106,1160471000000111,,1
11823201000006116,1,^ESCT1182320,,Occlusion of carotid artery,266254007,3636115010,,32
118689010,30000,G640,G640.00,Cerebral thrombosis,71444005,118689010,,32
11878511000006113,NA,NA,NA,NA,NA,NA,NA,NA
11903571000006110,NA,NA,NA,NA,NA,NA,NA,NA
11919571000006110,NA,NA,NA,NA,NA,NA,NA,NA
1212072018,400,ESCTOC3,,Occlusive stroke,373606000,1212072018,,32
12222971000006119,NA,NA,NA,NA,NA,NA,NA,NA
12223101000006118,400,^ESCT1222310,,Intracerebral haemorrhage,274100004,3673215016,,32
12223111000006115,10,^ESCT1222311,,Intracerebral hemorrhage,274100004,3673216015,,32
12223121000006111,50,^ESCT1222312,,ICH - intracerebral haemorrhage,274100004,3673217012,,32
12223131000006114,3,^ESCT1222313,,ICH - intracerebral hemorrhage,274100004,3673218019,,32
1222398015,100000,G64,G64..00,Cerebral arterial occlusion,20059004,1222398015,,32
122361000006113,30000,G64-3,G64..13,Stroke due to cerebral arterial occlusion,230691006,345638019,,32
122371000006118,20000,G61-2,G61..12,Cerebral haemorrhage,274100004,409860011,,32
122401000006115,100000,G66-2,G66..12,Stroke unspecified,230690007,345637012,,32
1227591017,20000,ZV125-1,ZV12511,[V]Personal history of stroke,275526006,2476091017,,32
1227592012,1000,ZV125-2,ZV12512,[V]Personal history of cerebrovascular accident (CVA),266995000,397829016,,32
