medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
3268012,20,PB610,PB61000,Congenital absence of bile duct,1287007,3268012,,32
3269016,3,PB610-1,PB61011,Agenesis of bile duct,1287007,3268012,,32
4044018,20000,J616,J616.00,Biliary cirrhosis,1761006,4044018,,32
11267010,10,J6158-2,J615812,Indian childhood cirrhosis,6183001,11267010,,32
17930015,2000,A707,A707.00,Chronic viral hepatitis,10295004,17930015,,32
21289010,300,J6161,J616100,Secondary biliary cirrhosis,12368000,21289010,,32
24192017,3000,G851,G851.00,Oesophageal varices without bleeding,14223005,24192017,,32
30458014,40000,7800,7800.00,Transplantation of liver,18027006,30458014,,32
48003016,50000,G85-1,G85..11,Oesophageal varices,28670008,48003016,,32
52980015,60000,J6160,J616000,Primary biliary cirrhosis,31712002,52980015,,32
53033015,1000,PB635,PB63500,Alagille syndrome,31742004,53033015,,32
57989014,30000,J623,J623.00,Portal hypertension,34742003,57989014,,32
69895016,700,J6140,J614000,Chronic persistent hepatitis,41889008,69895016,,32
85441018,2000,J624,J624.00,Hepatorenal syndrome,51292008,85441018,,32
85961019,40,H55-1,H55..11,Cirrhosis of lung,266368002,396123011,,32
95368015,100,J6144,J614400,Chronic lobular hepatitis,57339008,95368015,,32
103853010,5000,J61y4,J61y400,Hepatic fibrosis,62484002,103853010,,32
113108015,40,PB611,PB61100,Congenital hypoplasia of bile duct,68094008,113108015,,32
123999018,30,J6157-1,J615711,Congestive cirrhosis,74669004,123997016,,32
126721013,40,J612-1,J612.11,Florid cirrhosis,76301009,126721013,,32
127487019,30000,J614,J614.00,Chronic hepatitis,76783007,127487019,,32
128627011,4000,PB61,PB61.00,Biliary atresia,77480004,128627011,,32
150964016,5000,G857,G857.00,Gastric varices,91109007,150964016,,32
268812014,200,7609,7609.00,Open operations on oesophageal varices,173617001,268812014,,32
268819017,700,76094,7609400,Open injection sclerotherapy to oesophageal varices,173621008,268819017,,32
268827014,100,7609z,7609z00,Open operation on oesophageal varices NOS,173617001,268812014,,32
268885015,6000,760C5,760C500,Fibreoptic endoscopic banding of oesophageal varices,173641003,268885015,,32
268957016,600,760F4,760F400,Rigid oesophagoscopic banding of oesophageal varices,173661009,268957016,,32
270232016,300,78002,7800200,Replacement of previous liver transplant,174427006,270232016,,32
270233014,20,7800y,7800y00,Other specified transplantation of liver,18027006,30458014,,32
270234015,1000,7800z,7800z00,Transplantation of liver NOS,18027006,30458014,,32
286858013,70,A700,A700.00,Hepatic coma due to viral hepatitis A,16060001,3008400017,,32
286862019,40,A702,A702.00,Hepatic coma due to viral hepatitis B,26206000,3008554017,,32
286867013,4,A704,A704.00,Other specified viral hepatitis with coma,3738000,7302012,,32
286868015,30,A7040,A704000,Viral hepatitis C with coma,186628001,286868015,,32
286869011,5,A704z,A704z00,Other specified viral hepatitis with hepatic coma NOS,3738000,7302012,,32
286876018,2,A706,A706.00,Unspecified viral hepatitis with coma,3738000,7302012,,32
286879013,1000,A7071,A707100,Chronic viral hepatitis B without delta-agent,186639003,286879013,,32
288169017,60,AyuB1,AyuB100,[X]Other chronic viral hepatitis,10295004,17930015,,32
288170016,100,AyuB2,AyuB200,"[X]Chronic viral hepatitis, unspecified",10295004,17930015,,32
288171017,3,AyuB3,AyuB300,Hepatic coma due to viral hepatitis,40946000,3008405010,,32
300775019,90,G852,G852.00,Oesophageal varices in diseases EC,195474004,300775019,,32
300776018,40,G8520,G852000,Oesophageal varices with bleeding in diseases EC,195475003,300776018,,32
300779013,30,G8521,G852100,Oesophageal varices without bleeding in diseases EC,195476002,300779013,,32
300784019,50,G852z,G852z00,Oesophageal varices in diseases EC NOS,195474004,300774015,,32
300993011,300,Gyu94,Gyu9400,[X]Oesophageal varices in diseases classified elsewhere,28670008,48000018,,32
303393017,60000,J61,J61..00,Cirrhosis and chronic liver disease,197279005,303393017,,32
303401012,10000,J6141,J614100,Chronic active hepatitis,197284004,303401012,,32
303404016,8000,J6141-1,J614111,Autoimmune chronic active hepatitis,197284004,303404016,,32
