medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
105519017,100000,H31,H31..00,Chronic bronchitis,63480004,105519017,,32
111723011,2,H351,H351.00,Bagassosis,67242002,111723011,,32
113497011,6000,H322,H322.00,Centrilobular emphysema,68328006,113497011,,32
1148241000000114,800,66k0,66k0.00,Cystic fibrosis annual review,515631000000107,1148241000000114,,1
1174311000000111,40,C3704,C370400,Arthropathy in cystic fibrosis,526071000000104,1174311000000111,,32
1174361000000113,80,C3705,C370500,Cystic fibrosis with distal intestinal obstruction syndrome,526091000000100,1174361000000113,,32
1174401000000116,4,C3706,C370600,Fibrosing colonopathy,445090007,2871051011,,32
1.17779910000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.17780110000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.17780210000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.17780310000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.18285710000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.19323310000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.19323410000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.19323510000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.19323610000e+16,NA,NA,NA,NA,NA,NA,NA,NA
121482015,20,H420,H420.00,Talc pneumoconiosis,73144008,121482015,,32
121968010,3,H35y2,H35y200,Fish-meal workers' lung,73448002,121968010,,32
1222334016,40,H3y-1,H3y..11,Other specified chronic obstructive pulmonary disease,13645005,475431013,,32
1222335015,20000,H3z-1,H3z..11,Chronic obstructive pulmonary disease NOS,13645005,475431013,,32
1223250017,10000,AD50,AD50.00,Sarcoidosis of lung,24369008,1223250017,,32
1224939016,4,H354,H354.00,Malt workers' lung,25897000,1224939016,,32
1227346010,7,C370y-1,C370y11,Cystic fibrosis with combined manifestations,190905008,293528019,,32
1230190015,600,H32y2,H32y200,MacLeod's unilateral emphysema,45145000,1230190015,,32
1233152013,2000,H352,H352.00,Bird-fancier's lung,69339004,1233152013,,32
1235159019,10,H356,H356.00,Maple bark strippers' lung,86638007,1235159019,,32
123588010,3000,H311,H311.00,Mucopurulent chronic bronchitis,74417001,123588010,,32
124281000006119,1,H353,H353.00,Suberosis ( cork-handlers' lung ),13394002,22894015,,32
1.24825510000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.24839910000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.24898010000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.27046910000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.27281610000e+16,NA,NA,NA,NA,NA,NA,NA,NA
1.27593610000e+16,NA,NA,NA,NA,NA,NA,NA,NA
128792019,600,P861,P861.00,Congenital bronchiectasis,77593006,128792019,,32
130626012,200,H441,H441.00,Cannabinosis,78723001,130626012,,32
13455018,20,H571,H571.00,Rheumatic pneumonia,7548000,13455018,,32
139979010,10,H3111,H311100,Fetid chronic bronchitis,84409004,506053014,,32
141566014,2000,H3521,H352100,Pigeon-fanciers' lung,85407005,141566014,,32
141591000006118,400,H42,H42..00,Silica and silicate pneumoconiosis,805002,2411019,,32
142162019,800,H440,H440.00,Byssinosis,85761009,142162019,,32
142759013,300,C3701,C370100,Cystic fibrosis with meconium ileus,86092005,142759013,,32
142869013,500,H4-2,H4...12,Occupational lung disease,40122008,66836019,,32
14610012,200,H432,H432.00,Berylliosis,8247009,14610012,,32
1488423019,200000,66YL,66YL.00,Chronic obstructive pulmonary disease follow-up,394702007,1488423019,,1
1488424013,4000000,66YM,66YM.00,Chronic obstructive pulmonary disease annual review,394703002,1488424013,,1
1494601017,400,66YL-2,66YL.12,COAD follow-up,394702007,1494601017,,1
1495466012,10,C3700,C370000,Cystic fibrosis with no meconium ileus,81423003,1495466012,,32
1495490013,200,C3701-1,C370111,Meconium ileus in cystic fibrosis,86092005,1495490013,,32
149741000006116,2,H35y6,H35y600,Sequoiosis (red-cedar asthma),23315001,39131015,,32
161781000006116,2,H32yz-1,H32yz11,Sawyer - Jones syndrome,45145000,75284014,,32
