medcodeid,observations,originalreadcode,cleansedreadcode,smokstatus,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
397732011,80000000,1371,1371.00,non-smoker,Never smoked tobacco,266919005,397732011,,17
338608011,40000000,8CAL,8CAL.00,current smoker,Smoking cessation advice,225323000,338608011,,17
649841000006110,30000000,137S,137S.00,ex-smoker,Ex-smoker,8517006,15047015,,17
108938018,20000000,137P,137P.00,current smoker,Cigarette smoker,65568007,108938018,,17
818061000006111,20000000,6791,6791.00,current smoker,Smoking cessation education,225323000,2575784012,,17
250374013,10000000,137L,137L.00,non-smoker,Current non-smoker,160618006,250374013,,17
503483019,10000000,137R,137R.00,current smoker,Current smoker,77176002,503483019,,17
250373019,4000000,137K,137K.00,ex-smoker,Stopped smoking,160617001,250373019,,17
14866014,3000000,1371-1,1371.11,non-smoker,Non-smoker,8392000,14866014,,17
700121000006118,3000000,1374,1374.00,current smoker,Moderate cigarette smoker (10-19 cigs/day),160604004,250359011,,17
743331000006116,3000000,1373,1373.00,current smoker,Light cigarette smoker (1-9 cigs/day),160603005,250358015,,17
250364010,2000000,1378,1378.00,ex-smoker,Ex-light cigarette smoker (1-9/day),266922007,397737017,,17
250365011,2000000,1379,1379.00,ex-smoker,Ex-moderate cigarette smoker (10-19/day),266923002,397738010,,17
250372012,2000000,137G,137G.00,current smoker,Trying to give up smoking,160616005,250372012,,17
250385010,2000000,137T,137T.00,ex-smoker,Date ceased smoking,160625004,250385010,,17
418914010,2000000,137j,137j.00,ex-smoker,Ex-cigarette smoker,281018007,418914010,,17
102921000006112,2000000,137,137..00,current smoker,Tobacco smoking consumption,266918002,397730015,,17
128130017,1000000,137P-1,137P.11,current smoker,Smoker,77176002,128130017,,17
250366012,1000000,137A,137A.00,ex-smoker,Ex-heavy cigarette smoker (20-39/day),266924008,397739019,,17
250371017,1000000,137F,137F.00,ex-smoker,Ex-smoker - amount unknown,8517006,15047015,,17
250375014,1000000,137M,137M.00,current smoker,Rolls own cigarettes,160619003,250375014,,17
1488578010,1000000,137d,137d.00,current smoker,Not interested in stopping smoking,394873005,1488578010,,17
1489355012,1000000,8H7i,8H7i.00,current smoker,Referral to smoking cessation advisor,395700008,1489355012,,40
1780273014,1000000,9N2k,9N2k.00,current smoker,Seen by smoking cessation advisor,401068004,1780273014,,37
819331000006110,1000000,1375,1375.00,current smoker,Heavy cigarette smoker (20-39 cigs/day),160605003,250360018,,17
1176421000000118,1000000,8IAj,8IAj.00,current smoker,Smoking cessation advice declined,527151000000107,1176421000000118,,32
344793011,900000,137X,137X.00,current smoker,Cigarette consumption,230056004,344793011,,17
457286014,900000,8B2B,8B2B.00,current smoker,Nicotine replacement therapy,313396002,457286014,,32
459722017,900000,8HTK,8HTK.00,current smoker,Referral to stop-smoking clinic,315232003,459722017,,40
250363016,600000,1377,1377.00,ex-smoker,Ex-trivial cigarette smoker (<1/day),266921000,397736014,,17
88471000006112,600000,1372,1372.00,current smoker,Trivial cigarette smoker (less than one cigarette/day),266920004,397735013,,17
936011000006114,600000,67H1,67H1.00,current smoker,Advice on effects of smoking on health,225324006,338609015,,17
1484933010,500000,13p0,13p0.00,current smoker,Negotiated date for cessation of smoking,390901002,1484933010,,17
1488577017,500000,137b,137b.00,current smoker,Ready to stop smoking,394872000,1488577017,,17
99639019,400000,137J,137J.00,current smoker,Cigar smoker,59978006,99639019,,17
498831000006118,400000,9OO1,9OO1.00,current or ex-smoker,Attends stop smoking monitoring,185789006,285791018,,37
1175011000000112,400000,8IEK,8IEK.00,current smoker,Smoking cessation programme declined,1087441000000106,2724181000000114,,32
72373013,300000,137I,137I.00,non-smoker,Passive smoker,43381005,72373013,,17
1773560017,300000,13p5,13p5.00,current smoker,Smoking cessation programme start date,401160008,1773560017,,17
2141561000000115,300000,8IEM,8IEM.00,current smoker,Smoking cessation drug therapy declined,822591000000108,2141561000000115,,32
2251871000000112,300000,8IEo,8IEo.00,current smoker,Referral to smoking cessation service declined,871641000000105,2251871000000112,,32
136515019,200000,137H,137H.00,current smoker,Pipe smoker,82302008,136515019,,17
250367015,200000,137B,137B.00,ex-smoker,Ex-very heavy cigarette smoker (40+/day),266925009,397740017,,17
397733018,200000,1372-1,1372.11,current smoker,Occasional smoker,428041000124106,2717161000000119,,17
1488666019,200000,13WK,13WK.00,non-smoker,No smokers in the household,394964001,1488666019,,17
21681000000118,200000,9OO,9OO..00,current smoker,Anti-smoking monitoring admin.,714001000000108,1565241000000115,,37
62881000000117,200000,9N4M,9N4M.00,current smoker,DNA - Did not attend smoking cessation clinic,25261000000107,62881000000117,,37
128381000006117,200000,9OOA,9OOA.00,current or ex-smoker,Stop smoking monitoring check done,185799001,285806011,,37
137771000006119,200000,EGTONSM3,,current or ex-smoker,Smoking Age Started,137771000006103,137771000006119,,17
492511000000117,200000,745H,745H.00,current smoker,Smoking cessation therapy,710081004,3043296015,,32
1125741000000111,200000,67H6,67H6.00,current smoker,Brief intervention for smoking cessation,506491000000102,1125741000000111,,17
1662951000000113,200000,9Ndg,9Ndg.00,current smoker,Declined consent for follow-up by smoking cessation team,755741000000100,1662951000000113,,37
1709641000000115,200000,9NS02,9NS0200,current smoker,Referral for smoking cessation service offered,767641000000109,1709641000000115,,37
1484937011,100000,8B3f,8B3f.00,current smoker,Nicotine replacement therapy provided free,390905006,1484937011,,32
2474719011,100000,137h,137h.00,current smoker,Minutes from waking to first tobacco consumption,413173009,2474719011,,17
2669652019,100000,137Q,137Q.00,current smoker,Smoking started,266929003,2669652019,,17
21691000000116,100000,9OO-2,9OO..12,current smoker,Anti-smoking monitoring administration,714001000000108,1565241000000115,,37
67621000006112,100000,1376,1376.00,current smoker,Very heavy cigarette smoker (40+ cigs/day),160606002,250362014,,17
128311000006112,100000,9OO4,9OO4.00,current smoker,Stop smoking monitoring first letter,185792005,285794014,,37
128371000006115,100000,9OO7,9OO7.00,current smoker,Stop smoking monitoring verbal invite,185795007,285797019,,37
482771000000118,100000,745H4,745H400,current smoker,Smoking cessation drug therapy,713700008,3297364011,,32
482791000000119,100000,745H0,745H000,current or ex-smoker,Nicotine replacement therapy using nicotine patch,790121000000107,1766431000000116,,32
1715591000006117,100000,8HkQ,8HkQ.00,current smoker,Referral to National Health Service stop smoking service,505281000000106,1122921000000113,,40
1750931000000118,100000,8CdB,8CdB.00,current smoker,Stop smoking service opportunity signposted,783011000000105,1750931000000118,,32
137721000006115,90000,137-1,137..11,current smoker,Smoker - amount smoked,266918002,397730015,,17
904181000006118,90000,EMISQSM12,,current smoker,Smoking cessation counselling,904181000006102,904181000006118,,17
1785671000006116,90000,9OOB0,9OOB000,current smoker,Stop smoking invitation first short message service text message,783401000000101,1751761000000117,,37
250368013,80000,137C,137C.00,current smoker,Keeps trying to stop smoking,160612007,250368013,,17
250387019,80000,137Z,137Z.00,current smoker,Tobacco consumption NOS,266918002,397730015,,17
102951000006115,80000,E251,E251.00,current smoker,Tobacco dependence,89765005,2951656017,,32
137761000006114,80000,EGTONSM4,,current or ex-smoker,Smoking Age Ceased,137761000006105,137761000006114,,17
649861000006114,80000,EGTON322,,ex-smoker,Ex-Cigarette Smoker,649861000006105,649861000006114,,17
2251911000000114,80000,8T08,8T08.00,current smoker,Referral to smoking cessation service,871661000000106,2251911000000114,,32
285792013,70000,9OO2,9OO2.00,current smoker,Monitoring of smoking cessation therapy refused,765001003,3656021018,,37
16261000000110,70000,9OOZ,9OOZ.00,current smoker,Stop smoking monitoring administration,714001000000108,1567181000000113,,37
852131000006112,70000,EMISQSM18,,current smoker,Smoking cessation-practice nurse support,852131000006108,852131000006112,,17
649821000006115,60000,137O,137O.00,ex-smoker,Ex-cigar smoker,160621008,250377018,,17
649831000006117,60000,137N,137N.00,ex-smoker,Ex-pipe smoker,160620009,250376010,,17
904021000006118,60000,EMISQPR6,,current smoker,Previous smoking quit attempts,904021000006102,904021000006118,,17
1592611000000110,60000,137m,137m.00,current smoker,Failed attempt to stop smoking,446172000,2882460017,,17
37311000006117,50000,EMISHGT222,,current smoker,Other anti-smoking drug given,37311000006101,37311000006117,,1
736241000000116,50000,9kc,9kc..00,current smoker,Smoking cessation enhanced services administration,374361000000100,1152641000000112,,37
1154471000000114,50000,9km-1,9km..11,ex-smoker,Ex-smoker annual review,505761000000105,1154471000000114,,37
1662911000000114,50000,9Ndf,9Ndf.00,current smoker,Consent given for follow-up by smoking cessation team,755721000000107,1662911000000114,,37
216212011,40000,137V,137V.00,current smoker,Smoking reduced,134406006,216212011,,17
459524018,40000,8B3Y,8B3Y.00,current or ex-smoker,Over the counter nicotine replacement therapy,315055008,459524018,,32
25281000000119,40000,9OO-1,9OO..11,current smoker,Stop smoking clinic administration,714021000000104,1565261000000119,,37
482831000000114,40000,745H2,745H200,current or ex-smoker,Nicotine replacement therapy using nicotine inhalator,280811000000104,482831000000114,,32
482871000000111,40000,745Hy,745Hy00,current smoker,Other specified smoking cessation therapy,710081004,3043296015,,32
854021000006115,40000,EGTON321,,current smoker,Cigarette smoker,854021000006104,854021000006115,,17
1152111000000118,40000,9ko-1,9ko..11,current smoker,Current smoker annual review,505651000000103,1152111000000118,,37
1154431000000112,40000,9kn-1,9kn..11,non-smoker,Non-smoker annual review,505681000000109,1154431000000112,,37
1751721000000113,40000,9OOB,9OOB.00,current smoker,Stop smoking invitation short message service text message,783381000000101,1751721000000113,,37
344794017,30000,137Y,137Y.00,current smoker,Cigar consumption,230057008,344794017,,17
604961000006114,30000,EGTON1025,,current smoker,Current Smoker NOS,604961000006105,604961000006114,,17
904111000006113,30000,EMISQCO2,,non-smoker,Carbon monoxide validation confirms non-smoker,904111000006109,904111000006113,,17
904151000006114,30000,EMISQSM5,,current or ex-smoker,Smoking cessation 4 week F/U completed,904151000006105,904151000006114,,37
1151791000000117,30000,137K0,137K000,ex-smoker,Recently stopped smoking,517211000000106,1151791000000117,,17
1563081000000115,30000,13p50,13p5000,current or ex-smoker,Practice based smoking cessation programme start date,712971000000108,1563081000000115,,17
1626121000006116,30000,EMISNQSM6,,current or ex-smoker,Smoking cessation drug therapy - varenicline,1626121000006100,1626121000006116,,32
1780360012,20000,137f,137f.00,current smoker,Reason for restarting smoking,401159003,1780360012,,17
2670126018,20000,137e,137e.00,current smoker,Smoking restarted,308438006,2670126018,,17
128361000006110,20000,9OO8,9OO8.00,current smoker,Stop smoking monitoring telephone invite,185796008,285798012,,37
