medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
216596014,3000,H3A,H3A..00,End stage chronic obstructive airways disease,135836000,216596014,,32
301453013,1000000,H3122,H312200,Acute exacerbation of chronic obstructive airways disease,195951007,301453013,,32
301539010,7000,H3y,H3y..00,Other specified chronic obstructive airways disease,13645005,475428012,,32
301545019,500000,H3z,H3z..00,Chronic obstructive airway disease,13645005,475428012,,32
301836011,300,Hyu31,Hyu3100,[X]Other specified chronic obstructive pulmonary disease,13645005,475431013,,32
424365019,50000,ESCTAC8,,Acute infective exacerbation of chronic obstructive airways disease,285381006,424365019,,32
457168017,800000,H36,H36..00,Mild chronic obstructive pulmonary disease,313296004,457168017,,32
457169013,1000000,H37,H37..00,Moderate chronic obstructive pulmonary disease,313297008,457169013,,32
457171013,600000,H38,H38..00,Severe chronic obstructive pulmonary disease,313299006,457171013,,32
475431013,6000000,H3,H3...00,Chronic obstructive pulmonary disease,13645005,475431013,,32
1222334016,40,H3y-1,H3y..11,Other specified chronic obstructive pulmonary disease,13645005,475431013,,32
1222335015,20000,H3z-1,H3z..11,Chronic obstructive pulmonary disease NOS,13645005,475431013,,32
1484924013,1000000,66YB,66YB.00,Chronic obstructive pulmonary disease monitoring,390891009,1484924013,,1
1484971019,20000,66YD,66YD.00,Chronic obstructive pulmonary disease monitoring due,390941006,1484971019,,1
1488423019,200000,66YL,66YL.00,Chronic obstructive pulmonary disease follow-up,394702007,1488423019,,1
1488424013,4000000,66YM,66YM.00,Chronic obstructive pulmonary disease annual review,394703002,1488424013,,1
1488856013,60000,8CE6,8CE6.00,Chronic obstructive pulmonary disease leaflet given,395159008,1488856013,,32
1780380013,20000,66YS,66YS.00,Chronic obstructive pulmonary disease monitoring by nurse,401184000,1780380013,,1
1780381012,2000,66YT,66YT.00,Chronic obstructive pulmonary disease monitoring by doctor,401185004,1780381012,,1
2160051010,40000,8H2R,8H2R.00,Emergency hospital admission for chronic obstructive pulmonary disease,408501008,3082901016,,40
3011135010,400,ESCTST16,,Step down change in chronic obstructive pulmonary disease management plan,704123000,3011135010,,1
3517253011,20,^ESCT1166599,,Acute exacerbation of chronic obstructive pulmonary disease care plan,736365000,3517253011,,37
189761000000117,1000000,9Oi0,9Oi0.00,Chronic obstructive pulmonary disease monitoring first letter,716241000000106,1568801000000112,,37
198471000000111,400000,9Oi1,9Oi1.00,Chronic obstructive pulmonary disease monitoring second letter,717021000000106,1569571000000113,,37
199481000000116,200000,9Oi2,9Oi2.00,Chronic obstructive pulmonary disease monitoring third letter,717521000000104,1570061000000113,,37
299001000000116,30000,66Yg,66Yg.00,Chronic obstructive pulmonary disease disturbs sleep,198401000000104,299001000000116,,1
299031000000110,100000,66Yh,66Yh.00,Chronic obstructive pulmonary disease does not disturb sleep,198411000000102,299031000000110,,1
405121000000111,200000,679V,679V.00,Education about chronic obstructive pulmonary disease,741056003,3543021016,,17
516801000000112,60000,H39,H39..00,Very severe chronic obstructive pulmonary disease,293991000000106,516801000000112,,32
553001000006111,30000,68C2,68C2.00,Chronic obstructive pulmonary disease screening,171230000,265328014,,1
553211000006119,100000,H3y1,H3y1.00,"Chron obstruct pulmonary dis wth acute exacerbation, unspec",195951007,301453013,,32
555461000006119,8000,H3y0,H3y0.00,Chronic obstructive pulmonary disease with acute lower respiratory infection,196001008,301542016,,32
555471000006114,300000,H3-1,H3...11,COAD - Chronic obstructive airways disease,13645005,475423015,,32
839001000006111,900000,66YI,66YI.00,COPD self-management plan given,390891009,1484924013,,1
845451000006118,50000,66YL-1,66YL.11,COPD follow-up,394702007,1488423019,,1
