"searchterms","exclusionterms","searched_in_column","searchmethod"
"chronic obstructive pulmonary disease","FH:","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"chronic obstructive airways disease","excluded",,
"COPD","family history",,
"Chronic airflow limitation","quality indicators",,
"Chronic airflow obstruction","At risk of",,
"Chr. airway obstruction","Questionnaire",,
"Chron obstruct pulmonary dis","Suspected",,
"Chronic airway obstruction",,,
"Chronic obst. pulm. dis.",,,
"Chronic obstructive airway disease",,,
"Chronic obstructive bronchitis",,,
"Chronic obstructive lung disease",,,
"Chronic obstructive airways disease",,,
