medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
51590017,4000,1S40,1S40.00,Dysphoric mood,30819006,51590017,,27
138421012,100000,E135,E135.00,Agitated depression,83458005,138421012,,32
251629019,1000000,1465,1465.00,H/O: depression,161469008,251629019,,32
253619019,200000,2257,2257.00,O/E - depressed,162722001,253619019,,27
294642013,900,E0013,E001300,Presenile dementia with depression,191455000,294642013,,32
294644014,4000,E002,E002.00,Senile dementia with depressive or paranoid features,191457008,294644014,,32
294646011,5000,E0021,E002100,Senile dementia with depression,191459006,294646011,,32
294647019,400,E002z,E002z00,Senile dementia with depressive or paranoid features NOS,191457008,294644014,,32
294655014,500,E0043,E004300,Arteriosclerotic dementia with depression,191466007,294655014,,32
294824018,30000,E1120,E112000,"Single major depressive episode, unspecified",36923009,61590015,,32
294825017,60000,E1121,E112100,"Mild major depression, single episode",79298009,131561018,,32
294826016,60000,E1122,E112200,"Moderate major depression, single episode",15639000,26507014,,32
294828015,10000,E1124,E112400,"Single major depressive episode, severe, with psychosis",191604000,294828015,,32
294831019,300,E1126,E112600,Single episode of major depression in full remission,19527009,3304522019,,32
294832014,10000,E112z,E112z00,Single major depressive episode NOS,36923009,61590015,,32
294836012,10000,E1130,E113000,"Recurrent major depressive episodes, unspecified",268621008,401767019,,32
294837015,10000,E1131,E113100,"Recurrent major depressive episodes, mild",191610000,294837015,,32
294838013,30000,E1132,E113200,"Recurrent major depressive episodes, moderate",191611001,294838013,,32
294840015,10000,E1134,E113400,"Recurrent major depressive episodes, severe, with psychosis",191613003,294840015,,32
294843018,1000,E1136,E113600,Recurrent major depression in full remission,46244001,3304524018,,32
294844012,400000,E1137,E113700,Recurrent depression,191616006,294844012,,32
294845013,10000,E113z,E113z00,Recurrent major depressive episode NOS,268621008,401767019,,32
294894013,1000,E11y2,E11y200,Atypical depressive disorder,191659001,294894013,,32
294917018,20000,E130,E130.00,Reactive depressive psychosis,191676002,294917018,,32
294918011,20000,E130-1,E130.11,Psychotic reactive depression,191676002,294918011,,32
295494011,3000,E290z,E290z00,Brief depressive reaction NOS,192046006,295490019,,32
295535012,6000000,E2B,E2B..00,Depressive disorder,35489007,59212011,,32
295536013,2000,E2B0,E2B0.00,Postviral depression,192079006,295536013,,32
295537016,300000,E2B1,E2B1.00,Chronic depression,192080009,295537016,,32
296137015,300000,Eu320,Eu32000,Mild depression,310495003,454082014,,32
296138013,800000,Eu321,Eu32100,[X]Moderate depressive episode,310496002,454083016,,32
296180012,8000,Eu330,Eu33000,"[X]Recurrent depressive disorder, current episode mild",310495003,454082014,,32
296181011,20000,Eu331,Eu33100,"[X]Recurrent depressive disorder, current episode moderate",310496002,454083016,,32
296198011,3000,Eu334,Eu33400,"[X]Recurrent depressive disorder, currently in remission",698957003,2981573016,,32
296199015,1000,Eu33y,Eu33y00,[X]Other recurrent depressive disorders,191616006,294844012,,32
346972018,100000,E112-3,E112.13,Endogenous depression first episode,231499006,346972018,,32
346973011,6000,E11z2,E11z200,Masked depression,231500002,346973011,,32
369915018,100000,1BP,1BP..00,Loss of interest,247753000,369915018,,27
369972011,20000,1BQ,1BQ..00,Loss of capacity for enjoyment,247796005,369972011,,27
369974012,7000,1BU,1BU..00,Feeling hopeless,307077003,450255017,,27
369982012,20000,E118,E118.00,Seasonal affective disorder,247803002,369982012,,32
401766011,500000,E112,E112.00,"Major depression, single episode",36923009,61590015,,32
401866015,200000,Eu322,Eu32200,[X]Severe depressive episode without psychotic symptoms,310497006,454084010,,32
401869010,60000,Eu323,Eu32300,[X]Severe depressive episode with psychotic symptoms,191604000,294828015,,32
401871010,9000,Eu32y,Eu32y00,[X]Other depressive episodes,35489007,59212011,,32
401872015,700000,Eu32z,Eu32z00,"[X]Depressive episode, unspecified",35489007,486185019,,32
401873013,300000,Eu33,Eu33.00,[X]Recurrent depressive disorder,191616006,294844012,,32
401876017,10000,Eu33z,Eu33z00,"[X]Recurrent depressive disorder, unspecified",191616006,294844012,,32
407062014,500000,1B17-1,1B17.11,C/O - feeling depressed,272022009,407062014,,27
407066012,30000,1B17-2,1B17.12,C/O - feeling unhappy,272024005,407066012,,27
410861011,200000,E113-1,E113.11,Endogenous depression - recurrent,274948002,410861011,,32
441826016,300000,E112-4,E112.14,Endogenous depression,300706003,441826016,,32
454063017,20000,1B1I1,1B1I100,C/O tearfulness,310480000,454063017,,27
1222477019,300,R007z-3,R007z13,[D]Postoperative depression,82218004,136373018,,32
1230451012,9000,E2924,E292400,Adjustment reaction with anxious mood,47372000,1230451012,,32
1231868010,40000,62T1,62T1.00,Puerperal depression,58703003,1231868010,,32
1488626018,500000,1B1U,1B1U.00,Symptoms of depression,394924000,1488626018,,27
1488771018,10000,6G00,6G00.00,Postnatal depression counselling,395072006,1488771018,,1
1494612017,100000,1B1U-1,1B1U.11,Depressive symptoms,394924000,1494612017,,27
1495055011,80,Eu06y-1,Eu06y11,[X]Right hemispheric organic affective disorder,231443008,346902019,,32
1773563015,8000,8BK0,8BK0.00,Depression management programme,401174001,1773563015,,32
2164005017,2000000,1BT,1BT..00,Depressed mood,366979004,490537016,,27
2164006016,3000000,1B17,1B17.00,Depressed,366979004,490537016,,27
2164009011,6000000,1BT-1,1BT..11,Low mood,366979004,490537016,,27
