"searchterms","exclusionterms","searched_in_column","searchmethod"
"Loss of interest","FH: ","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Loss of capacity for enjoyment","Gender dysphoria",,
"C/O - feeling depressed","scale",,
"C/O - feeling unhappy","manic",,
"C/O tearfulness","mania",,
"Depressive symptoms","bipolar",,
"Low mood","family history",,
"Loss of interest in previously enjoyable activity","adverse effect",,
"Loss of interest","screening",,
"Loss of interest/involvement in activities/self-care","score",,
"Abnormal depressed feelings","Bone marrow",,
"Feeling low or worried","fracture",,
"Hopelessness","depressant",,
"Blunting of mood","cerebral",,
"Loss of pleasure","skull",,
"Complaining of feeling depressed","ST depression",,
"Complaining of feeling unhappy","Geriatric depression scale - 2 points",,
"Feeling hopeless","Geriatric depression scale - 3 points",,
"Hopelessness","Geriatric depression scale - 4 points",,
"Feeling of hopelessness","quality indicators",,
"Complaining of tearfulness","trial",,
"Dysphoric mood","PCL-C - Loss of interest in activities you used to enjoy: Not at all",,
"O/E - depressed","PCL-C - Loss of interest in activities you used to enjoy: A little bit",,
"Symptoms of depression","Respiratory Depression",,
"Dysphoria","No past history of",,
"On examination - depressed","No history of",,
"Postnatal depression counselling","ST segment",,
"[X]Postnatal depression NOS","Gender identity dysphoria",,
"[X]Postpartum depression NOS","ventricular",,
"Post natal depression",,,
"[RFC] Postnatal depression",,,
"Postnatal depression discussed",,,
"Postnatal depression not discussed",,,
"Antenatal depression",,,
"[X]Antenatal depression",,,
"Maternal postnatal depression",,,
"Postnatal depression counseling",,,
"Counseling for postnatal depression",,,
"Counselling for postnatal depression",,,
"Positive screening for depression on PHQ-9 (Patient Health Questionnaire 9)",,,
"Positive screening for depression on Patient Health Questionnaire 9",,,
"H/O: depression",,,
"Single major depressive episode, in full remission",,,
"Recurrent major depressive episodes, in full remission",,,
"[V]Personal history of affective disorder",,,
"Single major depressive episode, partial or unspec remission",,,
"Depression resolved",,,
"Post-schizophrenic depression, incomplete remission",,,
"Post-schizophrenic depression, complete remission",,,
"Single episode of major depression in full remission",,,
"Major depression, single episode, in complete remission",,,
"Major depression, single episode, in full remission",,,
"Recurrent major depression in full remission",,,
"History of depressive disorder",,,
"Has had depression",,,
"History of depression",,,
"Depressive disorder in remission",,,
"Single major depressive episode, in full remission",,,
"Endogenous depression first episode",,,
"Endogenous depression first episode",,,
"Recurrent major depressive episodes, unspecified",,,
"Recurrent major depressive episodes, mild",,,
"Recurrent major depressive episodes, moderate",,,
"Recurrent major depressive episodes, severe, with psychosis",,,
"Recurrent depression",,,
"Recurrent major depressive episode NOS",,,
"Chronic depression",,,
"[X]Recurrent depressive disorder, current episode mild",,,
"[X]Recurrent depressive disorder, current episode moderate",,,
"[X]Recurrent depressive disorder, currently in remission",,,
"[X]Other recurrent depressive disorders",,,
"[X]Recurrent depressive disorder",,,
"[X]Recurrent depressive disorder, unspecified",,,
"[X]Other recurrent mood affective disorders",,,
"Endogenous depression - recurrent",,,
"Recurrent major depressive episode",,,
"Recurrent major depressive episodes, severe, no psychosis",,,
"Recurrent major depressive episodes,partial/unspec remission",,,
"[X]Major depression, recurrent without psychotic symptoms",,,
"[X]Recurrent brief depressive episodes",,,
"[X]Recurrent depress disorder cur epi severe with psyc symp",,,
"[X]Recurrent episodes of depressive reaction",,,
"[X]Recurrent episodes of psychogenic depression",,,
"[X]Recurrent episodes of reactive depression",,,
"[X]Recurrent severe episodes of psychotic depression",,,
"[X]Recurrent severe episodes/reactive depressive psychosis",,,
"[X]Vital depression, recurrent without psychotic symptoms",,,
"Single major depressive episode, severe, with psychosis, psychosis in remission",,,
"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",,,
"Recurrent depressive disorder, current episode mild, without somatic syndrome",,,
"Recurrent depressive disorder, current episode mild, with somatic syndrome",,,
"Recurrent depressive disorder, current episode moderate, without somatic syndrome",,,
"Recurrent depressive disorder, current episode moderate, with somatic syndrome",,,
"Other recurrent mood affective disorders, recurrent brief depressive disorder",,,
"Severe recurrent major depression with psychotic features",,,
"Severe recurrent major depression without psychotic features",,,
"Recurrent brief depressive disorder",,,
"Recurrent major depression in complete remission",,,
"Major depression, single episode, in partial remission",,,
"Single major depressive episode, severe, with psychosis, psychosis in remission",,,
"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",,,
