medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
787111000006112,30000,C108-1,C108.11,IDDM-Insulin dependent diabetes mellitus,73211009,121589010,,32
77727018,70000,C10E-2,C10E.12,Insulin dependent diabetes mellitus,73211009,121589010,,32
772171000006114,100000,C108,C108.00,Insulin dependent diabetes mellitus,73211009,121589010,,32
292621010,50,C10yz,C10yz00,Diabetes mellitus NOS with other specified manifestation,73211009,121589010,,32
772161000006119,80000,C1000-1,C100011,Insulin dependent diabetes mellitus,73211009,121589010,,32
616571000006118,1000,C10y1,C10y100,"Diabetes mellitus, adult, + other specified manifestation",73211009,121589010,,32
13781000006113,10,C10yy,C10yy00,Other specified diabetes mellitus with other spec comps,73211009,121589010,,32
293756010,70,Cyu20,Cyu2000,[X]Other specified diabetes mellitus,73211009,121589010,,32
377001000006117,600,Cyu2,Cyu2.00,[X]Diabetes mellitus,73211009,121589010,,32
913711000006112,1000,C10E9-2,C10E912,Insulin dependent diabetes maturity onset,73211009,121589010,,32
772151000006116,800,C1089,C108900,Insulin dependent diabetes maturity onset,73211009,121589010,,32
121589010,6000000,C10,C10..00,Diabetes mellitus,73211009,121589010,,32
616681000006116,100,C10y0,C10y000,"Diabetes mellitus, juvenile, + other specified manifestation",73211009,121589010,,32
149278011,100,C1100,C110000,Iatrogenic hyperinsulinism,90054000,1217072011,,32
3963921000006111,1,^ESCTIA396392,,Iatrogenic hyperinsulinaemia,90054000,1217072011,,32
12174801000006114,NA,NA,NA,NA,NA,NA,NA,NA
3963931000006114,NA,NA,NA,NA,NA,NA,NA,NA
2683581000006112,30,^ESCTLA268358,,Labile diabetes,11530004,1220208016,,27
12218511000006112,NA,NA,NA,NA,NA,NA,NA,NA
1223147012,2000,C10FJ-1,C10FJ11,Insulin treated Type II diabetes mellitus,237599002,1223147012,,32
841351000006110,1000,C109J-2,C109J12,Insulin treated Type II diabetes mellitus,237599002,1223147012,,32
1223148019,1000,C109J-1,C109J11,Insulin treated non-insulin dependent diabetes mellitus,237599002,1223148019,,32
771331000006116,80,C108H,C108H00,Insulin dependent diabetes mellitus with arthropathy,39710007,1229552016,,32
459293018,6,C10EH-2,C10EH12,Insulin dependent diabetes mellitus with arthropathy,39710007,1229552016,,32
169731000006118,200000,2BBF,2BBF.00,Retinal abnormality - diabetes-related,4855003,1230609013,,32
2576431000006117,40,^ESCTDR257643,,DR - Diabetic retinopathy,4855003,1230610015,,32
1230890017,7000,F1711,F171100,Autonomic neuropathy due to diabetes,50620007,1230890017,,32
1230929011,3000,C10G,C10G.00,Secondary pancreatic diabetes mellitus,51002006,1230929011,,32
12331051000006112,NA,NA,NA,NA,NA,NA,NA,NA
12331221000006112,NA,NA,NA,NA,NA,NA,NA,NA
12332101000006118,NA,NA,NA,NA,NA,NA,NA,NA
12332271000006117,NA,NA,NA,NA,NA,NA,NA,NA
12332751000006115,NA,NA,NA,NA,NA,NA,NA,NA
12334141000006111,NA,NA,NA,NA,NA,NA,NA,NA
12334611000006115,NA,NA,NA,NA,NA,NA,NA,NA
12335671000006113,NA,NA,NA,NA,NA,NA,NA,NA
12335991000006117,NA,NA,NA,NA,NA,NA,NA,NA
12336111000006119,NA,NA,NA,NA,NA,NA,NA,NA
12336531000006116,NA,NA,NA,NA,NA,NA,NA,NA
12336851000006113,NA,NA,NA,NA,NA,NA,NA,NA
12336871000006115,NA,NA,NA,NA,NA,NA,NA,NA
12363661000006113,NA,NA,NA,NA,NA,NA,NA,NA
12363681000006115,NA,NA,NA,NA,NA,NA,NA,NA
12370271000006116,NA,NA,NA,NA,NA,NA,NA,NA
292617015,2000,C10y,C10y.00,Diabetes mellitus with other specified manifestation,74627003,123939015,,32
292622015,800,C10z,C10z.00,Diabetes mellitus with unspecified complication,74627003,123939015,,32
292626017,400,C10zz,C10zz00,Diabetic complication,74627003,123939015,,32
13811000006110,30,C10zy,C10zy00,Other specified diabetes mellitus with unspecified comps,74627003,123939015,,32
719531000006118,200,C10A,C10A.00,Malnutrition related diabetes mellitus,75524006,125439011,,32
12702421000006111,NA,NA,NA,NA,NA,NA,NA,NA
1484867016,100000,F4206,F420600,Non proliferative diabetic retinopathy,390834004,1484867016,,32
1484887015,30000,2BBL,2BBL.00,O/E - diabetic maculopathy present both eyes,390854003,1484887015,,27
1488393013,8000000,2G5E,2G5E.00,O/E - Right diabetic foot at low risk,394671009,1488393013,,27
1488394019,400000,2G5G,2G5G.00,O/E - Right diabetic foot at high risk,394672002,1488394019,,27
1488395018,30000,2G5H,2G5H.00,O/E - Right diabetic foot - ulcerated,394673007,1488395018,,27
1488396017,40000,2G5L,2G5L.00,O/E - Left diabetic foot - ulcerated,394674001,1488396017,,27
1488397014,7000000,2G5I,2G5I.00,O/E - Left diabetic foot at low risk,394675000,1488397014,,27
