medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
178784013,80000,F5615,F561500,Benign paroxysmal positional vertigo,111541001,178784013,,32
187840011,1000,F5614-1,F561411,Aural vertigo,13445001,187840011,,32
253031016,200000,1B53,1B53.00,Dizziness present,162260006,253031016,,27
299159019,3000,F5600,F560000,Menieres disease,13445001,2920410013,,32
299164015,20000,F560z,F560z00,Ménière's disease,13445001,178783019,,32
299165019,20000,F561,F561.00,Other and unspecified peripheral vertigo,50438001,84026016,,32
299166018,20000,F5610,F561000,Peripheral vertigo,50438001,84026016,,32
299167010,800000,F5611,F561100,Benign paroxysmal positional vertigo or nystagmus,194355000,299167010,,32
299171013,1000,F561z,F561z00,Other peripheral vertigo NOS,50438001,84026016,,32
299172018,300,F5620,F562000,Central positional nystagmus,194360001,299172018,,32
299174017,600,F562z,F562z00,Vertigo of central origin NOS,20425006,34357011,,32
299196011,70000,F56y,F56y.00,Other labyrinth disorders,20425006,34357011,,32
299197019,20000,F56z,F56z.00,Labyrinthine disorder,20425006,34357011,,32
299542015,500,FyuQ,FyuQ.00,[X]Diseases of inner ear,232297009,348040014,,32
299544019,600,FyuQ1,FyuQ100,[X]Other peripheral vertigo,50438001,84026016,,32
299545018,1000,FyuQ2,FyuQ200,[X]Other disorders of vestibular function,20425006,34357011,,32
299546017,100,FyuQ3,FyuQ300,[X]Other specified diseases of inner ear,232297009,348040014,,32
313171011,70,P405z,P405z00,Inner ear anomalies NOS,232297009,348040014,,32
317024019,100000,R004,R004.00,Dizziness and giddiness,271789005,406731010,,32
317025018,1000000,R0040,R004000,[D]Dizziness,404640003,2156535017,,27
317028016,1000000,R0043,R004300,[D]Vertigo NOS,399153001,1778609014,,27
317029012,200000,R0044,R004400,[D]Acute vertigo,399153001,1778609014,,27
317030019,20000,R004z,R004z00,[D]Dizziness and giddiness NOS,271789005,406731010,,32
411537018,100000,1491-2,1491.12,H/O: vertigo,275543009,411537018,,32
475301015,20000,F5614,F561400,Otogenic vertigo,13445001,475301015,,32
1778609014,700000,1B56,1B56.00,Vertigo,399153001,1778609014,,27
67551000006116,100000,F56,F56..00,Disorder of inner ear,232297009,348040014,,32
627241000006116,3000000,1B5-1,1B5..11,Dizziness,404640003,2156535017,,27
710871000006110,300000,F560,F560.00,Meniere disease,13445001,475303017,,32
812181000006115,50000,1491,1491.00,History of - vertigo/Ménière's disease,266994001,2642464010,,32
883801000006113,80,F562-99,F562.99,Central nystagmus/vertigo,20425006,883801000006113,,32
