medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
26027016,20,C325-1,C325.11,Tangier disease,15346004,26026013,,32
97154016,800,C3272,C327200,Niemann-Pick disease,58459009,97154016,,32
192452016,10000,C32-1,C32..11,Disorder of cholesterol metabolism,123963007,192452016,,32
201018013,200,C3273-1,C327311,Primary familial xanthomatosis,82500001,201018013,,32
216555011,40000,8BG2,8BG2.00,Lipid lowering therapy indicated,135797000,216555011,,32
216565017,20000,8I69,8I69.00,Lipid lowering therapy not indicated,135807000,216565017,,32
216580011,4000,8I2C,8I2C.00,Lipid lowering therapy contraindicated,135822005,216580011,,32
216584019,10000,8I3J,8I3J.00,Lipid lowering therapy declined,135826008,216584019,,32
249817018,90000,1269,1269.00,Family history of familial hypercholesterolaemia,443454007,2839183014,,7
259211019,80000,44O3,44O3.00,Serum lipids borderline raised,166815004,259211019,,34
259212014,200000,44O4,44O4.00,Serum lipids high,166816003,259212014,,34
259215011,80000,44O6,44O6.00,Lipids abnormal,166818002,259215011,,34
293259016,300,C3201,C320100,Hyperbetalipoproteinaemia,190773008,293259016,,32
293262018,4000,C3202,C320200,"Hyperlipidaemia, group A",190774002,293262018,,32
293267012,4000,C320y,C320y00,Other specified pure hypercholesterolaemia,13644009,23283015,,32
293270011,100000,C320z,C320z00,Pure hypercholesterolaemia NOS,267432004,398852019,,32
293299018,2000000,C324,C324.00,Hyperlipidaemia,55822004,497411018,,32
293307012,90,C3252,C325200,Hypo-beta-lipoproteinaemia,190786004,293307012,,32
293313015,300,C325z,C325z00,Lipoprotein deficiency NOS,267436001,398869017,,32
293342011,1000,C32y,C32y.00,Other disorders of lipoid metabolism,267431006,398850010,,32
293353017,100,C32yz,C32yz00,Other disorder of lipoid metabolism NOS,267431006,398850010,,32
293354011,2000,C32z,C32z.00,Disorder of lipoid metabolism NOS,267431006,398851014,,32
293815017,60,Cyu89,Cyu8900,Lipid storage disease,10741005,18656011,,32
293821018,2000,Cyu8D,Cyu8D00,[X]Other hyperlipidaemia,55822004,497411018,,32
296988018,1,F101z,F101z00,Cerebral lipidoses NOS,192794001,296993015,,32
296991018,3,F1021,F102100,Cerebral degeneration in Niemann-Pick disease,192792002,296991018,,32
297824010,4,F4271,F427100,Hereditary retinal dystrophies in lipidoses,193400007,297824010,,32
356800016,6000,C3220,C322000,Familial combined hyperlipidaemia,238040008,356800016,,32
356862010,500,C327z-1,C327z11,"Xanthomatosis, familial",238074007,356862010,,32
356867016,3000,C3206,C320600,Polygenic hypercholesterolaemia,238077000,356867016,,32
356878012,50,C3205,C320500,Familial defective apolipoprotein B-100,238081000,356878012,,32
356884010,20,C321-2,C321.12,Very low density lipoprotinaemia,238084008,356884010,,32
356886012,300,C321-1,C321.11,Fredrickson type IV lipidaemia,238085009,356886012,,32
398850010,300000,C32,C32..00,Disorder of lipid metabolism,267431006,398851014,,32
