medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
10843018,600000,S30,S30..00,Fracture of neck of femur,5913000,10843018,,32
125993015,400000,S23,S23..00,Fracture of radius AND ulna,75857000,125993015,,32
133435011,4000,S2351,S235100,Open Colles' fracture,80411001,133435011,,32
216206018,50000,N331M,N331M00,Pathological fracture due to osteoporosis,443165006,2837900019,,32
277185016,5000,7K1L4,7K1L400,Closed reduction of fracture of hip,179159005,277185016,,32
277199017,40000,7K1LL,7K1LL00,Closed reduction of fracture of radius and/or ulna,179172006,1489754013,,32
311305016,2000,N1y1,N1y1.00,Fatigue fracture of vertebra,202831001,311305016,,32
312617013,2000,Nyu67,Nyu6700,Fracture of vertebral column,50448004,84047017,,32
312681016,500,NyuB0,NyuB000,[X]Other osteoporosis with pathological fracture,443165006,2837900019,,32
312689019,2000,NyuB8,NyuB800,[X]Unspecified osteoporosis with pathological fracture,443165006,2837900019,,32
318353013,1000,S1000,S100000,Closed fracture of unspecified cervical vertebra,269062008,402833017,,32
318384010,800,S100H,S100H00,"Closed fracture cervical vertebra, wedge",207904007,318384010,,32
318386012,1000,S100K,S100K00,"Closed fracture cervical vertebra, spinous process",207906009,318386012,,32
318391013,1000,S100z,S100z00,Closed fracture of cervical spine not otherwise specified,269062008,402833017,,32
318435018,20000,S102,S102.00,Closed fracture thoracic vertebra,207938004,318435018,,32
318436017,800,S1020,S102000,"Closed fracture thoracic vertebra, burst",207939007,318436017,,32
318437014,40000,S1021,S102100,"Closed fracture thoracic vertebra, wedge",207940009,318437014,,32
318443011,300,S102y,S102y00,Other specified closed fracture thoracic vertebra,207938004,318435018,,32
318445016,1000,S102z,S102z00,Closed fracture thoracic vertebra not otherwise specified,207938004,318435018,,32
318448019,200,S1031,S103100,"Open fracture thoracic vertebra, wedge",207951009,318448019,,32
318454018,40000,S104,S104.00,Closed fracture lumbar vertebra,207957008,318454018,,32
318455017,2000,S1040,S104000,"Closed fracture lumbar vertebra, burst",207958003,318455017,,32
318456016,40000,S1041,S104100,"Closed fracture lumbar vertebra, wedge",207959006,318456016,,32
318457013,100,S1042,S104200,"Closed fracture lumbar vertebra, spondylolysis",207960001,318457013,,32
318482013,1000,S10A0,S10A000,Fracture of first cervical vertebra,207983003,318482013,,32
318485010,2000,S10B,S10B.00,Fracture of lumbar spine and pelvis,207986006,318485010,,32
318492017,1000,S10B6,S10B600,Multiple fractures of lumbar spine and pelvis,207993005,318492017,,32
318495015,3000,S10z,S10z.00,Fracture of spine without mention of spinal cord lesion NOS,269061001,402831015,,32
318528011,500,S112,S112.00,Closed fracture of thoracic spine with spinal cord lesion,208026008,318528011,,32
318556018,1000,S114,S114.00,Closed fracture of lumbar spine with spinal cord lesion,208054001,318556018,,32
318562011,40,S1145,S114500,Closed spinal fracture with cauda equina lesion,208060001,318562011,,32
318725011,6000,S150,S150.00,Multiple fractures of thoracic spine,208215006,318725011,,32
318838011,5000,S2340,S234000,"Closed fracture of forearm, lower end, unspecified",33192001,55392016,,32
318880010,100,S2351-1,S235111,Smith's fracture - open,208340001,318880010,,32
318910019,400,S23y,S23y.00,"Open fracture of radius and ulna, unspecified part",81966000,135964010,,32
318912010,400,S23y1,S23y100,"Open fracture of radius (alone), unspecified",12676007,21770014,,32
318914011,1000,S23yz,S23yz00,Open fracture of radius AND ulna,81966000,135964010,,32
318915012,50000,S23z,S23z.00,"Fracture of radius and ulna, NOS",75857000,125994014,,32
319084014,1000,S300,S300.00,"Closed fracture proximal femur, transcervical",208521006,319084014,,32
319086011,40,S3001,S300100,"Closed fracture proximal femur, transepiphyseal",208523009,319086011,,32
319090013,2000,S3004,S300400,Closed fracture head of femur,208526001,319090013,,32
319092017,200,S3006,S300600,"Closed fracture proximal femur, subcapital, Garden grade I",208528000,319092017,,32
319093010,100,S3007,S300700,"Closed fracture proximal femur, subcapital, Garden grade II",208529008,319093010,,32
319095015,200,S3009,S300900,"Closed fracture proximal femur, subcapital, Garden grade IV",208531004,319095015,,32
319108013,50,S3015,S301500,"Open fracture proximal femur,subcapital, Garden grade unspec",208540000,319108013,,32
319118015,2000,S302,S302.00,"Closed fracture of proximal femur, pertrochanteric",208548007,319118015,,32
319123015,500,S3021,S302100,"Closed fracture proximal femur, intertrochanteric, two part",208550004,319123015,,32
319124014,2000,S3022,S302200,"Closed fracture proximal femur, subtrochanteric",208551000,319124014,,32
319128012,50,S303,S303.00,"Open fracture of proximal femur, pertrochanteric",208555009,319128012,,32
319134017,50,S3032,S303200,"Open fracture proximal femur, subtrochanteric",208558006,319134017,,32
319138019,1000,S304,S304.00,Pertrochanteric fracture,208562000,319138019,,32
319145019,400,S30z,S30z.00,Open fracture of neck of femur,361119006,477343011,,32
319146018,60000,S31,S31..00,Fracture of femur,71620000,118977010,,32
319152017,100,S310z,S310z00,"Closed fracture of shaft or unspecified part, NOS",71620000,118977010,,32
319153010,500,S311,S311.00,"Open fracture of femur, shaft or unspecified part",71620000,118977010,,32
319154016,300,S3110,S311000,"Open fracture of femur, unspecified part",71620000,118977010,,32
319155015,30,S311z,S311z00,"Open fracture of femur, shaft or unspecified part, NOS",71620000,118977010,,32
319180015,200000,S31z,S31z.00,"Fracture of femur, NOS",71620000,118978017,,32
319532011,1000,S450,S450.00,Closed traumatic dislocation of hip,208892001,319532011,,32
319533018,700,S4500,S450000,"Closed traumatic dislocation of hip, unspecified",208892001,319532011,,32
319537017,300,S450z,S450z00,Closed traumatic dislocation of hip not otherwise specified,208892001,319532011,,32
325439014,100,Syu72,Syu7200,[X]Fractures of other parts of femur,71620000,118977010,,32
358600013,30000,7K1D0-E,7K1D01E,DHS - Dynamic hip screw primary fixation of neck of femur,239285007,358599010,,32
359833013,60000,N331-4,N331.14,Osteoporotic vertebral collapse,240198002,359833013,,32
391347010,700000,S23x1-1,S23x111,Fracture of radius,12676007,21770014,,32
391354016,200000,S23B,S23B.00,Fracture of lower end of radius,263199001,391354016,,32
391366010,6000,S23C,S23C.00,Fracture of lower end of both ulna and radius,263208005,391366010,,32
391382011,200,S3100-2,S310012,Upper leg fracture NOS,71620000,118977010,,32
391384012,100000,S30-1,S30..11,Hip fracture,263225007,391384012,,32
391392015,5000,S305,S305.00,Subtrochanteric fracture,263229001,391392015,,32
391393013,10000,S30y-1,S30y.11,Hip fracture NOS,263225007,391384012,,32
402831015,9000,S10-2,S10..12,Fracture of vertebra without spinal cord lesion,269061001,402831015,,32
402832010,20000,S10,S10..00,Fracture of spine without mention of spinal cord injury,269061001,402832010,,32
402833017,20000,S100,S100.00,Closed fracture of cervical spine,269062008,402833017,,32
402838014,1000,S1005,S100500,Closed fracture of fifth cervical vertebra,269067002,402838014,,32
402839018,1000,S1006,S100600,Closed fracture of sixth cervical vertebra,269068007,402839018,,32
402840016,2000,S1007,S100700,Closed fracture of seventh cervical vertebra,269069004,402840016,,32
402859019,300000,S2341,S234100,Closed Colles' fracture,269083002,402859019,,32
402869013,200,S300y,S300y00,"Closed fracture proximal femur, other transcervical",208521006,319084014,,32
402874017,40000,S30y,S30y.00,Closed fracture of neck of femur,359820003,475220015,,32
405144016,1000,N3311,N331100,Pathological fracture of lumbar vertebra,270508006,405144016,,32
411305015,2000,S300y-1,S300y11,"Closed fracture of femur, subcapital",275338001,411305015,,32
411307011,7000,S3020-1,S302011,"Closed fracture of femur, greater trochanter",275340006,411307011,,32
411310016,200,S3030-1,S303011,"Open fracture of femur, greater trochanter",275343008,411310016,,32
455433012,200,N331H,N331H00,Collapse of cervical vertebra due to osteoporosis,311806008,455433012,,32
455444016,2000,S1500,S150000,Closed multiple fractures of thoracic spine,311814002,455444016,,32
455534015,4000,N331J,N331J00,Collapse of lumbar vertebra due to osteoporosis,311890007,455534015,,32
455535019,4000,N331K,N331K00,Collapse of thoracic vertebra due to osteoporosis,311891006,455535019,,32
455536018,3000,N331L,N331L00,Collapse of vertebra due to osteoporosis,240198002,2920899019,,32
485443016,40000,S234,S234.00,"Closed fracture of radius and ulna, lower end",33192001,485443016,,32
1220723013,50000,S15,S15..00,Fracture of thoracic vertebra,125607007,1220723013,,32
1485119015,30000,14G6,14G6.00,H/O: fragility fracture,391092009,1485119015,,32
1485120014,4000,14G7,14G7.00,H/O: hip fracture,391093004,1485120014,,32
1485121013,30000,14G8,14G8.00,H/O: vertebral fracture,391094005,1485121013,,32
1490703015,40000,S2346,S234600,"Closed fracture radius and ulna, distal",33192001,1490703015,,32
