medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
18472010,8000,G5800,G580000,Acute congestive heart failure,10633002,18472010,,32
94251011,5000,G582,G582.00,Acute heart failure,56675007,94251011,,32
139475013,1000000,G58,G58..00,Heart failure,84114007,139475013,,32
139481017,200,G58z-1,G58z.11,Weak heart,84114007,139475013,,32
139482012,40000,G58-1,G58..11,Cardiac failure,84114007,139482012,,32
141306010,800000,G581,G581.00,Left ventricular failure,85232009,141306010,,32
147247018,20000,G5801,G580100,Chronic congestive heart failure,88805009,147247018,,32
198599018,30000,1736,1736.00,Paroxysmal nocturnal dyspnoea,55442000,198599018,,27
216184014,30000,662T,662T.00,Congestive heart failure monitoring,134378009,216184014,,1
216207010,300000,G5yy9,G5yy900,Left ventricular systolic dysfunction,134401001,216207010,,32
251680018,9000,14A6,14A6.00,H/O: heart failure,161505003,251680018,,32
350484012,90,SP111-1,SP11111,Heart failure as a complication of care,233924009,350484012,,32
395772015,40000,G58z,G58z.00,Heart failure NOS,84114007,139475013,,32
411506018,60000,G581-3,G581.13,Impaired left ventricular function,275514001,411506018,,32
453099015,900,14AM,14AM.00,H/O: Heart failure in last year,309634009,453099015,,32
490972013,3000,G580-3,G580.13,Right ventricular failure,367363000,490972013,,32
510016018,20000,G580-4,G580.14,Biventricular congestive heart failure,92506005,153058012,,32
1484917012,40000,8HBE,8HBE.00,Heart failure follow-up,390884006,1484917012,,40
1484918019,200000,662W,662W.00,Heart failure annual review,390885007,1484918019,,1
1488804017,30000,1O1,1O1..00,Heart failure confirmed,395105005,1488804017,,27
2159197017,200000,585f,585f.00,Echocardiogram shows left ventricular systolic dysfunction,407596008,2159197017,,41
2548316014,90000,9N2p,9N2p.00,Seen by community heart failure nurse,417359009,2548316014,,37
2549208013,900,8H2S,8H2S.00,Emergency hospital admission for heart failure,416683003,3082850014,,40
2549243014,200000,9N0k,9N0k.00,Seen in heart failure clinic,416717003,2549243014,,37
2549697018,20000,8HHb,8HHb.00,Referral to heart failure nurse,417146007,2549697018,,40
2616471011,100000,662g,662g.00,New York Heart Association Classification - Class II,421704003,2616471011,,1
2616472016,50000,662h,662h.00,New York Heart Association Classification - Class III,420913000,2616472016,,1
2645623019,30000,679X,679X.00,Heart failure education,423475008,2645623019,,17
2675255018,1000,G5804,G580400,Congestive heart failure due to valvular disease,426611007,2675255018,,32
223981000000118,3000,G58z-2,G58z.12,Cardiac failure NOS,84114007,139482012,,32
303361000000111,600,9N6T,9N6T.00,Referred by heart failure nurse specialist,200171000000102,303361000000111,,37
303861000000118,300,9N4s,9N4s.00,Did not attend practice nurse heart failure clinic,200361000000106,303861000000118,,37
308011000000119,2000,67D4,67D4.00,Provision of information about heart failure,961881000000101,2451451000000116,,17
308041000000118,600,8HHz,8HHz.00,Referral to heart failure exercise programme,704095000,3011242019,,40
308261000000111,50000,9Or0,9Or0.00,Heart failure review completed,202231000000106,308261000000111,,37
308301000000118,20000,8CL3,8CL3.00,Discussion about heart failure care plan,872361000000105,2253411000000117,,32
404741000000119,60000,662p,662p.00,Heart failure 6 month review,247361000000100,404741000000119,,1
407101000000114,6000,9Or5,9Or5.00,Heart failure monitoring third letter,716621000000101,1569171000000116,,37
407181000000116,2000,9N4w,9N4w.00,Did not attend heart failure clinic,248571000000104,407181000000116,,37
784191000006110,100000,33BA,33BA.00,Impaired left ventricular function,275514001,411506018,,32
1561941000006119,30000,9hH0,9hH0.00,Excepted from heart failure quality indicators - patient unsuitable,717481000000104,1570021000000117,,37
1561951000006117,10000,9hH1,9hH1.00,Excepted from heart failure quality indicators - informed dissent,717491000000102,1570031000000115,,37
1647701000000118,20000,G583,G583.00,Heart failure with normal ejection fraction,446221000,2883808011,,32
1661371000000112,600,G583-1,G583.11,HFNEF - heart failure with normal ejection fraction,446221000,1713091000000115,,32
1693911000000115,60,8IE0,8IE0.00,Referral to heart failure education group declined,763641000000102,1693911000000115,,32
1734081000000112,400,8IE1,8IE1.00,Referral to heart failure exercise programme declined,704097008,3011446018,,32
1816101000006113,3000,G584,G584.00,Right ventricular failure,367363000,490972013,,32
2227501000000110,9000,G583-2,G583.12,Heart failure with preserved ejection fraction,446221000,2227501000000110,,32
