medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
56765016,800000,J40-1,J40..11,Crohn's disease,34000006,56765016,,32
56770011,100,J40-2,J40..12,Granulomatous enteritis,34000006,56765016,,32
302322010,400,J08z9,J08z900,Orofacial Crohn's disease,196578009,302322010,,32
302939018,1000,J4003,J400300,Crohn's disease of the ileum unspecified,38106008,64705019,,32
302940016,5000,J4004,J400400,Crohn's disease of ileum,38106008,64705019,,32
302941017,8000,J400z,J400z00,Crohn's disease of small intestine,56689002,94270018,,32
303761010,800,Jyu40,Jyu4000,[X]Other Crohn's disease,34000006,56765016,,32
309744019,3000,N0311,N031100,Arthropathy in Crohn's disease,201728006,309744019,,32
309833017,100,N0453,N045300,Juvenile arthritis in Crohn's disease,201805000,309833017,,32
396357012,6000,J401z,J401z00,Crohn's disease of large bowel,7620006,13585013,,32
1222351011,4000,J40z-1,J40z.11,Crohn's disease NOS,34000006,56765016,,32
2532950019,2000,J4012,J401200,Exacerbation of Crohn's disease of large intestine,414153008,2532950019,,32
2532958014,3000,J4005,J400500,Exacerbation of Crohn's disease of small intestine,414154002,2532958014,,32
179501000006113,200000,J40,J40..00,Crohn's regional enteritis,34000006,485713019,,32
601031000006119,40000,J401z-1,J401z11,CC - Crohn's colitis,50440006,1230866018,,32
601091000006115,20000,J4002,J400200,Crohn's disease of terminal ileum,196977009,302938014,,32
886291000006112,20000,J40-99,J40..99,Regional enteritis - Crohn,34000006,886291000006112,,32
906051000006118,500,HNG0087,,[RFC] Crohns disease,906051000006102,906051000006118,,12
2559781000006115,50,^ESCTCR255978,,Crohn's disease of rectum,3815005,7437014,,32
2559801000006116,10,^ESCTCR255980,,Crohn's proctitis,3815005,488237016,,32
2621151000006116,1,^ESCTCR262115,,Crohn disease of large bowel,7620006,2837911010,,32
2621161000006119,1,^ESCTCR262116,,"Crohns disease, large intestine",7620006,2920514018,,32
3047391000006119,4,^ESCTCD304739,,CD - Crohn's disease,34000006,485711017,,32
3047411000006119,100,^ESCTCR304741,,Crohn disease,34000006,2841833019,,32
3047421000006110,200,^ESCTCR304742,,Crohns disease,34000006,2920557011,,32
3113541000006111,100,^ESCTCR311354,,Crohn's ileitis,38106008,1229386012,,32
3113551000006113,2,^ESCTCR311355,,Crohn disease of ileum,38106008,2837986010,,32
3316751000006117,400,^ESCTCR331675,,Crohn's disease of colon,50440006,84032014,,32
3316771000006110,1,^ESCTGR331677,,Granulomatous colitis,50440006,84034010,,32
3316811000006110,3,^ESCTCR331681,,"Crohns disease, colon",50440006,2921054017,,32
3414681000006119,3,^ESCTCR341468,,Crohn's disease of duodenum,56287005,93608013,,32
3420891000006119,5,^ESCTCR342089,,"Crohns disease, small intestine",56689002,2920652011,,32
4784091000006115,60,^ESCTCR478409,,Crohn's disease of oral soft tissues,196578009,3491734012,,32
