medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
4031011,70000,G32,G32..00,Old myocardial infarction,1755008,4031011,,32
4032016,800,G32-1,G32..11,Healed myocardial infarction,1755008,4032016,,32
7844010,6000,G311,G311.00,Preinfarction syndrome,4557003,494262012,,32
7845011,100000,G3111,G311100,Unstable angina,4557003,7845011,,32
7847015,9000,G311-1,G311.11,Crescendo angina,4557003,7847015,,32
37443015,10000,G30-4,G30..14,Heart attack,22298006,37443015,,32
39773018,10000,G332,G332.00,Coronary artery spasm,23687008,39773018,,32
89332015,2000,G3-2,G3...12,Atherosclerotic heart disease,443502000,2842265012,,32
94884017,2000000,G30,G30..00,Acute myocardial infarction,57054005,94884017,,32
251679016,100000,14A5,14A5.00,H/O: angina pectoris,161504004,251679016,,32
256451015,1000,322Z,322Z.00,ECG: myocardial ischaemia NOS,164861001,1205556017,,3
264493019,400000,662K0,662K000,Angina control - good,170594001,264493019,,1
264494013,20000,662K1,662K100,Angina control - poor,170595000,264494013,,1
264496010,20000,662K3,662K300,Angina control - worsening,170597008,264496010,,1
271080018,2000,7921,7921.00,Other autograft replacement of coronary artery,232717009,348640013,,32
271086012,40,7921z,7921z00,Other autograft replacement of coronary artery NOS,232717009,348640013,,32
271129017,10,7926,7926.00,Connection of other thoracic artery to coronary artery,232717009,348640013,,32
271135017,4,7926z,7926z00,Connection of other thoracic artery to coronary artery NOS,232717009,348640013,,32
271148018,7000,7928z,7928z00,Transluminal balloon angioplasty of coronary artery NOS,11101003,19234014,,32
271165010,50,792C,792C.00,Other replacement of coronary artery,232717009,348640013,,32
271167019,40,792Cy,792Cy00,Other specified replacement of coronary artery,232717009,348640013,,32
271168012,100,792Cz,792Cz00,Replacement of coronary artery NOS,232717009,348640013,,32
271169016,30000,792D,792D.00,Coronary artery bypass graft,232717009,348640013,,32
271170015,700,792Dy,792Dy00,Other specified other bypass of coronary artery,232717009,348640013,,32
271171016,5000,792Dz,792Dz00,Other bypass of coronary artery NOS,232717009,348640013,,32
299714019,100000,G308,G308.00,Acute myocardial infarction of inferior wall,73795002,122557015,,32
299718016,2000,G30y,G30y.00,Other acute myocardial infarction,57054005,94884017,,32
299720018,600,G30yz,G30yz00,Other acute myocardial infarction NOS,57054005,94884017,,32
299721019,70000,G30z,G30z.00,Acute myocardial infarction NOS,57054005,94884017,,32
299723016,500,G31y,G31y.00,Other acute and subacute ischaemic heart disease,414545008,2534663012,,32
299741012,7000,G311z,G311z00,Preinfarction syndrome,4557003,7844010,,32
299750014,200,G31yz,G31yz00,Other acute and subacute ischaemic heart disease NOS,414545008,2534663012,,32
299757012,3000000,G33,G33..00,Angina pectoris,194828000,299757012,,32
299758019,40,G33z1,G33z100,Stenocardia,194828000,299758019,,32
299765010,50000,G33zz,G33zz00,Angina pectoris NOS,194828000,299757012,,32
299776014,20000,G34,G34..00,Chronic ischaemic heart disease,413838009,2534672016,,32
299800012,300,G34y,G34y.00,Other specified chronic ischaemic heart disease,413838009,2534671011,,32
299804015,300,G34yz,G34yz00,Other specified chronic ischaemic heart disease NOS,413838009,2534671011,,32
299805019,2000,G34z,G34z.00,Other chronic ischaemic heart disease NOS,413838009,2534672016,,32
299834013,4000,G3y,G3y..00,Other specified ischaemic heart disease,414545008,2534664018,,32
299835014,200000,G3z,G3z..00,Ischaemic heart disease NOS,414545008,2534664018,,32
300874013,300,Gyu30,Gyu3000,[X]Other forms of angina pectoris,194828000,299757012,,32
300876010,60,Gyu32,Gyu3200,[X]Other forms of acute ischaemic heart disease,414545008,2534663012,,32
300879015,80,Gyu33,Gyu3300,[X]Other forms of chronic ischaemic heart disease,413838009,2534671011,,32
338974012,7000,G33z4,G33z400,Ischaemic chest pain,225566008,338974012,,32
348644016,400000,792-1,792..11,Coronary artery bypass graft operations,232717009,348644016,,32
350346019,40000,G340-1,G340.11,Triple vessel disease of the heart,233817007,350346019,,32
350348018,70000,G33z7,G33z700,Stable angina,233819005,350348018,,32
350354017,2000,G344,G344.00,Silent myocardial ischaemia,233823002,350354017,,32
350379019,20000,G37,G37..00,Cardiac syndrome X,233845001,350379019,,32
442204010,20000,G33z3,G33z300,Angina on effort,300995000,442204010,,32
459488019,1000,G31y3,G31y300,Transient myocardial ischaemia,315026000,459488019,,32
460133017,2000000,6A2,6A2..00,Coronary heart disease annual review,315614006,460133017,,1
494261017,7000,G3114,G311400,Worsening angina,4557003,494261017,,32
494438016,400,G31y2,G31y200,Subendocardial ischaemia,46109009,494438016,,32
1221554018,800,7921-1,7921.11,Other autograft bypass of coronary artery,232717009,348640013,,32
1484833014,100000,6A4,6A4..00,Coronary heart disease review,390799004,1484833014,,1
1780501013,500000,G3071,G307100,Acute non-ST segment elevation myocardial infarction,401314000,1780501013,,32
2534664018,6000000,G3,G3...00,Ischaemic heart disease,414545008,2534664018,,32
2534674015,3000,G34y1,G34y100,Chronic myocardial ischaemia,413844008,2534674015,,32
2536354015,200000,79294,7929400,Insertion of coronary artery stent,36969009,2536354015,,32
2536393012,1000,G3-1,G3...11,Arteriosclerotic heart disease,443502000,2842265012,,32
2537480011,1000000,G3-3,G3...13,IHD - Ischaemic heart disease,414545008,2537480011,,32
2537483013,900,G34y0,G34y000,Chronic coronary insufficiency,413844008,2537483013,,32
36861000006113,10,7921y,7921y00,Other autograft replacement of coronary artery OS,232717009,348640013,,32
39111000006114,3000,G31,G31..00,Other acute and subacute ischaemic heart disease,414545008,2534663012,,32
67081000006119,70,G362,G362.00,Ventricular septal defect as current complication following acute myocardial infarction,233846000,350381017,,32
72571000006115,70000,G311-3,G311.13,Unstable angina,4557003,7845011,,32
89711000006118,100000,7928,7928.00,Percutaneous transluminal coronary angioplasty,11101003,19234014,,32
89731000006112,2000,7928y,7928y00,Transluminal balloon angioplasty of coronary artery OS,11101003,19234014,,32
219521000000119,1000,G30-1,G30..11,Attack - heart,22298006,37443015,,32
219531000000117,300000,G30-5,G30..15,MI - acute myocardial infarction,57054005,94884017,,32
238821000006111,20000,7928-1,7928.11,Percutaneous balloon coronary angioplasty,11101003,19234014,,32
362461000006119,100,Gyu34,Gyu3400,[X]Acute transmural myocardial infarction of unspecif site,57054005,94884017,,32
394541000006112,2000,Gyu3,Gyu3.00,[X]Ischaemic heart diseases,414545008,2534664018,,32
460681000006116,500,G30X,G30X.00,Acute transmural myocardial infarction of unspecif site,57054005,94884017,,32
482941000006119,60000,G33z,G33z.00,Angina pectoris NOS,194828000,299757012,,32
498031000006112,100,G361,G361.00,Atrial septal defect as current complication following acute myocardial infarction,194863005,299818010,,32
537651000000118,700,8I3z,8I3z.00,Cardiovascular disease annual review declined,302881000000102,537651000000118,,32
585631000000113,100,8H2V,8H2V.00,Emergency hospital admission for ischaemic heart disease,699245006,3082941013,,40
595731000006114,50000,G340,G340.00,Coronary atherosclerosis,443502000,2842265012,,32
616081000006113,30,889A,889A.00,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,315287002,459791015,,32
634751000006116,8000,322,322..00,ECG myocardial ischaemia,164861001,1205556017,,3
635641000006111,7000,3222,3222.00,ECG:shows myocardial ischaemia,164861001,1205556017,,3
810821000006112,20000,14A4,14A4.00,H/O: myocardial infarct at greater than 60,161503005,251678012,,32
865291000006117,7000,7928-99,7928.99,Coronary Angioplasty,11101003,865291000006117,,32
884141000006116,700,G30-98,G30..98,Coronary thrombosis,57054005,884141000006116,,32
884151000006119,7000,G30-99,G30..99,Myocardial Infarction,57054005,884151000006119,,32
