medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
250389016,1000000,1381,1381.00,Exercise physically impossible,160629005,250389016,,17
250468012,200000,13C2,13C2.00,Mobile outside with aid,160681005,250468012,,17
250470015,100000,13C4,13C4.00,Needs walking aid in home,160683008,250470015,,17
250488011,70000,13CD,13CD.00,Mobility very poor,160692006,250488011,,17
250489015,300000,13CE,13CE.00,Mobility poor,160693001,250489015,,17
256974011,30000,39B,39B..00,Walking aid use,165251008,256974011,,3
283088011,4000,8D4,8D4..00,Locomotory aid,183135000,283088011,,32
310951016,10000,N0970,N097000,Walking difficulty due to unspecified site,228158008,342179011,,32
310956014,200,N0974,N097400,Walking difficulty due to other specified site,228158008,342179011,,32
317082017,20000,R00A,R00A.00,Poor mobility,160693001,250490012,,17
318012012,900,Ryu31,Ryu3100,"[X]Difficulty in walking, not elsewhere classified",228158008,342179011,,32
364557018,200,8O15,8O15.00,Provision of locomotory aid,243751002,364557018,,32
460845011,100000,ZV4L0,ZV4L000,Reduced mobility,8510008,506386018,,32
2474670012,9000,398A,398A.00,Dependent on helper pushing wheelchair,413121008,2474670012,,3
336481000006119,9000,ZV4L0-1,ZV4L011,[V] Poor mobility,8510008,506386018,,32
620911000006112,80000,N097,N097.00,Walking disability,228158008,342179011,,32
1817441000006119,3000,ZV4L3,ZV4L300,[V]Need for assistance due to reduced mobility,8510008,506386018,,32
