"searchterms","exclusionterms","searched_in_column","searchmethod"
"[V]Dietary counselling","screening","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"[V]Dietary counselling in colitis","FH:",,
"[V]Dietary counselling in gastritis","quality indicators",,
"[V]Dietary counselling in hypoglycaemia","at no increased risk",,
"[V]Dietary counselling in obesity",,,
"[V]Dietary surveillance",,,
"[X]Obesity and other hyperalimentation",,,
"[X]Other obesity",,,
"Adiposity",,,
"Adult-onset obesity",,,
"Attends obesity monitoring",,,
"BMI (body mass index) 40+ - severely obese",,,
"BMI 30+ - obesityBody mass index 30+ - obesity",,,
"Body mass index 40+ - morbidly obese",,,
"Body mass index 40+ - severely obese",,,
"Central obesity",,,
"Centripetal obesity",,,
"Dietary management education, guidance, and counselling",,,
"Disorder of hyperalimentation",,,
"Drug-induced obesity",,,
"Extreme obesity with alveolar hypoventilation",,,
"Follow-up obesity assessment",,,
"Generalised obesity",,,
"H/O: obesity",,,
"Has seen dietician - obesity",,,
"Has seen dietitian - obesity",,,
"Initial obesity assessment",,,
"Lifelong obesity",,,
"Morbid obesity",,,
"O/E - obese",,,
"Obesity",,,
"Obesity and other hyperalimentation",,,
"Obesity clinic administration",,,
"Obesity due to excess calories",,,
"Obesity hypoventilation syndrome",,,
"Obesity monitoring",,,
"Obesity monitoring admin.NOS",,,
"Obesity monitoring administration",,,
"Obesity monitoring check done",,,
"Obesity monitoring default",,,
"Obesity monitoring first letter",,,
"Obesity monitoring NOS",,,
"Obesity monitoring refused",,,
"Obesity monitoring second letter",,,
"Obesity monitoring telephone invite",,,
"Obesity monitoring third letter",,,
"Obesity monitoring verbal invite",,,
"Obesity resolved",,,
"Other hyperalimentation",,,
"Pickwickian syndrome",,,
"Simple obesity",,,
"Treatment of obesity changed",,,
"Treatment of obesity started",,,
"Truncal obesity",,,
