medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
24883018,4000,N3305,N330500,Drug-induced osteoporosis,14651005,24883018,,5
30475015,6000,N3301,N330100,Senile osteoporosis,18040001,30475015,,32
54058015,10000,N3302,N330200,Postmenopausal osteoporosis,102447009,165682016,,32
107806013,3000000,N330,N330.00,Osteoporosis,64859006,107806013,,32
216206018,50000,N331M,N331M00,Pathological fracture due to osteoporosis,443165006,2837900019,,32
312124013,20000,N3300,N330000,"Osteoporosis, unspecified",64859006,107806013,,32
312133010,100,N3306,N330600,Postoophorectomy osteoporosis,203433000,312133010,,32
312136019,70,N3308,N330800,Localised osteoporosis - Lequesne,203435007,312135015,,32
312138018,200,N330A,N330A00,Osteoporosis in endocrine disorders,203437004,312138018,,32
312139014,30000,N330B,N330B00,Vertebral osteoporosis,203438009,312139014,,32
312142015,30000,N330z,N330z00,Osteoporosis NOS,64859006,107806013,,32
312156018,20,N3312,N331200,Postoophorectomy osteoporosis with pathological fracture,203444008,312156018,,32
312159013,500,N3315,N331500,Drug-induced osteoporosis with pathological fracture,203447001,312159013,,5
312160015,2000,N3316,N331600,Idiopathic osteoporosis with pathological fracture,203448006,312160015,,32
312165013,1000,N331B,N331B00,Postmenopausal osteoporosis with pathological fracture,203453001,312165013,,32
312681016,500,NyuB0,NyuB000,[X]Other osteoporosis with pathological fracture,443165006,2837900019,,32
312682011,800,NyuB1,NyuB100,[X]Other osteoporosis,64859006,107806013,,32
312683018,40,NyuB2,NyuB200,[X]Osteoporosis in other disorders classified elsewhere,64859006,107806013,,32
312689019,2000,NyuB8,NyuB800,[X]Unspecified osteoporosis with pathological fracture,443165006,2837900019,,32
359833013,60000,N331-4,N331.14,Osteoporotic vertebral collapse,240198002,359833013,,32
453226012,6000,N330C,N330C00,Osteoporosis localised to spine,309745002,453225011,,32
453858013,30000,56812,5681200,Bone densimetry abnormal,310254004,453858013,,41
455536018,3000,N331L,N331L00,Collapse of vertebra due to osteoporosis,240198002,2920899019,,32
496578010,80,N3370,N337000,Disuse atrophy of bone,53174001,496578010,,32
1484866013,700,N330D,N330D00,Osteoporosis due to corticosteroids,390833005,1484866013,,32
1485033018,500,9Od0,9Od0.00,Attends osteoporosis monitoring,391004002,1485033018,,37
1485035013,50,9Od2,9Od2.00,Osteoporosis monitoring default,391006000,1485035013,,37
1485046011,40000,66a,66a..00,Osteoporosis monitoring,391017004,1485046011,,1
1485049016,10000,66a2,66a2.00,Osteoporosis treatment started,391020007,1485049016,,1
1485050016,1000,66a3,66a3.00,Osteoporosis treatment stopped,391021006,1485050016,,1
1485051017,900,66a4,66a4.00,Osteoporosis treatment changed,391022004,1485051017,,1
1485052012,1000,66a5,66a5.00,Osteoporosis - no treatment,391023009,1485052012,,1
1485053019,20000,66a6,66a6.00,Osteoporosis - dietary advice,391024003,1485053019,,1
1485054013,2000,66a7,66a7.00,Osteoporosis - dietary assessment,391025002,1485054013,,1
1485055014,20000,66a8,66a8.00,Osteoporosis - exercise advice,391026001,1485055014,,1
1485056010,8000,66a9,66a9.00,Osteoporosis - falls prevention,391027005,1485056010,,1
1485057018,200,66aA,66aA.00,Osteoporosis - treatment response,391028000,1485057018,,1
1485061012,4000,66aE,66aE.00,Refer to osteoporosis specialist,391033001,1485061012,,1
1485065015,40000,9N0h,9N0h.00,Seen in osteoporosis clinic,391037000,1485065015,,37
1485068018,70000,14OD,14OD.00,At risk of osteoporotic fracture,391040000,1485068018,,32
1485104016,50000,58EN,58EN.00,Lumbar DXA scan result osteopenic,391076004,1485104016,,41
2474275011,30000,8HTS,8HTS.00,Referral to osteoporosis clinic,412717001,2474275011,,40
40881000006116,10000,N3318,N331800,Osteoporosis with pathological fracture of lumbar vertebrae,203450003,312162011,,32
40891000006118,10000,N3319,N331900,Osteoporosis with pathological fracture of thoracic vertebrae,203451004,312163018,,32
212431000006119,20,N3307,N330700,Postsurgical malabsorption osteoporosis,203434006,312134016,,32
404201000006115,1000000,NyuBC,NyuBC00,Osteopenia,312894000,456694019,,32
556881000000111,400,N331M-1,N331M11,Minimal trauma fracture due to unspecified osteoporosis,443165006,2837900019,,32
625381000006110,300,N3304,N330400,Dissuse osteoporosis,53174001,88440018,,32
786501000006117,2000,N3303,N330300,Idiopathic generalised osteoporosis,203429007,312126010,,32
1137811000000114,5000,14GB,14GB.00,History of osteoporosis,473120007,2955852014,,32
1715131000006113,2000,9kj0,9kj0.00,Bone sparing drug treatment offered for osteoporosis,505171000000102,1152201000000112,,37
1754961000006112,7000,9hP0,9hP0.00,Excepted from osteoporosis quality indicators - patient unsuitable,753791000000106,1658171000000112,,37
1754971000006117,4000,9hP1,9hP1.00,Excepted from osteoporosis quality indicators: informed dissent,753831000000104,1667971000000118,,37
