medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
43698017,100000,1B22-2,1B22.12,Shaking,26079004,43698017,,27
64875013,20,A94y1,A94y100,Syphilitic parkinsonism,38523005,64875013,,32
81717011,1000000,F12,F12..00,Parkinson's disease,49049000,81717011,,32
81719014,30000,F120,F120.00,Paralysis agitans,49049000,81717011,,32
254935018,20000,297A,297A.00,O/E - Parkinsonian tremor,163672003,254935018,,27
254944017,800,2987,2987.00,O/E -Parkinson flexion posture,163681009,254944017,,27
297037012,80000,F12z,F12z.00,Parkinson's disease NOS,49049000,81717011,,32
297041011,900,F130,F130.00,Other basal ganglia degenerative diseases,230226000,345032019,,32
297043014,900,F1303,F130300,Orthostatic hypotension co-occurrent and due to Parkinson's disease,718685006,3313002011,,32
297045019,600,F130z,F130z00,Other basal ganglia degenerative disease NOS,230226000,345032019,,32
297046018,20000,F131,F131.00,Essential and other specified forms of tremor,26079004,43694015,,27
297054016,1000,F131z,F131z00,Essential and other specified forms of tremor NOS,26079004,43694015,,27
299312017,600,Fyu20,Fyu2000,[X]Other drug-induced secondary parkinsonism,4223005,8118011,,5
299313010,2000,Fyu21,Fyu2100,[X]Other secondary parkinsonism,230292008,345117012,,32
299314016,2000,Fyu22,Fyu2200,[X]Parkinsonism in diseases classified elsewhere,49049000,81717011,,32
299321016,900,Fyu29,Fyu2900,"[X]Secondary parkinsonism, unspecified",230292008,345117012,,32
299323018,20,Fyu2B,Fyu2B00,[X]Secondary parkinsonism due to other external agents,230292008,345117012,,32
317108017,100000,R0103,R010300,[D]Tremor NOS,26079004,43694015,,27
345121017,10000,F124,F124.00,Vascular parkinsonism,230296006,345121017,,32
402512016,3000,2994,2994.00,O/E-festination-Parkinson gait,268964003,402512016,,27
402513014,300,2994-2,2994.12,O/E - festination,268964003,402513014,,27
402514015,3000,2994-1,2994.11,O/E - Parkinson gait,268964003,402514015,,27
483107017,100000,1B22,1B22.00,Has a tremor,26079004,483107017,,27
87021000006116,400000,1B22-1,1B22.11,Tremor,26079004,43694015,,27
151951000006115,600,F12W,F12W.00,Secondary parkinsonism due to other external agents,230292008,345117012,,32
151961000006118,10000,F12X,F12X.00,Secondary parkinsonism,230292008,345117012,,32
244311000006117,4000,F121,F121.00,Parkinsonism secondary to drugs,4223005,8118011,,5
280121000006113,1000,2987-1,2987.11,O/E - Parkinson posture,163681009,254944017,,27
299641000000112,60000,Eu025,Eu02500,Diffuse Lewy body disease,80098002,132893017,,32
350621000006118,10,U6067-9,U606719,[X] Adverse react to anticonvuls or antiparkinson drug NOS,430136001,2765075015,,5
351581000006110,4,U6067-1,U606711,[X] Adverse reaction to antiparkinsonism drug,430136001,2765075015,,5
363531000006115,20,U6067,U606700,Adverse reaction to antiparkinsonism drug,430136001,2765075015,,5
428581000006114,300,Fyu1,Fyu1.00,[X]Systemic atrophies primarily affecting the central nervous system,230226000,345032019,,32
428601000006116,80,Fyu16,Fyu1600,[X]Systemic atrophy affecting the CNS in other diseases CE,230226000,345032019,,32
465071000006115,20,TJ64,TJ64.00,Adverse reaction to antiparkinsonism drugs,430136001,2765075015,,5
630491000006110,9000,F121-1,F121.11,Parkinsonism due to drug,4223005,8118011,,5
636681000000117,200,F11x9,F11x900,Cerebral degeneration in Parkinson's disease,341551000000108,636681000000117,,32
745381000006119,20000,F116,F116.00,Lewy body disease,80098002,132893017,,32
882961000006112,500,F121-99,F121.99,Secondary Parkinsonism - drugs,4223005,882961000006112,,5
1148731000000112,3000,147F,147F.00,History of Parkinson's disease,515841000000104,1148731000000112,,32
