medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
6875014,100,J1312,J131200,Chronic peptic ulcer with perforation,3483000,6875014,,32
27285014,3000,J14-5,J14..15,Stomal ulcer,16121001,27285014,,32
27286010,1000,J14-4,J14..14,Marginal ulcer,16121001,27286010,,32
33419017,4000,J1102,J110200,Acute gastric ulcer with perforation,19850005,33419017,,32
37964010,6000,J11-1,J11..11,Prepyloric ulcer,22620000,37964010,,32
40392014,80,J14-2,J14..12,Gastrocolic ulcer,24060004,40392014,,32
52347016,700,J1112,J111200,Chronic gastric ulcer with perforation,31301004,52347016,,32
65759011,10000,J11-2,J11..12,Pyloric ulcer,39204006,65759011,,32
83140013,3000,J1212,J121200,Chronic duodenal ulcer with perforation,49916007,83140013,,32
86362013,10000,J122,J122.00,Duodenal ulcer disease,51868009,86362013,,32
101926016,20000,J1202,J120200,Acute duodenal ulcer with perforation,61347001,101926016,,32
131281018,3000,J1302,J130200,Acute peptic ulcer with perforation,79118000,131281018,,32
158227015,5000,J110,J110.00,Acute gastric ulcer,95529005,158227015,,32
158231014,6000,J111,J111.00,Chronic gastric ulcer,95530000,158231014,,32
206556016,10000,J121,J121.00,Chronic duodenal ulcer,128286008,206556016,,32
206557013,2000,J131,J131.00,Chronic peptic ulcer,128287004,206557013,,32
252563014,20000,1956,1956.00,Peptic ulcer symptoms,162033007,252563014,,27
269308015,700,761J-1,761J.11,Stomach ulcer operations,173841001,269308015,,32
269309011,500,761J,761J.00,Operations on gastric ulcer,173841001,269309011,,32
269310018,3000,761J0,761J000,Closure of perforated gastric ulcer,173842008,269310018,,32
269314010,200,761Jy,761Jy00,Gastric ulcer operation,173841001,269307013,,32
269315011,300,761Jz,761Jz00,Operation on gastric ulcer NOS,173841001,269307013,,32
269371013,2000,7627,7627.00,Operations on duodenal ulcer,173887007,269371013,,32
269374017,10000,76270,7627000,Closure of perforated duodenal ulcer,173889005,269374017,,32
269376015,300,7627y,7627y00,Duodenal ulcer operation,173887007,269370014,,32
269377012,800,7627z,7627z00,Operation on duodenal ulcer NOS,173887007,269370014,,32
302463015,500,J1100,J110000,Acute gastric ulcer without mention of complication,95529005,158227015,,32
302470015,9,J1104,J110400,Acute gastric ulcer with obstruction,196632005,302470015,,32
302471016,100,J110y,J110y00,Acute gastric ulcer unspecified,95529005,158227015,,32
302472011,2000,J110z,J110z00,Acute gastric ulcer NOS,95529005,158227015,,32
302473018,300,J1110,J111000,Chronic gastric ulcer without mention of complication,95530000,158231014,,32
302481017,20,J1114,J111400,Chronic gastric ulcer with obstruction,196639001,302481017,,32
302482012,100,J111y,J111y00,Chronic gastric ulcer unspecified,95530000,158231014,,32
302483019,4000,J111z,J111z00,Chronic gastric ulcer NOS,95530000,158231014,,32
302485014,1000,J11y,J11y.00,Unspecified gastric ulcer,397825006,1777426014,,32
302486010,200,J11y0,J11y000,Unspecified gastric ulcer without mention of complication,397825006,1777426014,,32
302487018,400,J11y1,J11y100,Gastric ulcer with haemorrhage,15902003,477573015,,32
302489015,700,J11y2,J11y200,Gastric ulcer with perforation,9829001,17164015,,32
302495019,300,J11yz,J11yz00,Unspecified gastric ulcer NOS,397825006,1777426014,,32
302502012,7000,J120,J120.00,Acute duodenal ulcer,196652006,302502012,,32
302504013,700,J1200,J120000,Acute duodenal ulcer without mention of complication,196652006,302502012,,32
