medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
344147015,5000,8637,8637.00,Ultraviolet B therapy,229588000,344147015,,32
344151018,7000,8632-4,8632.14,UVB phototherapy,229588000,344151018,,32
494512018,6000,8632-1,8632.11,PUVA phototherapy,46467001,494512018,,32
2674036017,900,7G0E1,7G0E100,Ultraviolet B light therapy to skin,426234008,2674036017,,32
1588611000006118,100,7G0E3,7G0E300,Combined photochemotherapy and ultraviolet B light therapy to skin,428083009,2694691017,,32
3250481000006117,70,^ESCTPH325048,,Photochemotherapy with psoralens and ultraviolet A,46467001,77455015,,32
3250491000006119,200,^ESCTPU325049,,PUVA therapy,46467001,77456019,,32
4996411000006117,8,^ESCTUV499641,,UVB - Ultraviolet B light therapy,229588000,344148013,,32
4996421000006113,1,^ESCTUL499642,,Ultraviolet B light therapy,229588000,344149017,,32
4996431000006111,1,^ESCTUV499643,,UVB - Ultraviolet B,229588000,344150017,,32
5717491000006112,1,^ESCTUV571749,,UVB - Ultraviolet B radiation,286632006,426029019,,31
7380021000006117,20,^ESCTNA738002,,Narrowband UVB phototherapy,450522005,2915688019,,31
8257971000006112,3,^ESCTNB825797,,NB-UVB (narrow band ultraviolet B) phototherapy,804811000000103,1799711000000113,,31
