medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
308753015,2000000,M161z,M161z00,Psoriasis,9014002,15886015,,32
308725015,600000,M16,M16..00,Psoriasis and similar disorders,9014002,15886015,,32
55627011,400000,M160,M160.00,Psoriatic arthropathy,33339001,55627011,,32
308732012,300000,M1610,M161000,Psoriasis unspecified,9014002,15886015,,32
61797015,200000,M1616,M161600,Guttate psoriasis,37042000,61797015,,32
357623013,200000,M16y0,M16y000,Scalp psoriasis,238608008,357623013,,32
55628018,100000,M160-1,M160.11,Psoriatic arthritis,33339001,55628018,,32
251784017,100000,14F2,14F2.00,H/O: psoriasis,161562002,251784017,,32
308776017,90000,M16z,M16z.00,Psoriasis and similar disorders NOS,9014002,15886015,,32
308747015,40000,M161D,M161D00,Pustular psoriasis,200973000,308747015,,32
312521010,40000,Nyu13,Nyu1300,Psoriasis with arthropathy,33339001,55626019,,32
1629311000006117,30000,M161F-1,M161F11,Chronic large plaque psoriasis,402307000,1781467015,,32
308730016,20000,M160z,M160z00,Psoriatic arthropathy NOS,33339001,55627011,,32
308731017,10000,M161,M161.00,Other psoriasis,9014002,15886015,,32
308745011,10000,M161B,M161B00,Psoriasis plantaris,200971003,308745011,,32
308750017,10000,M161F,M161F00,Psoriasis vulgaris,200975007,308750017,,32
483572016,10000,M166,M166.00,Palmoplantar pustular psoriasis,27520001,483572016,,32
198791000006112,10000,M1614,M161400,Plaque psoriasis,200965009,308736010,,32
4515241000006118,10000,^ESCTPS451524,,Psoriatic arthritis,156370009,243961019,,32
308744010,8000,M161A,M161A00,Psoriasis palmaris,200970002,308744010,,32
1887571000006111,5000,M161J,M161J00,Flexural psoriasis,238600001,357612014,,32
308752013,4000,M161H,M161H00,Erythrodermic psoriasis,200977004,308752013,,32
309331014,4000,Myu30,Myu3000,[X]Other psoriasis,9014002,15886015,,32
1823821000006111,4000,EMISNQPA160,,Palmoplantar pustulosis,27520001,483576018,,32
359310019,2000,N0452,N045200,Juvenile arthritis in psoriasis,239803008,359310019,,32
1583831000006118,2000,EMISNQCH31,,Chronic large plaque psoriasis,1583831000006102,1583831000006118,,32
2239001000000113,2000,38Gg,38Gg.00,Psoriasis area and severity index score,866341000000101,2239081000000115,,32
308733019,1000,M1611,M161100,Psoriasis annularis,200962007,308733019,,32
308735014,1000,M1613,M161300,Psoriasis diffusa,200964008,308735014,,32
308751018,1000,M161G,M161G00,Acrodermatitis continua,200976008,308751018,,32
198881000006116,1000,M1600,M160000,Psoriatic spondylitis,200956002,308727011,,32
905681000006112,1000,HNG0042,,[RFC] Psoriasis,905681000006108,905681000006112,,12
2941481000006119,1000,^ESCTPU294148,,Pustular psoriasis of palms and soles,27520001,483575019,,32
14197581000006110,1000,^ESCT1419758,,Psoriasis of scalp,238608008,4169972011,,32
8300761000006118,700,^ESCTPA830076,,PASI - psoriasis area and severity index,866311000000102,2239031000000119,,32
308734013,500,M1612,M161200,Psoriasis circinata,200963002,308734013,,32
32869011,400,M1602,M160200,Arthritis mutilans,19514005,32869011,,32
308749017,300,M161E,M161E00,Psoriasis universalis,200974006,308749017,,32
308746012,200,M161C,M161C00,Psoriasis punctata,200972005,308746012,,32
359321011,200,M1601,M160100,Distal interphalangeal psoriatic arthropathy,239812005,359321011,,32
4805761000006111,200,^ESCTPS480576,,Psoriatic arthritis with spine involvement,200956002,308726019,,32
308739015,100,M1615,M161500,Psoriasis geographica,200966005,308739015,,32
5139461000006110,100,^ESCTJU513946,,Juvenile psoriatic arthritis with psoriasis,239803008,359309012,,32
308741019,80,M1618,M161800,Psoriasis inveterata,200968006,308741019,,32
5123911000006115,70,^ESCTPS512391,,Psoriasis of nail,238604005,357618013,,31
6663551000006115,70,^ESCTCH666355,,Chronic small plaque psoriasis,402308005,1781468013,,31
2555281000006114,60,^ESCTAC255528,,Acute palmoplantar pustular psoriasis,3533007,1228270014,,32
2941411000006114,40,^ESCTPU294141,,Pustulosis palmaris et plantaris,27520001,46054012,,32
3864031000006116,30,^ESCTAC386403,,Acrodermatitis continua of Hallopeau,83839005,139026019,,32
5123881000006115,30,^ESCTPS512388,,Psoriasis-eczema overlap condition,238602009,357615011,,31
308740018,20,M1617,M161700,Psoriasis gyrata,200967001,308740018,,32
198841000006110,20,M1619,M161900,Psoriasis ostracea,200969003,308742014,,32
4805871000006113,20,^ESCTRU480587,,Rupioid psoriasis,200969003,308742014,,32
5123871000006118,20,^ESCTUN512387,,Unstable psoriasis,238601002,357613016,,31
5123921000006111,20,^ESCTPS512392,,Psoriatic nail dystrophy,238605006,357620011,,31
5139581000006118,20,^ESCTPS513958,,Psoriatic arthritis with distal interphalangeal joint involvement,239812005,359320012,,32
8300811000006113,20,^ESCTPA830081,,PASI (psoriasis area and severity index) score,866341000000101,2239071000000117,,32
11930641000006120,NA,NA,NA,NA,NA,NA,NA,NA
2913641000006118,10,^ESCTSE291364,,Sebopsoriasis,25847004,2912919010,,31
5123891000006117,10,^ESCTEC512389,,Eczematised psoriasis,238603004,357616012,,31
5139451000006113,10,^ESCTJU513945,,Juvenile psoriatic arthritis,239802003,359308016,,31
6663571000006113,10,^ESCTCH666357,,Chronic stable plaque psoriasis,402310007,1781470016,,31
14197561000006116,NA,NA,NA,NA,NA,NA,NA,NA
2589441000000117,9,38Va,,Psoriatic Arthritis Impact of Disease 9 questionnaire score,1036471000000109,2616111000000110,,32
4805831000006110,9,^ESCTDI480583,,Discoid psoriasis,200965009,308738011,,32
5123971000006112,9,^ESCTKÖ512397,,Köbner psoriasis,238609000,2818698013,,31
8407011000006110,9,^ESCTPS840701,,PsAID-9 (Psoriatic Arthritis Impact of Disease 9) questionnaire,1025811000000109,2589411000000118,,32
4805991000006118,8,^ESCTEX480599,,Exfoliative dermatitis due to psoriasis,200977004,1784830015,,32
5123951000006119,8,^ESCTPS512395,,Psoriatic onycholysis,238607003,357622015,,31
5139601000006111,8,^ESCTPS513960,,Psoriatic dactylitis,239813000,359323014,,31
3821921000006111,7,^ESCTLO382192,,Localised pustular psoriasis,81271001,504652017,,31
357612014,6,ESCTFL1,,Flexural psoriasis,238600001,1876481000006119,,32
5123941000006116,5,^ESCTPS512394,,Psoriatic nail pitting,238606007,357621010,,31
14197571000006112,5,^ESCT1419757,,Eczematous psoriasis,238602009,4212204016,,31
4805751000006114,4,^ESCTPS480575,,Psoriasis and similar disorders,200955003,308725015,,31
4805951000006112,4,^ESCTPS480595,,Psoriasis vulgaris & (Chronic large plaque psoriasis),200975007,556541000000118,,32
4805821000006112,3,^ESCTNU480582,,Nummular psoriasis,200965009,308737018,,32
5123931000006114,3,^ESCTPS512393,,Psoriatic nail involvement,238605006,357619017,,31
6663721000006115,3,^ESCTFA666372,,Facial psoriasis,402320002,1787559015,,31
2913591000006111,2,^ESCTSE291359,,Seborrhoeic psoriasis,25847004,43312011,,31
2913601000006115,2,^ESCTSE291360,,Seborrheic psoriasis,25847004,43308017,,31
2941441000006113,2,^ESCTPP294144,,PPP - Palmoplantar pustulosis,27520001,483569011,,32
2941451000006110,2,^ESCTCH294145,,Chronic palmoplantar pustular psoriasis,27520001,483571011,,32
4515261000006119,2,^ESCTPA451526,,PA (Psoriatic arthritis),156370009,3083707018,,32
4541291000006118,2,^ESCTHI454129,,History of psoriasis,161562002,2986948013,,32
5124001000006116,2,^ESCTGE512400,,Generalised pustular psoriasis,238612002,357627014,,31
6663671000006112,2,^ESCTGE666367,,Generalised psoriasis,402317005,1773603013,,31
4515251000006116,1,^ESCTPS451525,,PsA (Psoriatic arthritis),156370009,3083653019,,32
4805881000006111,1,^ESCTOS480588,,Ostraceous psoriasis,200969003,308743016,,32
5123861000006113,1,^ESCTIN512386,,Inverse psoriasis,238600001,2912676014,,32
5123901000006118,1,^ESCTEC512390,,Eczematized psoriasis,238603004,357617015,,31
5124051000006117,1,^ESCTJU512405,,Juvenile pustular psoriasis,238615000,357632010,,31
6663581000006111,1,^ESCTAC666358,,Actively extending plaque psoriasis,402311006,1781471017,,31
6663611000006115,1,^ESCTPS666361,,Psoriasis of vulva,402314003,1781474013,,31
6663621000006111,1,^ESCTVU666362,,Vulval psoriasis,402314003,1787556010,,31
6663661000006117,1,^ESCTPE666366,,Perianal psoriasis,402316001,1787558011,,31
6663751000006112,1,^ESCTHY666375,,Hypertrophic palmoplantar psoriasis,402323000,1781482013,,31
6663821000006110,1,^ESCTCH666382,,Childhood pustular psoriasis,402328009,1781485010,,31
7819261000006114,1,^ESCTAN781926,,Anogenital psoriasis,721538000,3325411018,,31
9310141000006116,NA,NA,NA,NA,NA,NA,NA,NA
