medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
311496011,2000,N04y0-2,N04y012,Fibrosing alveolitis associated with rheumatoid arthritis,10713006,311496011,,32
8447181000006111,7,^ESCTRH844718,,Rheumatoid arthritis of left knee,1073731000119100,3333699019,,32
8447281000006115,6,^ESCTRH844728,,Rheumatoid arthritis of right knee,1073811000119102,3333701019,,32
9357441000006116,4,^ESCTSE935744,,Seropositive rheumatoid arthritis of multiple joints,11055151000119108,3333693018,,32
300221014,20,G5y8,G5y8.00,Rheumatoid myocarditis,195136004,300221014,,32
309787016,500,N0400,N040000,Rheumatoid arthritis of cervical spine,201764007,309787016,,32
309789018,700,N0402,N040200,Rheumatoid arthritis of shoulder,201766009,309789018,,32
309790010,30,N0403,N040300,Rheumatoid arthritis of sternoclavicular joint,201767000,309790010,,32
309791014,90,N0404,N040400,Rheumatoid arthritis of acromioclavicular joint,201768005,309791014,,32
309792019,500,N0405,N040500,Rheumatoid arthritis of elbow,201769002,309792019,,32
162051000006115,30,N0406,N040600,Rheumatoid arthritis of distal radio-ulnar joint,201770001,309793012,,32
4809101000006114,5,^ESCTRH480910,,Rheumatoid arthritis of distal radioulnar joint,201770001,309793012,,32
989291000006112,4,N0407-99,N040799,Rheum. arth. - wrist joint,201771002,989291000006112,,32
309794018,2000,N0407,N040700,Rheumatoid arthritis of wrist,201771002,309794018,,32
989301000006113,2,N0408-99,N040899,Rheum. arth. - hand joint,201772009,989301000006113,,32
162111000006117,800,N0408,N040800,Rheumatoid arthritis of metacarpophalangeal joint,201772009,309795017,,32
162131000006111,500,N0409,N040900,Rheumatoid arthritis of proximal interphalangeal joint of finger,201773004,309796016,,32
162041000006117,90,N040A,N040A00,Rheumatoid arthritis of distal interphalangeal joint of finger,201774005,309797013,,32
309798015,300,N040B,N040B00,Rheumatoid arthritis of hip,201775006,309798015,,32
989311000006111,1,N040B-99,N040B99,Rheum. arth. - hip joint,201775006,989311000006111,,32
162141000006118,70,N040C,N040C00,Rheumatoid arthritis of sacroiliac joint,201776007,309799011,,32
309800010,3000,N040D,N040D00,Rheumatoid arthritis of knee,201777003,309800010,,32
989321000006115,1,N040D-99,N040D99,Rheum. arth. - knee joint,201777003,989321000006115,,32
162191000006110,6,N040E,N040E00,Rheumatoid arthritis of tibio-fibular joint,201778008,309801014,,32
309802019,300,N040F,N040F00,Rheumatoid arthritis of ankle,201779000,309802019,,32
989331000006117,1,N040F-99,N040F99,Rheum. arth. - ankle/foot,201779000,989331000006117,,32
309803012,100,N040G,N040G00,Rheumatoid arthritis of subtalar joint,201780002,309803012,,32
309804018,100,N040H,N040H00,Rheumatoid arthritis of talonavicular joint,201781003,309804018,,32
4809221000006114,30,^ESCTRH480922,,Rheumatoid arthritis of first metatarsophalangeal joint,201783000,309806016,,32
168761000006118,100,N040K,N040K00,Rheumatoid arthritis of 1st metatarsophalangeal joint,201783000,309807013,,32
162101000006115,50,N040L,N040L00,Rheumatoid arthritis of lesser metatarsophalangeal joint,201784006,309808015,,32
162081000006111,50,N040M,N040M00,Rheumatoid arthritis of interphalangeal joint of toe,201785007,309809011,,32
309816012,10000,N040T,N040T00,Flare of rheumatoid arthritis,201791009,309816012,,32
312534011,4000,Nyu1G,Nyu1G00,"[X]Seropositive rheumatoid arthritis, unspecified",239791005,359291017,,32
312518013,2000,Nyu11,Nyu1100,[X]Other seropositive rheumatoid arthritis,239791005,359291017,,32
149911000006117,100000,N04X,N04X.00,Seropositive rheumatoid arthritis,239791005,359291017,,32
359292012,200000,N040P,N040P00,Seronegative rheumatoid arthritis,239792003,359292012,,32
16911000006114,200,N042,N042.00,Rheumatoid arthritis with organ / system involvement,239793008,359293019,,32
424981000006114,30,Nyu10,Nyu1000,[X]Rheumatoid arthritis+involvement/other organs or systems,239793008,359293019,,32
162231000006117,1000,N042z,N042z00,Rheumatoid arthropathy + visceral/systemic involvement NOS,239793008,359293019,,32
5141321000006112,3,^ESCTAD514132,,Adult onset Still disease,239920006,2839647016,,32
463281000006113,8000,N005,N005.00,Adult onset Still's disease,239920006,359482019,,32
463301000006112,3000,N04y2,N04y200,Adult-onset Still's disease,239920006,359482019,,32
5141691000006118,1,^ESCTNA514169,,Nailfold rheumatoid vasculitis,239941000,359517015,,32
5141711000006115,1,^ESCTNE514171,,Necrotising rheumatoid vasculitis,239943002,359519017,,32
