medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
21110011,9000,E274D-1,E274D11,Restless sleep,12262002,21110011,,32
49145012,3000,1BX9,1BX9.00,Light sleep,29373008,49145012,,27
98133013,40000,1B1B0,1B1B000,Initial insomnia,59050008,98133013,,27
111701012,20000,1B1B1,1B1B100,Middle insomnia,67233009,111701012,,27
252935019,10000,1B1B2,1B1B200,Late insomnia,162204000,252935019,,27
295408017,700,E2740,E274000,Unspecified non-organic sleep disorder,270487001,405106013,,32
295412011,60000,E2742,E274200,Persistent insomnia,191997003,295412011,,32
295416014,2000,E2744,E274400,Persistent hypersomnia,191999000,295416014,,32
295422017,600,E274B,E274B00,Repeated rapid eye movement sleep interruptions,192004002,295422017,,32
295423010,200,E274C,E274C00,Other sleep stage or arousal dysfunction,39898005,67285010,,32
295427011,200,E274E,E274E00,Short-sleeper,192007009,295427011,,32
295430016,100,E274F,E274F00,Inversion of sleep rhythm,192008004,295430016,,32
295435014,800,E274z,E274z00,Non-organic sleep disorder NOS,270487001,405106013,,32
296394016,60,Eu51y,Eu51y00,[X]Other nonorganic sleep disorders,270487001,405106013,,32
296396019,200,Eu51z,Eu51z00,"[X]Nonorganic sleep disorder, unspecified",270487001,405106013,,32
299274011,70000,Fy00,Fy00.00,Disorders of initiating and maintaining sleep,194437008,299274011,,32
299277016,4000,Fy01,Fy01.00,Disorders of excessive somnolence,194439006,299277016,,32
299344018,2000,Fyu58,Fyu5800,[X]Other sleep disorders,39898005,67285010,,32
316997014,10000,R0001,R000100,Somnolence,271782001,406710012,,27
317031015,500000,R005,R005.00,Sleep disturbance,44186003,493802012,,32
317032010,100000,R0050,R005000,"[D]Sleep disturbance, unspecified",44186003,493802012,,32
317034011,1000,R0051,R005100,Insomnia with sleep apnoea,41975002,197601019,,32
317035012,600000,R0052,R005200,[D]Insomnia NOS,193462001,297924011,,32
317048011,10000,R0054,R005400,Hypersomnia,77692006,128946014,,32
317049015,800,R0055,R005500,[D]Sleep rhythm inversion,192008004,295428018,,32
317050015,2000,R0056,R005600,Irregular sleep-wake pattern,271793004,406735018,,32
317051016,200,R0057,R005700,Non-24 hour sleep-wake cycle,230496009,345393016,,32
317052011,600,R0058,R005800,Sleep dysfunction with sleep stage disturbance,441877007,2818183012,,32
317053018,700,R0059,R005900,Sleep dysfunction with arousal disturbance,442176004,2819608011,,32
317054012,6000,R005z,R005z00,[D]Sleep dysfunction NOS,39898005,67285010,,32
345377013,600000,E2741-1,E274111,Insomnia NOS,193462001,297924011,,32
345379011,4000,E2743-1,E274311,Hypersomnia NOS,77692006,128946014,,32
345382018,200,E274-1,E274.11,Hypersomnia of non-organic origin,230488004,345382018,,32
401805019,70000,E2741,E274100,Transient insomnia,268652009,401805019,,32
401806018,2000,E2743,E274300,Transient hypersomnia,268653004,401806018,,32
401807010,2000,E274D,E274D00,Repetitive intrusions of sleep,268654005,401807010,,32
401808017,200,E274y,E274y00,Other non-organic sleep disorder,270487001,405106013,,32
