"searchterms","exclusionterms","searched_in_column","searchmethod"
"insomnia","asthma","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"poor sleep pattern",,,
"delayed onset of sleep",,,
"light sleep",,,
"on melatonin for sleep disorder",,,
"repeated rapid eye movement sleep interruptions",,,
"repetitive intrusions of sleep",,,
"restless sleep",,,
"short-sleeper",,,
"sleep disorder",,,
"disorders of initiating and maintaining sleep",,,
"sleep disturbance",,,
"sleep dysfunction",,,
"disturbing sleep",,,
"Other sleep stage or arousal dysfunction",,,
"Sleep rhythm problems",,,
"REM sleep behaviour disorder",,,
"Sleep-wake schedule disorder",,,
"Sleep rhythm problem",,,
"Dyssomnia",,,
"Sleep problem",,,
"Difficulty falling asleep",,,
"Difficulty in sleep initiation",,,
"Difficulty getting to sleep",,,
"Night waking",,,
"Broken sleep",,,
"Interrupted sleep",,,
"Difficulty in sleep maintenance",,,
"Delayed sleep phase syndrome",,,
"Rapid eye movement sleep behavior disorder",,,
"Hypersomnia",,,
"Inversion of sleep rhythm",,,
"Disorders of excessive somnolence",,,
"Sleep rhythm inversion",,,
"Irregular sleep-wake pattern",,,
"Non-24 hour sleep-wake cycle",,,
"Disorders of the sleep-wake schedule",,,
"somnolence",,,
"Disorder of sleep-wake cycle",,,
"Excessive sleep",,,
"Nonorganic disorder of the sleep-wake schedule",,,
"Sleeps too much",,,
"Excessive sleepiness",,,
"Reversed sleep-wake cycle",,,
"Non-organic disorder of the sleep-wake schedule",,,
"Circadian dysregulation",,,
"REM sleep behavior disorder",,,
"Sleep wake schedule disorder",,,
