medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
118689010,30000,G640,G640.00,Cerebral thrombosis,71444005,118689010,,32
125470015,7000,G641,G641.00,Cerebral embolism,75543006,125470015,,32
130375018,1000,G64z1-1,G64z111,Lateral medullary syndrome,78569004,130375018,,32
158118014,40000,G64z-2,G64z.12,Cerebellar infarction,95460007,158118014,,32
216645017,10000,388I,388I.00,Stroke risk,135877001,216645017,,3
264499015,500000,662M,662M.00,Stroke monitoring,170600009,264499015,,1
300310019,10,G633,G633.00,Multiple and bilateral precerebral arterial occlusion,195183002,300310019,,32
300311015,200,G63y,G63y.00,Other precerebral artery occlusion,266253001,395777014,,32
300312010,3000,G63y0,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,195185009,300312010,,32
300313017,1000,G63y1,G63y100,Cerebral infarction due to embolism of precerebral arteries,195186005,300313017,,32
300314011,600,G63z,G63z.00,Precerebral artery occlusion NOS,266253001,395777014,,32
300321011,4000,G6400,G640000,Cerebral infarction due to thrombosis of cerebral arteries,195189003,300321011,,32
300322016,1000,G6410,G641000,Cerebral infarction due to embolism of cerebral arteries,195190007,300322016,,32
300366019,9000,G664,G664.00,Cerebellar stroke syndrome,195213000,300366019,,32
300411016,600,G683,G683.00,Sequelae of cerebral infarction,195243003,300411016,,32
300941014,3000,Gyu64,Gyu6400,[X]Other cerebral infarction,432504007,2770034014,,32
300943012,2000,Gyu66,Gyu6600,Cerebral artery occlusion,20059004,33759015,,32
345639010,90,G63-1,G63..11,Infarction - precerebral,230692004,345639010,,32
345650013,1000,G64z-1,G64z.11,Brainstem infarction NOS,95457000,158113017,,32
395777014,3000,G63,G63..00,Precerebral arterial occlusion,266253001,395777014,,32
395780010,200000,G64z,G64z.00,Cerebral infarction,432504007,2770034014,,32
411416011,6,L440-2,L440.12,Stroke in the puerperium,275434003,411416011,,32
413750011,800,1M4,1M4..00,Central post-stroke pain,277286006,413750011,,27
449935012,2000,8Hd6,8Hd6.00,Admission to stroke unit,306803007,449935012,,40
451133011,30000,G64z2,G64z200,Left sided cerebral infarction,307766002,451133011,,32
451134017,30000,G64z3,G64z300,Right sided cerebral infarction,307767006,451134017,,32
451371010,900,14AK,14AK.00,H/O: Stroke in last year,308067002,451371010,,32
1212072018,400,ESCTOC3,,Occlusive stroke,373606000,1212072018,,32
1222398015,100000,G64,G64..00,Cerebral arterial occlusion,20059004,1222398015,,32
1227591017,20000,ZV125-1,ZV12511,[V]Personal history of stroke,275526006,2476091017,,32
2469365010,200000,8HBJ,8HBJ.00,Stroke / transient ischaemic attack referral,413124000,2469365010,,40
2474330011,90000,8HTQ,8HTQ.00,Referral to stroke clinic,412773009,2474330011,,40
2474651019,9000,G64z4,G64z400,Infarction of basal ganglia,413102000,2474651019,,32
2474668015,100,13YA,13YA.00,Stroke group member,413119003,2474668015,,17
2476091017,40000,14A7-2,14A7.12,H/O: stroke,275526006,2476091017,,32
2534196010,40000,9Om2,9Om2.00,Stroke/transient ischaemic attack monitoring third letter,415631003,2534196010,,37
2534212018,100000,9Om1,9Om1.00,Stroke/transient ischaemic attack monitoring second letter,415629007,2534212018,,37
2534253014,400000,9Om0,9Om0.00,Stroke/transient ischaemic attack monitoring first letter,415628004,2534253014,,37
2548554013,1000,662o,662o.00,Haemorrhagic stroke monitoring,417506008,2548554013,,1
3508956015,4,^ESCT1170861,,Stroke due to basilar artery thrombus,329641000119104,3508956015,,32
3508962013,20,^ESCT1172902,,Stroke due to thrombus of right middle cerebral artery,16002031000119102,3508962013,,32
3508965010,10,^ESCT1172904,,Stroke due to thrombus of left middle cerebral artery,16002111000119106,3508965010,,32
3509817019,4,^ESCT1170855,,Left hemispheric cerebellar artery embolism with stroke,329461000119102,3509817019,,32
3516948016,3,^ESCT1166502,,Stroke care plan,736251000,3516948016,,31
3521990012,8,^ESCT1166914,,PASS (Postural Assessment Scale for Stroke Patients) score,736712009,3521990012,,31
57341000006119,300,G64z1,G64z100,Wallenberg's syndrome,78569004,130374019,,32
122361000006113,30000,G64-3,G64..13,Stroke due to cerebral arterial occlusion,230691006,345638019,,32
122401000006115,100000,G66-2,G66..12,Stroke unspecified,230690007,345637012,,32
149571000006118,500,G68X,G68X.00,"Sequelae of stroke,not specfd as h'morrhage or infarction",195239002,300403014,,32
162111000000112,6000,9N4X,9N4X.00,Did not attend stroke clinic,88601000000107,137901000000116,,37
218511000000117,20000,G64-2,G64..12,Infarction - cerebral,432504007,2770034014,,32
236331000000111,20000,9Om,9Om..00,Stroke/transient ischaemic attack monitoring administration,713771000000100,1565011000000111,,37
267321000006114,50,G677,G677.00,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",195231004,300394010,,32
306621000000116,200000,9N0p,9N0p.00,Seen in stroke clinic,201501000000108,306621000000116,,37
370701000006118,400,Gyu63,Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,20059004,33759015,,32
371641000000112,2000,7P242,7P24200,Delivery of rehabilitation for stroke,231231000000107,371641000000112,,32
426321000006116,80,Gyu6C,Gyu6C00,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction",195239002,300403014,,32
524511000006116,8000,G663,G663.00,Brainstem stroke syndrome,195212005,300365015,,32
524541000006117,4000,G64z0,G64z000,Brain stem infarction,95457000,158113017,,32
542251000006112,900,G6760,G676000,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",195230003,300393016,,32
542261000006114,1000,G6W,G6W..00,Cerebral infarction due to occlusion of precerebral artery,125081000119106,3042974014,,32
542831000006116,400,G641-1,G641.11,Cerebral embolus,75543006,125470015,,32
543141000006110,5000,G6X,G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,20059004,33759015,,32
605461000006117,100000,G64-1,G64..11,CVA - cerebrovascular accident due to cerebral artery occlusion,230691006,345638019,,32
884521000006115,30000,G66-98,G66..98,Stroke/CVA - undefined,685631000000102,884521000006115,,32
884531000006117,10000,G66-99,G66..99,Stroke,685631000000102,884531000006117,,32
907581000006119,1000,HNG0234,,[RFC] Stroke/CVA,907581000006103,907581000006119,,12
907591000006116,1000,HNG0235,,[RFC] Stroke,907591000006100,907591000006116,,12
908801000006114,30000,HNG0602,,[RFC] Stroke,908801000006105,908801000006114,,12
940051000006114,7,EMISNQST1,,Stroke monitoring administration,940051000006105,940051000006114,,37
940061000006111,800,EMISNQST2,,Stroke monitoring invite 1,940061000006107,940061000006111,,37
940071000006116,200,EMISNQST3,,Stroke monitoring invite 2,940071000006100,940071000006116,,37
940081000006118,100,EMISNQST4,,Stroke monitoring invite 3,940081000006102,940081000006118,,37
966981000006112,700,8HHM,8HHM.00,Referral to multidisciplinary stroke function improvement service,112901000000108,199461000000113,,40
968341000006116,1000,EMISNQAN3,,Annual Stroke/CVA blood test,968341000006100,968341000006116,,1
986831000006115,5000,9Om3,9Om3.00,Stroke/transient ischaemic attack monitoring verbal invitation,417059002,2549607012,,37
1160471000000111,5000,662M1,662M100,Stroke 6 month review,519751000000106,1160471000000111,,1
1562581000006114,10000,9Om4,9Om4.00,Stroke/transient ischaemic attack monitoring telephone invitation,717241000000108,1569781000000115,,37
1573101000006112,500,EMISNQCE4,,Cerebral infarction with haemorrhagic transformation,1573101000006108,1573101000006112,,32
1716631000000115,20000,1JA10-1,1JA1011,Suspected stroke,769211000000103,1716631000000115,,27
1726581000006116,40,EMISNQCE10,,Central post-stroke pain,1726581000006100,1726581000006116,,27
1757281000006116,60,EMISNQSU28,,Suspected stroke,1757281000006100,1757281000006116,,27
1784651000006110,30,8IEC,8IEC.00,Referral for multidisciplinary stroke function improvement declined,781731000000103,1747751000000110,,32
1863321000006113,60,EMISNQRE381,,Referral by stroke nurse specialist,1863321000006109,1863321000006113,,37
1992451000006114,70,EMISNQVT24,,VTE risk assessment - acute stroke,1992451000006105,1992451000006114,,32
1994761000006112,400,EMISNQRE602,,Referral to stroke rehabilitation service,1994761000006108,1994761000006112,,40
2008521000006110,400,EMISNQRE623,,Referral to community stroke service,2008521000006106,2008521000006110,,40
2008601000006116,900,EMISNQDI251,,Discharge from community stroke service,2008601000006100,2008601000006116,,40
2115821000000118,2000,661N7,661N700,Stroke self-management plan review,810991000000109,2115821000000118,,1
2118011000000114,2000,661M7,661M700,Stroke self-management plan agreed,812041000000104,2118011000000114,,1
2126181000000114,9000,662e-1,662e.11,Stroke annual review,699270006,2983500010,,1
2127781000000110,1000,662M2,662M200,Stroke initial post discharge review,816561000000108,2127781000000110,,1
2185361000000119,20,8OAC,8OAC.00,Provision of written information about stroke,842441000000104,2185361000000119,,32
2436731000000112,2000,5C13,5C13.00,Old cerebral infarction on imaging,955491000000106,2436731000000112,,41
2539131000006116,90,^ESCTST253913,,Stroke rehabilitation,2517002,5296016,,31
