searchterms,exclusionterms,searched_in_column,searchmethod
stroke,FH:,Term,"termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Family history,,
[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,prevention,,
[X]Other cerebral infarction,Heat stroke,,
Basal ganglion infarct,sunstroke,,
Basal ganglion stroke,CHA2DS2,,
Brain stem infarct,quality indicators,,
Brain stem infarction,No H/O:,,
Brain stem stroke,MELAS,,
Brainstem infarction NOS,pilot project,,
Cerebellar infarction,stroke-like episode,,
Cerebral arterial occlusion,ABCD2,,
Cerebral artery occlusion,bleeding risk score,,
Cerebral embolism,QStroke,,
Cerebral embolus,National Institutes of Health stroke scale,,
Cerebral infarct due to thrombosis of precerebral arteries,Stroke impact scale version 3.0,,
Cerebral infarction,At risk of stroke,,
Cerebral infarction due to embolism of cerebral arteries,CHADS2,,
Cerebral infarction due to embolism of precerebral arteries,,,
Cerebral infarction due to occlusion of precerebral artery,,,
Cerebral infarction due to thrombosis of cerebral arteries,,,
Cerebral thrombosis,,,
Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,,,
CVA - cerebrovascular accident due to cerebral artery occlusion,,,
Infarction - cerebral,,,
Infarction - precerebral,,,
Infarction of basal ganglia,,,
Infarction of brain stem,,,
Lateral medullary syndrome,,,
Left sided cerebral infarction,,,
LMS - Lateral medullary syndrome,,,
Posterior inferior cerebellar artery syndrome,,,
Right sided cerebral infarction,,,
Sequelae of cerebral infarction,,,
Stroke due to cerebral arterial occlusion,,,
Wallenberg's syndrome,,,
