medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
30273012,10000,G81,G81..00,Portal vein thrombosis,17920008,30273012,,32
52299017,5000,G821,G821.00,Thrombophlebitis migrans,31268005,52299017,,32
64466019,300,G820-1,G820.11,Hepatic vein thrombosis,82385007,136654014,,32
216205019,6000,G801C,G801C00,Deep vein thrombosis of leg related to air travel,134399007,216205019,,32
251689017,60000,14A81,14A8100,H/O: Deep Vein Thrombosis,161508001,251689017,,32
296931015,400,F05,F05..00,Phlebitis and thrombophlebitis of intracranial sinuses,192753009,296931015,,32
296932010,40,F0500,F050000,Embolism cavernous sinus,192754003,296932010,,32
296933017,3,F0501,F050100,Embolism superior longitudinal sinus,192755002,296933017,,32
296934011,4,F0502,F050200,Embolism lateral sinus,192756001,296934011,,32
296935012,10,F0503,F050300,Embolism transverse sinus,192757005,296935012,,32
296936013,40,F050z,F050z00,Embolism central nervous system venous sinus NOS,14246007,24228018,,32
296938014,80,F0511,F051100,Thrombosis of superior longitudinal sinus,192760003,296938014,,32
296939018,1000,F0513,F051300,Thrombosis transverse sinus,192761004,296939018,,32
296940016,2000,F051z,F051z00,Thrombosis of central nervous system venous sinus NOS,192759008,296937016,,32
296947018,100,F053,F053.00,Thrombophlebitis of central nervous system venous sinuses,192769002,296947018,,32
296948011,30,F0530,F053000,Thrombophlebitis of cavernous sinus,192770001,296948011,,32
296949015,50,F0531,F053100,Thrombophlebitis of superior longitudinal venous sinus,192771002,296949015,,32
296950015,50,F0532,F053200,Thrombophlebitis lateral venous sinus,192772009,296950015,,32
296951016,50,F053z,F053z00,Thrombophlebitis of central nervous system venous sinus NOS,312586003,456333018,,32
300649013,200000,G80,G80..00,Phlebitis and thrombophlebitis,195394007,300649013,,32
300672010,2000,G8016,G801600,Thrombophlebitis of the femoral vein,195410000,300672010,,32
300673017,1000,G8017,G801700,Thrombophlebitis of the popliteal vein,195411001,300673017,,32
300674011,200,G8018,G801800,Thrombophlebitis of the anterior tibial vein,195412008,300674011,,32
300675012,30,G8019,G801900,Thrombophlebitis of the dorsalis pedis vein,770111009,3698589012,,32
300676013,100,G801A,G801A00,Thrombophlebitis of the posterior tibial vein,195414009,300676013,,32
300677016,6000,G801B,G801B00,Thrombophlebitis of deep veins of lower extremity,40198004,63532015,,32
300681016,2000,G801z,G801z00,Deep vein phlebitis and thrombophlebitis of the leg NOS,266267005,395801015,,32
300682011,8000,G802,G802.00,Phlebitis and thrombophlebitis of the leg NOS,266267005,395801015,,32
300691010,100,G80y4,G80y400,Thrombophlebitis of the common iliac vein,195425000,300691010,,32
300692015,10,G80y5,G80y500,Thrombophlebitis of the internal iliac vein,195426004,300692015,,32
300695018,50,G80y6,G80y600,Thrombophlebitis of the external iliac vein,195427008,300695018,,32
300696017,200,G80y7,G80y700,Thrombophlebitis of iliac vein,42861008,71531019,,32
300697014,30,G80y8,G80y800,Phlebitis and thrombophlebitis of the iliac vein NOS,276494008,412645018,,32
300698016,20000,G80yz,G80yz00,Other phlebitis and thrombophlebitis NOS,195394007,300649013,,32
300699012,1000,G80zz,G80zz00,Phlebitis and thrombophlebitis NOS,195394007,300649013,,32
300701012,90000,G80z1,G80z100,Thrombophlebitis,64156001,106650018,,32
300710016,400,G822,G822.00,Embolism and thrombosis of the vena cava,195437003,300710016,,32
300711017,1000,G823,G823.00,Embolism and thrombosis of the renal vein,195438008,300711017,,32
307739018,200,L4130,L413000,Antenatal deep vein thrombosis unspecified,49956009,83207014,,32
307740016,40,L4131,L413100,Antenatal deep vein thrombosis - delivered,200232006,307740016,,32
307741017,10,L4132,L413200,Antenatal deep vein thrombosis with antenatal complication,200233001,307741017,,32
307742012,200,L413z,L413z00,Antenatal deep vein thrombosis NOS,49956009,83207014,,32
307747018,200,L4140,L414000,Postnatal deep vein thrombosis unspecified,56272000,93577012,,32
307749015,40,L4142,L414200,Postnatal deep vein thrombosis with postnatal complication,200238005,307749015,,32
307750015,200,L414z,L414z00,Postnatal deep vein thrombosis NOS,56272000,93577012,,32
307780013,70,L417,L417.00,Obstetric cerebral venous thrombosis,200258006,307780013,,32
307781012,100,L4170,L417000,Cerebral venous thrombosis in pregnancy,200259003,307781012,,32
307782017,70,L4171,L417100,Cerebral venous thrombosis in the puerperium,200260008,307782017,,32
325065019,400,SP121,SP12100,Thrombophlebitis as a complication of care,213219006,325065019,,32
