medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
68268011,4000000,C04-3,C04..13,Hypothyroidism,40930008,68268011,,32
150375010,600000,C02,C02..00,Thyrotoxicosis,90739004,150375010,,32
178809013,3000000,C04,C04..00,Acquired hypothyroidism,111566002,178809013,,32
251587014,30000,1431,1431.00,H/O: hyperthyroidism,161442007,251587014,,32
251588016,10000,1431-1,1431.11,H/O: thyrotoxicosis,161442007,251588016,,32
251589012,90000,1432,1432.00,H/O: hypothyroidism,161443002,251589012,,32
258481018,20000,4422,4422.00,Increased thyroid hormone level,131089005,210790012,,34
264730019,300000,66B,66B..00,Thyroid disease monitoring,170780004,264730019,,1
264748011,60000,66BZ,66BZ.00,Thyroid disease monitoring NOS,170780004,264730019,,1
292361016,300,C02y0,C02y000,Thyrotoxicosis of other specified origin with no crisis,90739004,150375010,,32
292362011,50,C02y1,C02y100,Thyrotoxicosis of other specified origin with crisis,90739004,150375010,,32
292365013,300,C02yz,C02yz00,Thyrotoxicosis of other specified origin NOS,90739004,150375010,,32
292366014,50000,C02z,C02z.00,Thyrotoxicosis without mention of goitre or other cause,90739004,150375010,,32
292372014,40000,C02zz,C02zz00,Thyrotoxicosis NOS,90739004,150375010,,32
292394018,2000,C041,C041.00,Other postablative hypothyroidism,237527007,355975017,,32
292395017,20000,C0410,C041000,Irradiation hypothyroidism,190277005,292395017,,32
292396016,3000,C041z,C041z00,Postablative hypothyroidism NOS,237527007,355975017,,32
292397013,10000,C042,C042.00,Iodine hypothyroidism,190279008,292397013,,32
292400016,4000,C043,C043.00,Iatrogenic hypothyroidism,88273006,146340011,,5
292404013,8000,C043z,C043z00,Iatrogenic hypothyroidism NOS,88273006,146340011,,5
292408011,600000,C04y,C04y.00,Other acquired hypothyroidism,111566002,178809013,,32
292438017,4000,C06,C06..00,Other disorders of thyroid,14304000,24324018,,32
292446016,300,C06y,C06y.00,Other specified thyroid disorders,14304000,24320010,,32
292449011,200,C06yz,C06yz00,Other specified thyroid disorder NOS,14304000,24320010,,32
292450011,9000,C06z,C06z.00,Thyroid disorder,14304000,24325017,,32
293750016,1000,Cyu13,Cyu1300,[X]Other thyrotoxicosis,90739004,150375010,,32
293752012,100,Cyu15,Cyu1500,[X]Other specified disorders of thyroid,14304000,24324018,,32
317850019,20000,R145,R145.00,[D]Thyroid function test abnormal,312399001,456102013,,27
317852010,200,R1451,R145100,[D]Thyroid uptake abnormal,312399001,456102013,,27
317853017,2000,R145z,R145z00,[D]Thyroid function tests abnormal NOS,312399001,456102013,,27
355932011,5000,C02-2,C02..12,Toxic goitre,237498007,355932011,,32
355961012,2000,C04z-3,C04z.13,"Hypothyroid goitre, acquired",237518006,355961012,,32
355964016,10000,C046,C046.00,Autoimmune myxoedema,237519003,355964016,,32
398782015,800,C02y,C02y.00,Thyrotoxicosis of other specified origin,90739004,150375010,,32
398784019,500000,C04z,C04z.00,Hypothyroidism NOS,40930008,68268011,,32
456102013,80000,442I,442I.00,Thyroid function tests abnormal,312399001,456102013,,27
2474336017,3000,8CR5,8CR5.00,Hypothyroidism clinical management plan,736287007,3517030018,,32
2533422017,300000,9Oj0,9Oj0.00,Hypothyroidism monitoring first letter,414439002,2533422017,,37
2536050019,100000,C040,C040.00,Post-surgical hypothyroidism,27059002,45271010,,32
88781000006119,3000,C1343,C134300,TSH deficiency,82598004,505169010,,32
101171000006116,90000,C04-2,C04..12,Thyroid deficiency,40930008,68268011,,32
101581000006112,1000,C04z-2,C04z.12,Thyroid insufficiency,40930008,68268011,,32
101891000006113,900,C02z0,C02z000,Thyrotoxicosis without mention of goitre or cause no crisis,90739004,150375010,,32
101911000006110,200,C02z1,C02z100,"Thyrotoxicosis without mention of goitre, cause with crisis",90739004,150375010,,32
166251000000116,800,9N4T,9N4T.00,DNA - Did not attend hyperthyroidism clinic,88591000000101,166251000000116,,37
208391000006113,800,C04z-1,C04z.11,Pretibial myxoedema - hypothyroid,40930008,68268011,,32
211321000006115,200,C044,C044.00,Postinfectious hypothyroidism,237528002,355976016,,32
216181000006112,6000,C040-1,C040.11,Postablative hypothyroidism,237527007,355975017,,32
223231000000110,200000,C0,C0...00,Disorder of thyroid gland,14304000,24324018,,32
377991000006111,400,Cyu1,Cyu1.00,[X]Disorders of thyroid gland,14304000,24324018,,32
378001000006118,40,Cyu4J,Cyu4J00,[X]Disorders of thyroid gland in diseases CE,14304000,24324018,,32
413721000006119,500,Cyu11,Cyu1100,[X]Other sp cified hypothyroidism,40930008,68268011,,32
637341000000118,50000,66BB,66BB.00,Hypothyroidism annual review,341861000000109,637341000000118,,1
881381000006114,20000,C04-99,C04..99,Hypothyroidism-congen.+ acqui.,111566002,881381000006114,,32
988821000006117,10,C04-98,C04..98,Subclinical hypothyroidism,111566002,988821000006117,,32
988831000006119,40,C04-97,C04..97,Acquired hypothyroidism NOS,111566002,988831000006119,,32
