medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
252192019,300000,1623,1623.00,Weight decreasing,161832001,252192019,,27
317234019,100000,R0300,R030000,[D]Appetite loss,79890006,132549012,,27
317235018,3000,R030z,R030z00,[D]Anorexia NOS,79890006,132549012,,27
317237014,200000,R032,R032.00,[D]Abnormal loss of weight,267024001,397867018,,27
372208017,40000,1612-1,1612.11,Anorexia symptom,249468005,372208017,,27
397867018,700000,1625,1625.00,Abnormal weight loss,267024001,397867018,,27
404431014,100000,1612,1612.00,Appetite loss - anorexia,249468005,372208017,,27
499835012,200000,1615,1615.00,Reduced appetite,64379006,499835012,,27
1780210016,80000,22A8,22A8.00,Weight loss from baseline weight,401003006,1780210016,,2
299281000000119,100000,1D1A,1D1A.00,Complaining of weight loss,198511000000103,299281000000119,,27
437661000006118,300000,1625-1,1625.11,Abnormal weight loss - symptom,267024001,397867018,,27
734511000006115,100000,1612-2,1612.12,Loss of appetite,79890006,132549012,,27
903061000006114,30000,1623-99,1623.99,Weight Loss,161832001,903061000006114,,27
1715211000000118,50000,1627,1627.00,Unintentional weight loss,448765001,2899697019,,27
