prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
188241000033114,332199003,Calcipotriol 50micrograms/g cream,Calcipotriol 50micrograms/g cream,Cream,Cutaneous,Calcipotriol hydrate,50.000microgram/1.000gram,13050200,600000
201541000033116,332195009,Calcipotriol 50micrograms/g ointment,Calcipotriol 50micrograms/g ointment,Ointment,Cutaneous,Calcipotriol,50.000microgram/1.000gram,13050200,1000000
204441000033119,37082111000001101,Calcipotriol 50micrograms/ml scalp solution,Calcipotriol 50micrograms/ml scalp solution,Liquid,Cutaneous,Calcipotriol hydrate,50.000microgram/1.000ml,13050200,400000
388041000033111,294411000001109,Curatoderm 4micrograms/g ointment (Almirall Ltd),Curatoderm 4micrograms/g ointment,Ointment,Cutaneous,Tacalcitol monohydrate,4.000microgram/1.000gram,,40000
439441000033112,332245001,Dithranol 0.25% cream,Dithranol 0.25% cream,Cream,Cutaneous,Dithranol,2.500mg/1.000gram,13050200,10000
439541000033113,332246000,Dithranol 0.5% cream,Dithranol 0.5% cream,Cream,Cutaneous,Dithranol,5.000mg/1.000gram,13050200,10000
439641000033114,332247009,Dithranol 1% cream,Dithranol 1% cream,Cream,Cutaneous,Dithranol,10.000mg/1.000gram,13050200,9000
439741000033117,332235003,Dithranol 2% cream,Dithranol 2% cream,Cream,Cutaneous,Dithranol,20.000mg/1.000gram,13050200,5000
439841000033110,332236002,Dithranol 3% cream,Dithranol 3% cream,Cream,Cutaneous,Dithranol,30.000mg/1.000gram,13050200,2000
440941000033110,3673411000001105,Dithrocream 0.25% cream (Dermal Laboratories Ltd),Dithrocream 0.25% cream,Cream,Cutaneous,Dithranol,2.500mg/1.000gram,,40000
441141000033118,3837011000001103,Dithrocream 2% cream (Dermal Laboratories Ltd),Dithrocream 2% cream,Cream,Cutaneous,Dithranol,20.000mg/1.000gram,,10000
441541000033110,3837911000001104,Dithrocream 1% cream (Dermal Laboratories Ltd),Dithrocream 1% cream,Cream,Cutaneous,Dithranol,10.000mg/1.000gram,,600
441641000033111,3672911000001109,Dithrocream 0.5% cream (Dermal Laboratories Ltd),Dithrocream 0.5% cream,Cream,Cutaneous,Dithranol,5.000mg/1.000gram,,20000
441741000033119,332248004,Dithranol 0.1% cream,Dithranol 0.1% cream,Cream,Cutaneous,Dithranol,1.000mg/1.000gram,13050200,30000
441841000033112,3671911000001103,Dithrocream 0.1% cream (Dermal Laboratories Ltd),Dithrocream 0.1% cream,Cream,Cutaneous,Dithranol,1.000mg/1.000gram,,60000
454741000033115,24674011000001100,Dithranol 0.4% ointment,Dithranol 0.4% ointment,Ointment,Cutaneous,Dithranol,4.000mg/1.000gram,13050200,800
457341000033113,5173911000001109,Dithranol powder,Dithranol powder,Not applicable,Route of administration not applicable,Dithranol,1.000mg/1.000mg,19040000,90
473441000033111,3076011000001104,Dovonex 50micrograms/g cream (LEO Pharma),Dovonex 50micrograms/g cream,Cream,Cutaneous,Calcipotriol hydrate,50.000microgram/1.000gram,,400000
476941000033113,3076711000001102,Dovonex 50micrograms/g ointment (LEO Pharma),Dovonex 50micrograms/g ointment,Ointment,Cutaneous,Calcipotriol,50.000microgram/1.000gram,,500000
477441000033117,2934811000001104,Dovonex 50micrograms/ml scalp solution (LEO Pharma),Dovonex 50micrograms/ml scalp solution,Liquid,Cutaneous,Calcipotriol hydrate,50.000microgram/1.000ml,,100000
906841000033111,3966911000001104,Micanol 1% cream (Reig Jofre UK Ltd),Micanol 1% cream,Cream,Cutaneous,Dithranol,10.000mg/1.000gram,,4000
906941000033115,3965811000001101,Micanol 3% cream (Reig Jofre UK Ltd),Micanol 3% cream,Cream,Cutaneous,Dithranol,30.000mg/1.000gram,,2000
1142741000033112,3959711000001100,Psorin scalp gel (Boston Healthcare Ltd),Psorin scalp gel,Gel,Cutaneous,Dithranol/ Salicylic acid,2.500mg/1.000gram + 16.000mg/1.000gram,,3000
1404841000033115,35914911000001104,Tazarotene 0.05% gel,Tazarotene 0.05% gel,Gel,Cutaneous,Tazarotene,500.000microgram/1.000gram,13050200,10000
1404941000033111,35915011000001104,Tazarotene 0.1% gel,Tazarotene 0.1% gel,Gel,Cutaneous,Tazarotene,1.000mg/1.000gram,13050200,6000
1406441000033111,332215004,Tacalcitol 4micrograms/g ointment,Tacalcitol 4micrograms/g ointment,Ointment,Cutaneous,Tacalcitol monohydrate,4.000microgram/1.000gram,13050200,50000
1559941000033110,3702411000001101,Zorac 0.05% gel (Allergan Ltd),Zorac 0.05% gel,Gel,Cutaneous,Tazarotene,500.000microgram/1.000gram,,4000
1560041000033113,3901111000001105,Zorac 0.1% gel (Allergan Ltd),Zorac 0.1% gel,Gel,Cutaneous,Tazarotene,1.000mg/1.000gram,,2000
2732741000033118,407914001,Calcitriol 3micrograms/g ointment,Calcitriol 3micrograms/g ointment,Ointment,Cutaneous,Calcitriol,3.000microgram/1.000gram,13050200,80000
2732841000033111,496211000001104,Silkis ointment (Galderma (UK) Ltd),Silkis ointment,Ointment,Cutaneous,Calcitriol,3.000microgram/1.000gram,,50000
2737441000033110,3389811000001109,Dovobet ointment (LEO Pharma),Dovobet ointment,Ointment,Cutaneous,Betamethasone dipropionate/ Calcipotriol hydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,,900000
3013841000033115,3432011000001105,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,Ointment,Cutaneous,Betamethasone dipropionate/ Calcipotriol hydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,13050200,1000000
3258741000033117,36070511000001100,Dithranol 0.25% / Salicylic acid 1.6% scalp gel,Dithranol 0.25% / Salicylic acid 1.6% scalp gel,Gel,Cutaneous,Dithranol/ Salicylic acid,2.500mg/1.000gram + 16.000mg/1.000gram,13090000,1000
4418341000033110,12781811000001102,Tacalcitol 4micrograms/g lotion,Tacalcitol 4micrograms/g lotion,Liquid,Cutaneous,Tacalcitol monohydrate,4.000microgram/1.000gram,13050200,3000
4418441000033116,12773311000001104,Curatoderm 4micrograms/g lotion (Almirall Ltd),Curatoderm 4micrograms/g lotion,Liquid,Cutaneous,Tacalcitol monohydrate,4.000microgram/1.000gram,,3000
4805341000033110,14679811000001106,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,Gel,Cutaneous,Betamethasone dipropionate/ Calcipotriol monohydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,13050200,400000
4805441000033116,14677011000001109,Xamiol gel (LEO Pharma),Xamiol gel,Gel,Cutaneous,Betamethasone dipropionate/ Calcipotriol monohydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,,20000
5909241000033119,17644911000001107,Dovobet gel (LEO Pharma),Dovobet gel,Gel,Cutaneous,Betamethasone dipropionate/ Calcipotriol monohydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,,400000
6097141000033113,16073911000001101,Dithranol 1% in Zinc and Salicylic acid paste,Dithranol 1% in Zinc and Salicylic acid paste, Paste,Route of administration not applicable,Dithranol/ Salicylic acid/ Zinc oxide,10.000mg/1.000gram + 19.800mg/1.000gram + 237.600mg/1.000gram,13050200,40
10495941000033117,29879511000001101,Dovobet gel Applicator (LEO Pharma),Dovobet gel Applicator,Gel,Cutaneous,Betamethasone dipropionate/ Calcipotriol monohydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,,20000
11500441000033119,32615511000001105,Calcipotriol 50micrograms/g / Betamethasone dipropionate 500micrograms/g foam,Calcipotriol 50micrograms/g / Betamethasone dipropionate 500micrograms/g foam,Foam,Cutaneous,Betamethasone dipropionate/ Calcipotriol monohydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,13050200,70000
11501141000033115,32615311000001104,Enstilar 50micrograms/g / 0.5 mg/g cutaneous foam (LEO Pharma),Enstilar 50micrograms/g / 0.5 mg/g cutaneous foam,Foam,Cutaneous,Betamethasone dipropionate/ Calcipotriol monohydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,,300000
13717941000033115,38885211000001109,Dalonev ointment (Mibe Pharma UK Ltd),Dalonev ointment,Ointment,Cutaneous,Betamethasone dipropionate/ Calcipotriol hydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,,2000
13752841000033119,39236211000001102,Dalbecal 50micrograms/g / 0.5mg/g ointment (Teva UK Ltd),Dalbecal 50micrograms/g / 0.5mg/g ointment,Ointment,Cutaneous,Betamethasone dipropionate/ Calcipotriol hydrate,500.000microgram/1.000gram + 50.000microgram/1.000gram,,10
13957841000033112,40366211000001104,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% cream,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% cream,Cream,Cutaneous,Betamethasone dipropionate/ Calcipotriol,500.000microgram/1.000gram + 50.000microgram/1.000gram,13050200,40
13957941000033116,40356111000001103,Wynzora 50micrograms/g / 0.5mg/g cream (Almirall Ltd),Wynzora 50micrograms/g / 0.5mg/g cream,Cream,Cutaneous,Betamethasone dipropionate/ Calcipotriol,500.000microgram/1.000gram + 50.000microgram/1.000gram,,60
