"searchterms","exclusionterms","searched_in_column","searchmethod"
"Anthralin","tablet","ProductName","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Dovonex","injection",,
"Calcipotriene","capsule",,
"Tazorac",,,
"Tazarotene",,,
"Vectical",,,
"Calcitriol",,,
"VTAMA",,,
"Tapinarof",,,
"ZORYVE",,,
"Roflumilast",,,
"calcipotriol",,,
"Dovonex",,,
"Silkis",,,
"tacalcitol",,,
"Curatoderm",,,
"Dovobet",,,
"Enstilar",,,
"Dithranol",,,
"Dithrocream",,,
"Micanol",,,
"Psorin scalp gel",,,
"Wynzora",,,
"Dalbecal",,,
"Zorac",,,
"Xamiol gel",,,
"Dalonev ointment",,,
