prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
10212141000033111,28808411000001103,Prednisolone 10mg tablets,Prednisolone 10mg tablets,Tablet,Oral,Prednisolone,10.000mg,6030200,20000
10212341000033114,28808711000001109,Prednisolone 20mg tablets,Prednisolone 20mg tablets,Tablet,Oral,Prednisolone,20.000mg,6030200,10000
10212441000033115,28798211000001102,Pevanti 2.5mg tablets (Advanz Pharma),Pevanti 2.5mg tablets,Tablet,Oral,Prednisolone,2.500mg,,200
10212541000033119,28799011000001102,Pevanti 5mg tablets (Advanz Pharma),Pevanti 5mg tablets,Tablet,Oral,Prednisolone,5.000mg,,300
10212641000033118,28799311000001104,Pevanti 10mg tablets (Advanz Pharma),Pevanti 10mg tablets,Tablet,Oral,Prednisolone,10.000mg,,300
10212741000033110,28799611000001109,Pevanti 20mg tablets (Advanz Pharma),Pevanti 20mg tablets,Tablet,Oral,Prednisolone,20.000mg,,300
10212941000033113,28799811000001108,Pevanti 25mg tablets (Advanz Pharma),Pevanti 25mg tablets,Tablet,Oral,Prednisolone,25.000mg,,300
10213841000033110,28881311000001104,Dexamethasone 20mg/5ml oral solution sugar free,Dexamethasone 20mg/5ml oral solution sugar free,Oral solution,Oral,Dexamethasone sodium phosphate,4.000mg/1.000ml,6030200,80
10262941000033112,29094911000001100,Budesonide 9mg modified-release tablets,Budesonide 9mg modified-release tablets,Modified-release tablet,Oral,Budesonide,9.000mg,1050200,9000
10263141000033115,29094211000001109,Cortiment 9mg modified-release tablets (Ferring Pharmaceuticals Ltd),Cortiment 9mg modified-release tablets,Modified-release tablet,Oral,Budesonide,9.000mg,,1000
10266841000033117,29424511000001109,Prednisolone 5mg/5ml oral solution unit dose,Prednisolone 5mg/5ml oral solution unit dose,Oral solution,Oral,Prednisolone,1.000mg/1.000ml,6030200,40000
10494341000033117,29904211000001102,Prednisolone 10mg/ml oral solution sugar free,Prednisolone 10mg/ml oral solution sugar free,Oral solution,Oral,Prednisolone,10.000mg/1.000ml,6030200,4000
10988941000033111,,Prednisolone Dompe  Oral solution  5 mg/5 ml unit dose,,,,,,,30
11072141000033115,32071811000001109,Dexamethasone 2mg soluble tablets sugar free,Dexamethasone 2mg soluble tablets sugar free,Soluble tablet/,Oral,Dexamethasone sodium phosphate,2.000mg,6030200,10000
11072241000033110,32071911000001104,Dexamethasone 4mg soluble tablets sugar free,Dexamethasone 4mg soluble tablets sugar free,Soluble tablet/,Oral,Dexamethasone sodium phosphate,4.000mg,6030200,2000
11072341000033117,32072011000001106,Dexamethasone 8mg soluble tablets sugar free,Dexamethasone 8mg soluble tablets sugar free,Soluble tablet/,Oral,Dexamethasone sodium phosphate,8.000mg,6030200,500
1114241000033116,325442004,Prednisolone 2.5mg gastro-resistant tablets,Prednisolone 2.5mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Prednisolone,2.500mg,6030200,4000000
1114341000033114,325443009,Prednisolone 5mg gastro-resistant tablets,Prednisolone 5mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Prednisolone,5.000mg,6030200,10000000
1127341000033111,39722711000001103,Prednisolone 5mg soluble tablets,Prednisolone 5mg soluble tablets,Soluble tablet/,Oral,Prednisolone sodium phosphate,5.000mg,6030200,2000000
1130741000033110,325450008,Prednisolone 25mg tablets,Prednisolone 25mg tablets,Tablet,Oral,Prednisolone,25.000mg,6030200,200000
1130841000033117,,Prednisolone Steaglate  Tablets  6.65 mg,,,,,,,10
1131741000033117,325426006,Prednisolone 1mg tablets,Prednisolone 1mg tablets,Tablet,Oral,Prednisolone,1.000mg,6030200,6000000
1131841000033110,28808611000001100,Prednisolone 2.5mg tablets,Prednisolone 2.5mg tablets,Tablet,Oral,Prednisolone,2.500mg,6030200,200000
1131941000033119,325427002,Prednisolone 5mg tablets,Prednisolone 5mg tablets,Tablet,Oral,Prednisolone,5.000mg,6030200,20000000
1132041000033113,,Prednisone  Tablets  1 mg,,,,,,,5000
1132141000033112,,Prednisone  Tablets  5 mg,,,,,,,20000
1137041000033111,,Precortisyl  Tablets  1 mg,,,,,,,700
1137141000033110,,Precortisyl  Tablets  5 mg,,,,,,,2000
1137241000033115,,Precortisyl Forte  Tablets  25 mg,,,,,,,3000
11507841000033115,32611811000001105,Prednisolone 1mg gastro-resistant tablets,Prednisolone 1mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Prednisolone,1.000mg,6030200,20000
11664841000033116,32781411000001102,Prednisolone 30mg tablets,Prednisolone 30mg tablets,Tablet,Oral,Prednisolone,30.000mg,6030200,3000
12389541000033113,34743111000001109,Glensoludex 2mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Glensoludex 2mg soluble tablets,Soluble tablet/,Oral,Dexamethasone sodium phosphate,2.000mg,,50
12389641000033114,34743411000001104,Glensoludex 4mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Glensoludex 4mg soluble tablets,Soluble tablet/,Oral,Dexamethasone sodium phosphate,4.000mg,,3
12389741000033117,34743611000001101,Glensoludex 8mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Glensoludex 8mg soluble tablets,Soluble tablet/,Oral,Dexamethasone sodium phosphate,8.000mg,,2
12398241000033119,34796811000001100,Dexamethasone 40mg tablets,Dexamethasone 40mg tablets,Tablet,Oral,Dexamethasone,40.000mg,6030200,90
12575941000033114,35574111000001104,Dexamethasone 8mg tablets,Dexamethasone 8mg tablets,Tablet,Oral,Dexamethasone,8.000mg,6030200,400
12633241000033111,35776011000001106,Hydrocortisone 500microgram granules in capsules for opening,Hydrocortisone 500microgram granules in capsules for opening,Granules,Oral,Hydrocortisone,500.000microgram,6030200,200
12633341000033118,35775611000001109,Hydrocortisone 1mg granules in capsules for opening,Hydrocortisone 1mg granules in capsules for opening,Granules,Oral,Hydrocortisone,1.000mg,6030200,100
