prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
25841000033117,111411000001106,Alphosyl cream (GlaxoSmithKline Consumer Healthcare UK Ltd),Alphosyl cream,Cream,Cutaneous,Allantoin/ Coal tar extract,20.000mg/1.000gram + 50.000mg/1.000gram,,100000
25941000033113,666411000001100,Alphosyl HC cream (GlaxoSmithKline Consumer Healthcare UK Ltd),Alphosyl HC cream,Cream,Cutaneous,Allantoin/ Coal tar extract/ Hydrocortisone,20.000mg/1.000gram + 50.000mg/1.000gram + 5.000mg/1.000gram,,300000
32341000033117,4613311000001107,Alphosyl lotion (GlaxoSmithKline Consumer Healthcare UK Ltd),Alphosyl lotion,Liquid,Cutaneous,Allantoin/ Coal tar extract alcoholic,20.000mg/1.000gram + 50.000mg/1.000gram,,30000
34841000033119,509711000001109,Alphosyl 2 in 1 shampoo (Omega Pharma Ltd),Alphosyl 2 in 1 shampoo,Shampoo,Cutaneous,Coal tar extract alcoholic,50.000mg/1.000gram,,700000
34941000033110,,Alphosyl  Shampoo  ,,,,,,,30000
189341000033111,3827911000001102,Carbo-Dome 10% cream (Sandoz Ltd),Carbo-Dome 10% cream,Cream,Cutaneous,Coal tar solution,100.000mg/1.000gram,,20000
201741000033112,16246011000001100,Calamine and Coal tar ointment,Calamine and Coal tar ointment,Ointment,Route of administration not applicable,Calamine/ Coal tar solution strong/ Zinc oxide,125.000mg/1.000gram + 25.000mg/1.000gram + 125.000mg/1.000gram,13050200,3000
204741000033114,500811000001105,Capasal Therapeutic shampoo (Dermal Laboratories Ltd),Capasal Therapeutic shampoo,Shampoo,Cutaneous,Coal tar distilled/ Coconut oil/ Salicylic acid,10.000mg/1.000gram + 10.000mg/1.000gram + 5.000mg/1.000gram,,2000000
265741000033114,3751811000001104,Clinitar 1% cream (Cambridge Healthcare Supplies Ltd),Clinitar 1% cream,Cream,Cutaneous,Stantar,10.000mg/1.000gram,,20000
265941000033112,,Clinitar  Cream  5 %,,,,,,,900
273541000033113,,Clinitar  Gel  2.5 %,,,,,,,60
282441000033114,234911000001107,Clinitar 2% shampoo (Cambridge Healthcare Supplies Ltd),Clinitar 2% shampoo,Shampoo,Cutaneous,Coal tar extract,20.000mg/1.000gram,,20000
316241000033117,36089711000001105,Coal tar solution 10% cream,Coal tar solution 10% cream,Cream,Cutaneous,Coal tar solution,100.000mg/1.000gram,13050200,10000
316341000033110,,Coal Tar  Cream  5 %,,,,,,,1000
327941000033119,,Coal Tar Solution  Gel  7.5 %,,,,,,,200
346241000033110,,Coal Tar  Ointment  bpc 1934,,,,,,,2000
346341000033117,,Coal Tar  Ointment  2 %,,,,,,,500
346541000033112,654911000001108,Cocois ointment (RPH Pharmaceuticals AB),Cocois ointment,Ointment,Cutaneous,Coal tar solution/ Salicylic acid/ Sulfur precipitated,120.000mg/1.000gram + 20.000mg/1.000gram + 40.000mg/1.000gram,,600000
346641000033113,19691511000001104,Coal tar and Salicylic acid ointment BP,Coal tar and Salicylic acid ointment BP,Ointment,Cutaneous,Coal tar/ Coconut oil/ Emulsifying wax/ Liquid paraffin/ Polysorbate/ Salicylic acid/ White soft paraffin,20.000mg/1.000gram + 540.000mg/1.000gram + 114.000mg/1.000gram + 76.000mg/1.000gram + 40.000mg/1.000gram + 20.000mg/1.000gram + 190.000mg/1.000gram,13050200,10000
354241000033116,,Coal Tar  Paint  10 %,,,,,,,100
354341000033114,,"Coal Tar  Paste  bp, 7.5 %",,,,,,,5000
362541000033118,39706611000001101,Coal tar extract 2% shampoo,Coal tar extract 2% shampoo,Shampoo,Cutaneous,Coal tar extract,20.000mg/1.000gram,13090000,300000
363341000033117,,Coal Tar  Solution  bp (methylated),,,,,,,1000
363441000033111,5173611000001103,Coal tar solution strong,Coal tar solution strong,Not applicable,Route of administration not applicable,Coal tar/ Polysorbate,400.000mg/1.000ml + 8.050gram/1.000ml,13050200,900
363841000033114,4336411000001105,Coal tar solution,Coal tar solution,Not applicable,Route of administration not applicable,Coal tar/ Polysorbate,200.000mg/1.000ml + 8.050gram/1.000ml,13050200,10000
440541000033116,14609011000001109,Diethylamine salicylate 10% cream,Diethylamine salicylate 10% cream,Cream,Transdermal,Diethylamine salicylate,100.000mg/1.000gram,10030200,1000000
451441000033112,531811000001105,Diprosalic 0.05%/2% scalp application (Organon Pharma (UK) Ltd),Diprosalic 0.05%/2% scalp application,Liquid,Cutaneous,Betamethasone dipropionate/ Salicylic acid,500.000microgram/1.000ml + 20.000mg/1.000ml,,500000
454441000033110,611311000001103,Diprosalic 0.05%/3% ointment (Organon Pharma (UK) Ltd),Diprosalic 0.05%/3% ointment,Ointment,Cutaneous,Betamethasone dipropionate/ Salicylic acid,500.000microgram/1.000gram + 30.000mg/1.000gram,,800000
890941000033110,3886811000001101,Meted shampoo (Alliance Pharmaceuticals Ltd),Meted shampoo,Shampoo,Cutaneous,Salicylic acid/ Sulfur,30.000mg/1.000ml + 50.000mg/1.000ml,,9000
1062341000033114,3709111000001102,Pentrax 4.3% shampoo (Alliance Pharmaceuticals Ltd),Pentrax 4.3% shampoo,Shampoo,Cutaneous,Coal tar,43.000mg/1.000ml,,5000
1101741000033110,3646411000001101,Polytar Emollient (GlaxoSmithKline Consumer Healthcare UK Ltd),Polytar Emollient,Bath additive,Cutaneous,Arachis oil extract of crude coal tar/ Cade oil/ Coal tar solution/ Liquid paraffin light/ Pine tar,75.000mg/1.000gram + 75.000mg/1.000gram + 25.000mg/1.000gram + 350.000mg/1.000gram + 75.000mg/1.000gram,,100000
1105141000033114,137911000001104,Polytar liquid (GlaxoSmithKline Consumer Healthcare UK Ltd),Polytar liquid,Shampoo,Cutaneous,Arachis oil extract of crude coal tar/ Cade oil/ Coal tar solution/ Pine tar,3.000mg/1.000gram + 3.000mg/1.000gram + 1.000mg/1.000gram + 3.000mg/1.000gram,,2000000
