prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
3341000033118,332211008,Acitretin 10mg capsules,Acitretin 10mg capsules,Capsule,Oral,Acitretin,10.000mg,13050200,30000
3441000033112,332213006,Acitretin 25mg capsules,Acitretin 25mg capsules,Capsule,Oral,Acitretin,25.000mg,13050200,20000
728841000033110,708911000001104,Hydrea 500mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd),Hydrea 500mg capsules,Capsule,Oral,Hydroxycarbamide,500.000mg,,30000
860741000033110,,Maxtrex  Injection  2.5 mg,,,,,,,2
860841000033117,,Maxtrex  Injection  25 mg,,,,,,,1
870241000033113,322011000001106,Maxtrex 10mg tablets (Pfizer Ltd),Maxtrex 10mg tablets,Tablet,Oral,Methotrexate,10.000mg,,9000
870341000033115,644711000001108,Maxtrex 2.5mg tablets (Pfizer Ltd),Maxtrex 2.5mg tablets,Tablet,Oral,Methotrexate,2.500mg,,50000
878841000033114,36033011000001100,Methotrexate 1g/40ml solution for injection vials,Methotrexate 1g/40ml solution for injection vials,Solution for injection,Intravenous/ Intramuscular/ Intraarterial,Methotrexate sodium,25.000mg/1.000ml,8010300,200
878941000033118,,Methotrexate  Injection  100 mg/4 ml,,,,,,,70
879041000033110,36033111000001104,Methotrexate 200mg/8ml solution for injection vials,Methotrexate 200mg/8ml solution for injection vials,Solution for injection,Intrathecal/ Intravenous/ Intraarterial/ Intramuscular,Methotrexate sodium,25.000mg/1.000ml,8010300,400
879141000033114,36033411000001109,Methotrexate 5g/200ml solution for infusion vials,Methotrexate 5g/200ml solution for infusion vials,Solution for infusion,Intravenous/ Intraarterial/ Intramuscular,Methotrexate sodium,25.000mg/1.000ml,8010300,20
879241000033119,36033611000001107,Methotrexate 5mg/2ml solution for injection vials,Methotrexate 5mg/2ml solution for injection vials,Solution for injection,Intraarterial/ Intramuscular/ Intravenous/ Intrathecal,Methotrexate sodium,2.500mg/1.000ml,8010300,5000
879341000033112,36033311000001102,Methotrexate 50mg/2ml solution for injection vials,Methotrexate 50mg/2ml solution for injection vials,Solution for injection,Intrathecal/ Intravenous/ Intraventricular cardiac/ Intramuscular/ Intraarterial,Methotrexate sodium,25.000mg/1.000ml,8010300,20000
