"searchterms","exclusionterms","searched_in_column","searchmethod"
"Soriatane","eye ointment","Term from EMIS","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Acitretin","eye drops",,
"Cyclosporine",,,
"Ciclosporin",,,
"Methotrexate",,,
"Apremilast",,,
"Xeljanz",,,
"tofacitinib",,,
"sotyktu",,,
"deucravacitinib",,,
"Skilarence",,,
"Dimethyl Fumarate",,,
"Acitretin",,,
"Maxtrex",,,
"Neotigason",,,
"Neoral",,,
"Sandimmun",,,
"Metoject",,,
"Siklos",,,
"Deximune",,,
"Capimune",,,
"Capsorin",,,
"Ebetrex",,,
"Vanquoral",,,
"Zlatal",,,
"Nordimet",,,
"Methofill",,,
"Jylamvo",,,
"Verkazia",,,
"Xromi",,,
"Hydrea",,,
"hydroxyurea",,,
"Hydroxycarbamide",,,
"Tecfidera",,,
"Otezla",,,
