"searchterms","exclusionterms","searched_in_column","searchmethod"
"tacrolimus","capsule","Term from EMIS","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"pimecrolimus","oral",,
"elidel","infusion",,
"protopic","mouthwash",,
,"sachet",,
,"granule",,
,"gelatin paste",,
,"tablet",,
,"suppositor",,
,"injection",,
