code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
I21,I21,DEFAULT,3,Acute myocardial infarction,,,,NA,NA,NA,
I21.0,I210,DEFAULT,3,Acute transmural myocardial infarction of anterior wall,,,,NA,NA,NA,
I21.1,I211,DEFAULT,3,Acute transmural myocardial infarction of inferior wall,,,,NA,NA,NA,
I21.2,I212,DEFAULT,3,Acute transmural myocardial infarction of other sites,,,,NA,NA,NA,
I21.3,I213,DEFAULT,3,Acute transmural myocardial infarction of unspecified site,,,,NA,NA,NA,
I21.4,I214,DEFAULT,3,Acute subendocardial myocardial infarction,,,,NA,NA,NA,
I21.9,I219,DEFAULT,3,"Acute myocardial infarction, unspecified",,,,NA,NA,NA,
I22,I22,DEFAULT,3,Subsequent myocardial infarction,,,,NA,NA,NA,
I22.0,I220,DEFAULT,3,Subsequent myocardial infarction of anterior wall,,,,NA,NA,NA,
I22.1,I221,DEFAULT,3,Subsequent myocardial infarction of inferior wall,,,,NA,NA,NA,
I22.8,I228,DEFAULT,3,Subsequent myocardial infarction of other sites,,,,NA,NA,NA,
I22.9,I229,DEFAULT,3,Subsequent myocardial infarction of unspecified site,,,,NA,NA,NA,
I23,I23,DEFAULT,3,Certain current complications following acute myocardial infarction,,,,NA,NA,NA,
I23.0,I230,DEFAULT,3,Haemopericardium as current complication following acute myocardial infarction,,,,NA,NA,NA,
I23.1,I231,DEFAULT,3,Atrial septal defect as current complication following acute myocardial infarction,,,,NA,NA,NA,
I23.2,I232,DEFAULT,3,Ventricular septal defect as current complication following acute myocardial infarction,,,,NA,NA,NA,
I23.3,I233,DEFAULT,3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,,,,NA,NA,NA,
I23.4,I234,DEFAULT,3,Rupture of chordae tendineae as current complication following acute myocardial infarction,,,,NA,NA,NA,
I23.5,I235,DEFAULT,3,Rupture of papillary muscle as current complication following acute myocardial infarction,,,,NA,NA,NA,
I23.6,I236,DEFAULT,3,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",,,,NA,NA,NA,
I23.8,I238,DEFAULT,3,Other current complications following acute myocardial infarction,,,,NA,NA,NA,
I20.0,I200,DEFAULT,3,Unstable angina,,,,NA,NA,NA,
G45.0,G450,DEFAULT,3,Vertebro-basilar artery syndrome,,,,NA,NA,NA,
G45.1,G451,DEFAULT,3,Carotid artery syndrome (hemispheric),,,,NA,NA,NA,
G45.2,G452,DEFAULT,3,Multiple and bilateral precerebral artery syndromes,,,,NA,NA,NA,
G46,G46,ASTERISK,2,Vascular syndromes of brain in cerebrovascular diseases,,,,NA,NA,NA,
G46.0,G460,ASTERISK,2,Middle cerebral artery syndrome,,,,NA,NA,NA,
G46.1,G461,ASTERISK,2,Anterior cerebral artery syndrome,,,,NA,NA,NA,
G46.2,G462,ASTERISK,2,Posterior cerebral artery syndrome,,,,NA,NA,NA,
G46.3,G463,ASTERISK,2,Brain stem stroke syndrome,,,,NA,NA,NA,
G46.4,G464,ASTERISK,2,Cerebellar stroke syndrome,,,,NA,NA,NA,
G46.5,G465,ASTERISK,2,Pure motor lacunar syndrome,,,,NA,NA,NA,
G46.6,G466,ASTERISK,2,Pure sensory lacunar syndrome,,,,NA,NA,NA,
G46.7,G467,ASTERISK,2,Other lacunar syndromes,,,,NA,NA,NA,
G46.8,G468,ASTERISK,2,Other vascular syndromes of brain in cerebrovascular diseases,,,,NA,NA,NA,
I60,I60,DEFAULT,3,Subarachnoid haemorrhage,,,,NA,NA,NA,
I60.0,I600,DEFAULT,3,Subarachnoid haemorrhage from carotid siphon and bifurcation,,,,NA,NA,NA,
I60.1,I601,DEFAULT,3,Subarachnoid haemorrhage from middle cerebral artery,,,,NA,NA,NA,
I60.2,I602,DEFAULT,3,Subarachnoid haemorrhage from anterior communicating artery,,,,NA,NA,NA,
I60.3,I603,DEFAULT,3,Subarachnoid haemorrhage from posterior communicating artery,,,,NA,NA,NA,
