code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
B18.0,B180,DEFAULT,3,Chronic viral hepatitis B with delta-agent,,,,NA,NA,NA,
B18.1,B181,DEFAULT,3,Chronic viral hepatitis B without delta-agent,,,,NA,NA,NA,
B18.2,B182,DEFAULT,3,Chronic viral hepatitis C,,,,NA,NA,NA,
B18.8,B188,DEFAULT,3,Other chronic viral hepatitis,,,,NA,NA,NA,
B18.9,B189,DEFAULT,3,"Chronic viral hepatitis, unspecified",,,,NA,NA,NA,
I85.0,I850,DEFAULT,3,Oesophageal varices with bleeding,,,,NA,NA,NA,
I85.9,I859,DEFAULT,3,Oesophageal varices without bleeding,,,,NA,NA,NA,
I98.2,I982,ASTERISK,2,Oesophageal varices without bleeding in diseases classified elsewhere,,,,NA,NA,NA,
K70.2,K702,DEFAULT,3,Alcoholic fibrosis and sclerosis of liver,,,,NA,15,NA,
K70.3,K703,DEFAULT,3,Alcoholic cirrhosis of liver,,,,NA,15,NA,
K70.4,K704,DEFAULT,3,Alcoholic hepatic failure,,,,NA,15,NA,
K70.9,K709,DEFAULT,3,"Alcoholic liver disease, unspecified",,,,NA,15,NA,
K71.1,K711,DEFAULT,3,Toxic liver disease with hepatic necrosis,,,,NA,NA,NA,
K71.3,K713,DEFAULT,3,Toxic liver disease with chronic persistent hepatitis,,,,NA,NA,NA,
K71.4,K714,DEFAULT,3,Toxic liver disease with chronic lobular hepatitis,,,,NA,NA,NA,
K71.5,K715,DEFAULT,3,Toxic liver disease with chronic active hepatitis,,,,NA,NA,NA,
K71.7,K717,DEFAULT,3,Toxic liver disease with fibrosis and cirrhosis of liver,,,,NA,NA,NA,
K72.1,K721,DEFAULT,3,Chronic hepatic failure,,,,NA,NA,NA,
K72.9,K729,DEFAULT,3,"Hepatic failure, unspecified",,,,NA,NA,NA,
K73.0,K730,DEFAULT,3,"Chronic persistent hepatitis, not elsewhere classified",,,,NA,NA,NA,
K73.1,K731,DEFAULT,3,"Chronic lobular hepatitis, not elsewhere classified",,,,NA,NA,NA,
K73.2,K732,DEFAULT,3,"Chronic active hepatitis, not elsewhere classified",,,,NA,NA,NA,
K73.8,K738,DEFAULT,3,"Other chronic hepatitis, not elsewhere classified",,,,NA,NA,NA,
K73.9,K739,DEFAULT,3,"Chronic hepatitis, unspecified",,,,NA,NA,NA,
K74.0,K740,DEFAULT,3,Hepatic fibrosis,,,,NA,NA,NA,
K74.1,K741,DEFAULT,3,Hepatic sclerosis,,,,NA,NA,NA,
K74.2,K742,DEFAULT,3,Hepatic fibrosis with hepatic sclerosis,,,,NA,NA,NA,
K74.3,K743,DEFAULT,3,Primary biliary cirrhosis,,,,NA,NA,NA,
K74.4,K744,DEFAULT,3,Secondary biliary cirrhosis,,,,NA,NA,NA,
K74.5,K745,DEFAULT,3,"Biliary cirrhosis, unspecified",,,,NA,NA,NA,
K74.6,K746,DEFAULT,3,Other and unspecified cirrhosis of liver,,,,NA,15,NA,
K75.4,K754,DEFAULT,3,Autoimmune hepatitis,,,,NA,NA,NA,
K76.5,K765,DEFAULT,3,Hepatic veno-occlusive disease,,,,NA,NA,NA,
K76.6,K766,DEFAULT,3,Portal hypertension,,,,NA,NA,NA,
K76.7,K767,DEFAULT,3,Hepatorenal syndrome,,,,NA,NA,NA,
T86.4,T864,DEFAULT,3,Liver transplant failure and rejection,,,,NA,NA,NA,
Z94.4,Z944,DEFAULT,0,Liver transplant status,,,,NA,NA,NA,
