code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
F17,F17,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,,,,NA,NA,NA,
F17.0,F170,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Acute intoxication,,,NA,NA,NA,
F17.1,F171,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Harmful use,,,NA,NA,NA,
F17.2,F172,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Dependence syndrome,,,NA,NA,NA,
F17.3,F173,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Withdrawal state,,,NA,NA,NA,
F17.4,F174,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Withdrawal state with delirium,,,NA,NA,NA,
F17.5,F175,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Psychotic disorder,,,NA,NA,NA,
F17.6,F176,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Amnesic syndrome,,,NA,NA,NA,
F17.7,F177,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Residual and late-onset psychotic disorder,,,NA,NA,NA,
F17.8,F178,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Other mental and behavioural disorders,,,NA,NA,NA,
F17.9,F179,DEFAULT,3,Mental and behavioural disorders due to use of tobacco,Unspecified mental and behavioural disorder,,,NA,NA,NA,
T65.2,T652,DEFAULT,3,Toxic effect: Tobacco and nicotine,,,,NA,NA,NA,Tobacco and nicotine
Z71.6,Z716,DEFAULT,0,Tobacco abuse counselling,,,,NA,NA,NA,
Z72.0,Z720,DEFAULT,0,Tobacco use,,,,NA,NA,NA,
