code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
F32,F32,DEFAULT,3,Depressive episode,,,,NA,NA,NA,
F32.0,F320,DEFAULT,3,Mild depressive episode,,,,NA,NA,NA,
F32.1,F321,DEFAULT,3,Moderate depressive episode,,,,NA,NA,NA,
F32.2,F322,DEFAULT,3,Severe depressive episode without psychotic symptoms,,,,NA,NA,NA,
F32.3,F323,DEFAULT,3,Severe depressive episode with psychotic symptoms,,,,NA,NA,NA,
F32.8,F328,DEFAULT,3,Other depressive episodes,,,,NA,NA,NA,
F32.9,F329,DEFAULT,3,"Depressive episode, unspecified",,,,NA,NA,NA,
F33,F33,DEFAULT,3,Recurrent depressive disorder,,,,NA,NA,NA,
F33.0,F330,DEFAULT,3,"Recurrent depressive disorder, current episode mild",,,,NA,NA,NA,
F33.1,F331,DEFAULT,3,"Recurrent depressive disorder, current episode moderate",,,,NA,NA,NA,
F33.2,F332,DEFAULT,3,"Recurrent depressive disorder, current episode severe without psychotic symptoms",,,,NA,NA,NA,
F33.3,F333,DEFAULT,3,"Recurrent depressive disorder, current episode severe with psychotic symptoms",,,,NA,NA,NA,
F33.8,F338,DEFAULT,3,Other recurrent depressive disorders,,,,NA,NA,NA,
F33.9,F339,DEFAULT,3,"Recurrent depressive disorder, unspecified",,,,NA,NA,NA,
F34.1,F341,DEFAULT,3,Dysthymia,,,,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F06.3,F063,DEFAULT,3,Organic mood [affective] disorders,,,,NA,NA,NA,
F20.4,F204,DEFAULT,3,Post-schizophrenic depression,,,,NA,NA,NA,
F25,F25,DEFAULT,3,Schizoaffective disorders,,,,NA,NA,NA,
F25.0,F250,DEFAULT,3,"Schizoaffective disorder, manic type",,,,NA,NA,NA,
F25.1,F251,DEFAULT,3,"Schizoaffective disorder, depressive type",,,,NA,NA,NA,
F25.2,F252,DEFAULT,3,"Schizoaffective disorder, mixed type",,,,NA,NA,NA,
F25.8,F258,DEFAULT,3,Other schizoaffective disorders,,,,NA,NA,NA,
F25.9,F259,DEFAULT,3,"Schizoaffective disorder, unspecified",,,,NA,NA,NA,
F31,F31,DEFAULT,3,Bipolar affective disorder,,,,NA,NA,NA,
F31.0,F310,DEFAULT,3,"Bipolar affective disorder, current episode hypomanic",,,,NA,NA,NA,
F31.1,F311,DEFAULT,3,"Bipolar affective disorder, current episode manic without psychotic symptoms",,,,NA,NA,NA,
F31.2,F312,DEFAULT,3,"Bipolar affective disorder, current episode manic with psychotic symptoms",,,,NA,NA,NA,
F31.3,F313,DEFAULT,3,"Bipolar affective disorder, current episode mild or moderate depression",,,,NA,NA,NA,
F31.4,F314,DEFAULT,3,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",,,,NA,NA,NA,
F31.5,F315,DEFAULT,3,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",,,,NA,NA,NA,
F31.6,F316,DEFAULT,3,"Bipolar affective disorder, current episode mixed",,,,NA,NA,NA,
F31.7,F317,DEFAULT,3,"Bipolar affective disorder, currently in remission",,,,NA,NA,NA,
F31.8,F318,DEFAULT,3,Other bipolar affective disorders,,,,NA,NA,NA,
F31.9,F319,DEFAULT,3,"Bipolar affective disorder, unspecified",,,,NA,NA,NA,
F34,F34,DEFAULT,3,Persistent mood [affective] disorders,,,,NA,NA,NA,
F34.8,F348,DEFAULT,3,Other persistent mood [affective] disorders,,,,NA,NA,NA,
F34.9,F349,DEFAULT,3,"Persistent mood [affective] disorder, unspecified",,,,NA,NA,NA,
F38,F38,DEFAULT,3,Other mood [affective] disorders,,,,NA,NA,NA,
F38.0,F380,DEFAULT,3,Other single mood [affective] disorders,,,,NA,NA,NA,
F38.1,F381,DEFAULT,3,Other recurrent mood [affective] disorders,,,,NA,NA,NA,
F38.8,F388,DEFAULT,3,Other specified mood [affective] disorders,,,,NA,NA,NA,
F39,F39X,DEFAULT,3,Unspecified mood [affective] disorder,,,,NA,NA,NA,
F41.2,F412,DEFAULT,3,Mixed anxiety and depressive disorder,,,,NA,NA,NA,
F43,F43,DEFAULT,3,"Reaction to severe stress, and adjustment disorders",,,,NA,NA,NA,
F43.2,F432,DEFAULT,3,Adjustment disorders,,,,NA,NA,NA,
F92.0,F920,DEFAULT,3,Depressive conduct disorder,,,,NA,NA,NA,
