code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
F10.0,F100,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Acute intoxication,,,NA,NA,NA,
F10.1,F101,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Harmful use,,,NA,NA,NA,
F10.2,F102,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Dependence syndrome,,,NA,NA,NA,
F10.3,F103,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Withdrawal state,,,NA,NA,NA,
F10.4,F104,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Withdrawal state with delirium,,,NA,NA,NA,
F10.5,F105,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Psychotic disorder,,,NA,NA,NA,
F10.6,F106,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Amnesic syndrome,,,NA,NA,NA,
F10.7,F107,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Residual and late-onset psychotic disorder,,,NA,NA,NA,
F10.8,F108,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Other mental and behavioural disorders,,,NA,NA,NA,
F10.9,F109,DEFAULT,3,Mental and behavioural disorders due to use of alcohol,Unspecified mental and behavioural disorder,,,NA,NA,NA,
G31.2,G312,DEFAULT,3,Degeneration of nervous system due to alcohol,,,,NA,NA,NA,
G62.1,G621,DEFAULT,3,Alcoholic polyneuropathy,,,,NA,NA,NA,
G72.1,G721,DEFAULT,3,Alcoholic myopathy,,,,NA,NA,NA,
I42.6,I426,DEFAULT,3,Alcoholic cardiomyopathy,,,,NA,NA,NA,
K29.2,K292,DEFAULT,3,Alcoholic gastritis,,,,NA,NA,NA,
K70.0,K700,DEFAULT,3,Alcoholic fatty liver,,,,NA,15,NA,
K70.1,K701,DEFAULT,3,Alcoholic hepatitis,,,,NA,15,NA,
K70.2,K702,DEFAULT,3,Alcoholic fibrosis and sclerosis of liver,,,,NA,15,NA,
K70.3,K703,DEFAULT,3,Alcoholic cirrhosis of liver,,,,NA,15,NA,
K70.4,K704,DEFAULT,3,Alcoholic hepatic failure,,,,NA,15,NA,
K70.9,K709,DEFAULT,3,"Alcoholic liver disease, unspecified",,,,NA,15,NA,
K85.2,K852,DEFAULT,3,Alcohol-induced acute pancreatitis,,,,NA,NA,NA,
K86.0,K860,DEFAULT,3,Alcohol-induced chronic pancreatitis,,,,NA,NA,NA,
P04.3,P043,DEFAULT,3,Fetus and newborn affected by maternal use of alcohol,,,,NA,NA,1,
Q86.0,Q860,DEFAULT,3,Fetal alcohol syndrome (dysmorphic),,,,NA,NA,NA,
X45,X45,DEFAULT,0,Accidental poisoning by and exposure to alcohol,,,,NA,NA,NA,
X45.0,X450,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Home,,,NA,NA,NA,
X45.1,X451,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Residential institution,,,NA,NA,NA,
X45.2,X452,DEFAULT,0,Accidental poisoning by and exposure to alcohol,"School, other institution and public administrative area",,,NA,NA,NA,
X45.3,X453,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Sports and athletics area,,,NA,NA,NA,
X45.4,X454,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Street and highway,,,NA,NA,NA,
X45.5,X455,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Trade and service area,,,NA,NA,NA,
X45.6,X456,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Industrial and construction area,,,NA,NA,NA,
X45.7,X457,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Farm,,,NA,NA,NA,
X45.8,X458,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Other specified places,,,NA,NA,NA,
X45.9,X459,DEFAULT,0,Accidental poisoning by and exposure to alcohol,Unspecified place,,,NA,NA,NA,
X65,X65,DEFAULT,0,Intentional self-poisoning by and exposure to alcohol,,,,NA,NA,NA,
X65.0,X650,DEFAULT,0,Intentional self-poisoning by and exposure to alcohol,Home,,,NA,NA,NA,
X65.1,X651,DEFAULT,0,Intentional self-poisoning by and exposure to alcohol,Residential institution,,,NA,NA,NA,
X65.2,X652,DEFAULT,0,Intentional self-poisoning by and exposure to alcohol,"School, other institution and public administrative area",,,NA,NA,NA,
