code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
H90,H90,DEFAULT,3,Conductive and sensorineural hearing loss,,,,NA,NA,NA,
H90.0,H900,DEFAULT,3,"Conductive hearing loss, bilateral",,,,NA,NA,NA,
H90.1,H901,DEFAULT,3,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",,,,NA,NA,NA,
H90.2,H902,DEFAULT,3,"Conductive hearing loss, unspecified",,,,NA,NA,NA,
H90.3,H903,DEFAULT,3,"Sensorineural hearing loss, bilateral",,,,NA,NA,NA,
H90.4,H904,DEFAULT,3,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",,,,NA,NA,NA,
H90.5,H905,DEFAULT,3,"Sensorineural hearing loss, unspecified",,,,NA,NA,NA,
H90.6,H906,DEFAULT,3,"Mixed conductive and sensorineural hearing loss, bilateral",,,,NA,NA,NA,
H90.7,H907,DEFAULT,3,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",,,,NA,NA,NA,
H90.8,H908,DEFAULT,3,"Mixed conductive and sensorineural hearing loss, unspecified",,,,NA,NA,NA,
H91,H91,DEFAULT,3,Other hearing loss,,,,NA,NA,NA,
H91.0,H910,DEFAULT,3,Ototoxic hearing loss,,,,NA,NA,NA,
H91.2,H912,DEFAULT,3,Sudden idiopathic hearing loss,,,,NA,NA,NA,
H91.3,H913,DEFAULT,3,"Deaf mutism, not elsewhere classified",,,,NA,NA,NA,
H91.8,H918,DEFAULT,3,Other specified hearing loss,,,,NA,NA,NA,
H91.9,H919,DEFAULT,3,"Hearing loss, unspecified",,,,NA,NA,NA,
Z46.1,Z461,DEFAULT,0,Fitting and adjustment of hearing aid,,,,NA,NA,NA,
