code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
B20,B20,DEFAULT,3,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,,,,NA,NA,NA,
B20.0,B200,DEFAULT,3,HIV disease resulting in mycobacterial infection,,,,NA,NA,NA,
B20.1,B201,DEFAULT,3,HIV disease resulting in other bacterial infections,,,,NA,NA,NA,
B20.2,B202,DEFAULT,3,HIV disease resulting in cytomegaloviral disease,,,,NA,NA,NA,
B20.3,B203,DEFAULT,3,HIV disease resulting in other viral infections,,,,NA,NA,NA,
B20.4,B204,DEFAULT,3,HIV disease resulting in candidiasis,,,,NA,NA,NA,
B20.5,B205,DEFAULT,3,HIV disease resulting in other mycoses,,,,NA,NA,NA,
B20.6,B206,DEFAULT,3,HIV disease resulting in Pneumocystis jirovecii pneumonia,,,,NA,NA,NA,
B20.7,B207,DEFAULT,3,HIV disease resulting in multiple infections,,,,NA,NA,NA,
B20.8,B208,DEFAULT,3,HIV disease resulting in other infectious and parasitic diseases,,,,NA,NA,NA,
B20.9,B209,DEFAULT,3,HIV disease resulting in unspecified infectious or parasitic disease,,,,NA,NA,NA,
B21,B21,DEFAULT,3,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,,,,NA,NA,NA,
B21.0,B210,DEFAULT,3,HIV disease resulting in Kaposi sarcoma,,,,NA,NA,NA,
B21.1,B211,DEFAULT,3,HIV disease resulting in Burkitt lymphoma,,,,NA,NA,NA,
B21.2,B212,DEFAULT,3,HIV disease resulting in other types of non-Hodgkin lymphoma,,,,NA,NA,NA,
B21.3,B213,DEFAULT,3,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",,,,NA,NA,NA,
B21.7,B217,DEFAULT,3,HIV disease resulting in multiple malignant neoplasms,,,,NA,NA,NA,
B21.8,B218,DEFAULT,3,HIV disease resulting in other malignant neoplasms,,,,NA,NA,NA,
B21.9,B219,DEFAULT,3,HIV disease resulting in unspecified malignant neoplasm,,,,NA,NA,NA,
B22,B22,DEFAULT,3,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,,,,NA,NA,NA,
B22.0,B220,DEFAULT,3,HIV disease resulting in encephalopathy,,,,NA,NA,NA,
B22.1,B221,DEFAULT,3,HIV disease resulting in lymphoid interstitial pneumonitis,,,,NA,NA,NA,
B22.2,B222,DEFAULT,3,HIV disease resulting in wasting syndrome,,,,NA,NA,NA,
B22.7,B227,DEFAULT,3,HIV disease resulting in multiple diseases classified elsewhere,,,,NA,NA,NA,
B23,B23,DEFAULT,3,Human immunodeficiency virus [HIV] disease resulting in other conditions,,,,NA,NA,NA,
B23.0,B230,DEFAULT,3,Acute HIV infection syndrome,,,,NA,NA,NA,
B23.1,B231,DEFAULT,3,HIV disease resulting in (persistent) generalized lymphadenopathy,,,,NA,NA,NA,
B23.2,B232,DEFAULT,3,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",,,,NA,NA,NA,
B23.8,B238,DEFAULT,3,HIV disease resulting in other specified conditions,,,,NA,NA,NA,
B24,B24X,DEFAULT,3,Unspecified human immunodeficiency virus [HIV] disease,,,,NA,NA,NA,
Z21,Z21X,DEFAULT,0,Asymptomatic human immunodeficiency virus [HIV] infection status,,,,NA,NA,NA,
