code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
I63.0,I630,DEFAULT,3,Cerebral infarction due to thrombosis of precerebral arteries,,,,NA,25,NA,
I63.1,I631,DEFAULT,3,Cerebral infarction due to embolism of precerebral arteries,,,,NA,25,NA,
I63.2,I632,DEFAULT,3,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,,,,NA,25,NA,
I63.3,I633,DEFAULT,3,Cerebral infarction due to thrombosis of cerebral arteries,,,,NA,25,NA,
I63.4,I634,DEFAULT,3,Cerebral infarction due to embolism of cerebral arteries,,,,NA,25,NA,
I63.5,I635,DEFAULT,3,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,,,,NA,25,NA,
I63.8,I638,DEFAULT,3,Other cerebral infarction,,,,NA,25,NA,
I63.9,I639,DEFAULT,3,"Cerebral infarction, unspecified",,,,NA,25,NA,
I69.3,I693,DEFAULT,3,Sequelae of cerebral infarction,,,,NA,NA,NA,
G46.3,G463,ASTERISK,2,Brain stem stroke syndrome,,,,NA,NA,NA,
G46.4,G464,ASTERISK,2,Cerebellar stroke syndrome,,,,NA,NA,NA,
G46.5,G465,ASTERISK,2,Pure motor lacunar syndrome,,,,NA,NA,NA,
G46.6,G466,ASTERISK,2,Pure sensory lacunar syndrome,,,,NA,NA,NA,
G46.7,G467,ASTERISK,2,Other lacunar syndromes,,,,NA,NA,NA,
G46.8,G468,ASTERISK,2,Other vascular syndromes of brain in cerebrovascular diseases,,,,NA,NA,NA,
I64,I64X,DEFAULT,3,"Stroke, not specified as haemorrhage or infarction",,,,NA,25,NA,
I69.4,I694,DEFAULT,3,"Sequelae of stroke, not specified as haemorrhage or infarction",,,,NA,NA,NA,
